date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-01-27,31.3,30.98,,,35839861,,,,,,0.0,,,15.69,,,
2021-01-28,33.35,33.0,6.52,7.65,7415834,,,,,,6.52,,,14.49,,,
2021-01-29,32.42,33.93,2.82,-1.76,4687962,,,,,,9.52,,,13.62,,,
2021-02-01,34.36,37.68,11.05,1.27,4903314,,,,,,21.63,,,12.18,,,
2021-02-02,38.59,38.84,3.08,2.42,10671184,,,,,,25.37,,,12.19,,,
2021-02-03,39.1,37.02,-4.69,0.67,2909182,,19.5,,,,19.5,93.5,,12.57,,,
2021-02-04,37.37,39.62,7.02,0.95,6495888,,20.06,,,,27.89,94.1,,11.42,,,
2021-02-05,40.03,39.95,0.83,1.03,1343954,,17.74,,,,28.95,94.1,,10.85,,,
2021-02-08,39.95,40.0,0.13,0.0,1370807,,6.16,,,,29.12,94.2,,10.41,,,
2021-02-09,39.75,38.6,-3.5,-0.62,1433520,,-0.62,,,,24.6,88.8,,10.4,,,
2021-02-10,38.31,37.35,-3.24,-0.75,1413360,,0.89,,,,20.56,84.2,,10.25,,,
2021-02-11,37.31,36.35,-2.68,-0.11,1019090,,-8.25,,,,17.33,80.6,,10.12,,,
2021-02-12,36.22,37.92,4.32,-0.36,551826,,-5.08,,,,22.4,81.9,,9.55,,,
2021-02-16,38.37,38.88,2.53,1.19,1382606,,-2.8,,,,25.5,82.7,,9.11,,,
2021-02-17,38.79,38.85,-0.08,-0.23,1112107,,0.65,,,,25.4,82.5,,8.83,,,
2021-02-18,38.16,38.15,-1.8,-1.78,1143238,,2.14,,,,23.14,79.7,,8.75,,,
2021-02-19,38.63,40.17,5.29,1.26,1781806,,10.51,,,,29.66,81.6,,8.24,,,
2021-02-22,41.0,39.71,-1.15,2.07,4306538,,4.72,,,,28.18,79.7,,8.64,,,
2021-02-23,37.0,38.77,-2.37,-6.82,2058283,,-0.28,,,,25.15,75.8,,9.33,,,
2021-02-24,40.01,37.68,-2.81,3.2,1108829,0.24,-3.01,,,,21.63,71.5,,9.59,,,-6.2
2021-02-25,37.18,34.02,-9.71,-1.33,2022876,0.68,-10.83,,,,9.81,59.2,,10.63,,,-15.31
2021-02-26,33.99,32.62,-4.12,-0.09,1481079,0.56,-18.8,5.29,,,5.29,55.3,4.82,10.78,,,-18.8
2021-03-01,34.43,37.0,13.43,5.55,1614311,0.64,-6.82,12.12,,,19.43,63.4,5.45,9.75,,,-7.89
2021-03-02,37.23,36.3,-1.89,0.62,1287607,0.55,-6.37,6.98,,,17.17,61.5,5.46,9.75,,,-9.63
2021-03-03,36.3,33.92,-6.56,0.0,1130495,0.61,-9.98,-9.98,,,9.49,55.3,5.09,10.47,,,-15.56
2021-03-04,33.75,32.98,-2.77,-0.5,1661662,0.93,-3.06,-15.09,,,6.46,53.1,5.05,10.7,,,-17.9
2021-03-05,32.61,32.2,-2.37,-1.12,1461325,0.95,-1.29,-13.02,,,3.94,51.2,4.98,11.04,,,-19.84
2021-03-08,31.18,32.95,2.33,-3.17,723510,0.48,-10.95,-16.83,,,6.36,52.9,4.72,10.83,,,-17.97
2021-03-09,33.69,35.85,8.8,2.25,1389826,0.92,-1.24,-10.26,,,15.72,58.9,5.16,10.35,,,-10.75
2021-03-10,36.19,33.85,-5.58,0.95,1019428,0.69,-0.21,-15.37,,,9.26,53.8,5.28,10.84,,,-15.73
2021-03-11,34.91,34.62,2.27,3.13,1649563,1.1,4.97,-10.31,,,11.75,55.4,5.27,10.19,,,-13.82
2021-03-12,34.41,34.84,0.64,-0.61,1010695,0.68,8.2,-6.72,,,12.46,55.9,5.24,9.63,,,-13.27
2021-03-15,35.57,38.0,9.07,2.1,2362936,1.49,15.33,4.54,,,22.66,62.1,5.58,8.99,,,-5.4
2021-03-16,38.35,38.17,0.45,0.92,1951786,1.21,6.47,0.66,,,23.21,62.4,5.5,9.14,,,-4.98
2021-03-17,37.31,35.95,-5.82,-2.25,1775399,1.08,6.2,-7.54,,,16.04,56.0,5.62,9.57,,,-10.51
2021-03-18,35.86,30.76,-14.44,-0.25,4206035,2.34,-11.15,-20.82,,,-0.71,44.6,6.42,11.75,,,-23.43
2021-03-19,31.66,31.11,1.14,2.93,7577357,3.63,-10.71,-18.45,,,0.42,45.4,6.43,11.36,,,-22.55
2021-03-22,31.35,32.34,3.95,0.77,3319274,1.63,-14.89,-19.49,,,4.39,48.3,6.38,10.97,,,-19.49
2021-03-23,32.55,32.03,-0.96,0.65,2215741,1.08,-16.09,-19.34,,,3.39,47.6,6.37,10.77,,,-20.26
