date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-12-14,2700.0,1219.0,,,26484,,,,,,0.0,,,157.51,,,
2021-12-15,1014.0,1186.0,-2.71,-16.82,38668,,,,,,-2.71,0.0,,153.58,,,
2021-12-16,1119.0,1137.0,-4.13,-5.65,4382,,,,,,-6.73,0.0,,149.66,,,
2021-12-17,1223.05,1163.0,2.29,7.57,16359,,,,,,-4.59,5.5,,137.39,,,
2021-12-20,1100.0,1020.0,-12.3,-5.42,10142,,,,,,-16.32,4.2,,146.55,,,
2021-12-21,1050.0,935.0,-8.33,2.94,29320,,-23.3,,,,-23.3,3.6,,150.2,,,
2021-12-22,916.0,925.01,-1.07,-2.03,7060,,-22.01,,,,-24.12,3.5,,141.48,,,
2021-12-23,957.0,890.0,-3.78,3.46,5806,,-21.72,,,,-26.99,3.3,,137.25,,,
2021-12-27,890.0,830.0,-6.74,0.0,6025,,-28.63,,,,-31.91,3.0,,137.61,,,
2021-12-28,830.0,903.0,8.8,0.0,5751,,-11.47,,,,-25.92,14.2,,118.28,,,
2021-12-29,903.0,963.0,6.64,0.0,4630,,2.99,,,,-21.0,22.2,,103.48,,,
2021-12-30,953.0,990.0,2.8,-1.04,4447,,7.03,,,,-18.79,25.6,,94.1,,,
2021-12-31,995.0,1052.0,6.26,0.51,3160,,18.2,,,,-13.7,32.7,,83.14,,,
2022-01-03,1051.0,1057.0,0.48,-0.1,2746,,27.35,,,,0.0,33.3,,77.38,,,
2022-01-04,1044.0,1034.0,-2.18,-1.23,2418,,14.51,,,,-2.18,32.0,,73.88,,,
2022-01-05,1017.0,984.0,-4.84,-1.64,2385,,2.18,,,,-6.91,29.3,,72.77,,,
2022-01-06,995.0,948.0,-3.66,1.12,2333,,-4.24,,,,-10.31,27.5,,70.93,,,
2022-01-07,940.0,886.0,-6.54,-0.84,2103,,-15.78,,,,-16.18,24.7,,71.19,,,
2022-01-10,866.0,934.0,5.42,-2.26,2276,,-11.64,,,,-11.64,30.6,,63.66,,,
2022-01-11,936.0,918.0,-1.71,0.21,1429,0.16,-11.22,,,,-13.15,29.7,,60.58,,,-24.69
2022-01-12,909.0,882.0,-3.92,-0.98,841,0.11,-10.37,,,,-16.56,27.9,,59.04,,,-27.65
2022-01-13,887.0,989.0,12.13,0.57,1271,0.22,4.32,-18.87,,,-6.43,39.9,6.1,49.72,,,-18.87
2022-01-14,980.0,1092.0,10.41,-0.91,2923,0.52,23.25,-7.93,,,3.31,48.8,6.56,42.75,,,-10.42
2022-01-18,1112.0,1018.0,-6.78,1.83,4821,0.95,8.99,-10.47,,,-3.69,43.8,6.66,44.13,,,-16.49
2022-01-19,1018.0,1072.0,5.3,0.0,617,0.13,16.78,-7.82,,,1.42,48.0,6.75,39.66,,,-12.06
2022-01-20,1125.01,1016.0,-5.22,4.94,2141,0.66,15.19,-0.39,,,-3.88,44.3,6.28,39.99,,,-16.65
2022-01-21,985.0,899.0,-11.52,-3.05,4117,1.32,-9.1,-3.85,,,-14.95,37.8,6.52,43.29,,,-26.25
2022-01-24,855.0,934.0,3.89,-4.89,984,0.34,-14.47,0.97,,,-11.64,40.6,6.57,39.33,,,-23.38
2022-01-25,921.0,881.0,-5.67,-1.39,1331,0.5,-13.46,-1.01,,,-16.65,37.8,6.64,39.57,,,-27.73
2022-01-26,883.0,821.0,-6.81,0.23,1342,0.56,-23.41,-1.08,,,-22.33,34.9,6.65,40.23,,,-32.65
2022-01-27,812.0,1080.0,31.55,-1.1,10795,3.96,6.3,19.6,,,2.18,52.1,9.41,30.45,,,-11.4
2022-01-28,1020.0,988.0,-8.52,-5.56,2792,1.06,9.9,2.6,,,-6.53,47.3,9.55,31.92,,,-18.95
2022-01-31,999.0,1136.0,14.98,1.11,1436,0.56,21.63,14.75,,,7.47,54.5,10.05,26.75,,,-6.81
2022-02-01,1118.0,1133.0,-0.26,-1.58,1635,0.65,28.6,7.7,,,7.19,54.4,9.99,25.51,,,-7.05
2022-02-02,1119.0,1189.0,4.94,-1.24,976,0.4,44.82,12.49,,,12.49,57.0,10.03,23.14,,,-2.46
2022-02-03,1184.0,1044.0,-12.2,-0.42,2990,1.22,-3.33,0.97,,,-1.23,49.2,10.42,25.92,,,-14.36
2022-02-04,1055.0,1113.0,6.61,1.05,909,0.38,12.65,13.11,,,5.3,52.5,10.42,23.35,,,-8.7
2022-02-07,1116.0,1002.0,-9.97,0.27,1005,0.43,-11.8,5.7,,,-5.2,47.2,10.65,24.96,,,-17.8
2022-02-08,1000.0,1038.0,3.59,-0.2,440,0.2,-8.38,17.16,,,-1.8,49.0,10.53,22.68,,,-14.85
2022-02-09,1044.0,999.0,-3.76,0.58,1546,0.69,-15.98,6.96,,,-5.49,47.1,10.54,22.52,,,-18.05
2022-02-10,965.0,1018.0,1.9,-3.4,6077,2.42,-2.49,10.89,,,-3.69,48.1,10.53,21.38,,,-16.49
2022-02-11,1014.0,954.0,-6.29,-0.39,2336,0.91,-14.29,8.16,,,-9.74,44.9,10.6,21.83,,,-21.74
2022-02-14,931.0,965.0,1.15,-2.41,1453,0.58,-3.69,-2.43,,,-8.7,45.6,10.28,20.64,,,-20.84
2022-02-15,992.0,963.0,-0.21,2.8,537,0.24,-7.23,-11.81,,,-8.89,45.5,10.02,19.62,,,-21.0
2022-02-16,944.0,878.0,-8.83,-1.97,2114,0.9,-12.11,-13.75,,,-16.93,41.0,10.1,20.94,,,-27.97
2022-02-17,872.0,808.0,-7.97,-0.68,2522,1.07,-20.63,-24.63,,,-23.56,37.7,10.15,22.77,,,-33.72
2022-02-18,803.0,659.0,-18.44,-0.62,1928,0.85,-30.92,-35.14,,,-37.65,31.8,10.82,28.19,,,-45.94
2022-02-22,644.0,498.0,-24.43,-2.28,1926,0.84,-48.39,-44.61,,,-52.89,26.9,11.74,37.11,,,-59.15
2022-02-23,493.0,500.0,0.4,-1.0,2174,0.93,-48.08,-46.47,,,-52.7,27.1,11.68,35.96,,,-58.98
2022-02-24,455.0,548.0,9.6,-9.0,3056,1.26,-37.59,-37.8,,,-48.16,30.8,11.93,32.38,-43.02,,-55.05
2022-02-25,548.0,573.0,4.56,0.0,706,0.37,-29.08,-30.21,,,-45.79,32.7,11.94,29.92,-39.61,,-52.99
2022-02-28,555.0,536.0,-6.46,-3.14,616,0.34,-18.66,-50.37,,,-49.29,31.3,9.35,30.91,-42.73,,-56.03
2022-03-01,537.0,418.0,-22.01,0.19,3315,1.73,-16.06,-57.69,,,-60.45,27.4,10.19,39.76,-54.64,,-65.71
2022-03-02,449.0,467.0,11.72,7.42,921,0.49,-6.6,-58.89,,,-55.82,31.2,9.91,34.22,-48.55,,-61.69
2022-03-03,467.0,449.0,-3.85,0.0,867,0.46,-18.07,-60.37,,,-57.52,30.6,9.88,33.96,-49.9,,-63.17
2022-03-04,459.0,548.0,22.05,2.23,10442,4.65,-4.36,-53.91,,,-48.16,38.1,11.25,27.81,-38.32,,-55.05
2022-03-07,537.0,431.0,-21.35,-2.01,1894,0.83,-19.59,-58.72,,,-59.22,33.5,11.79,35.08,-50.94,,-64.64
2022-03-08,412.0,451.0,4.64,-4.41,821,0.36,7.89,-59.48,,,-57.33,35.0,11.71,32.22,-48.15,,-63.0
2022-03-09,479.0,425.0,-5.76,6.21,2173,0.92,-8.99,-57.58,,,-59.79,33.9,11.63,33.01,-50.68,,-65.14
