date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-06-29,8.02,8.02,,,0,,,,,,0.0,,,0.0,,,
2005-06-30,8.09,8.02,0.0,0.96,8700558,,,,,,0.0,,,0.99,,,
2005-07-01,8.25,8.14,1.52,2.85,278722,,,,,,1.52,,,1.14,,,
2005-07-05,8.29,8.18,0.46,1.89,109820,,,,,,1.99,,,1.19,,,
2005-07-06,8.21,8.34,2.07,0.39,448599,,,,,,4.1,,,1.35,,,
2005-07-07,9.14,7.71,-7.59,9.55,967065,,-3.8,,,,-3.8,31.2,,3.32,,,
2005-07-08,8.02,7.69,-0.3,3.95,214627,,-4.09,,,,-4.09,30.3,,3.52,,,
2005-07-11,8.59,7.34,-4.47,11.7,246846,,-9.76,,,,-8.38,21.3,,4.66,,,
2005-07-12,7.44,6.99,-4.89,1.35,336444,,-14.56,,,,-12.86,16.0,,5.33,,,
2005-07-13,6.99,7.4,5.91,0.0,277339,,-11.34,,,,-7.71,35.9,,5.3,,,
2005-07-14,7.41,7.69,3.92,0.21,279502,,-0.3,,,,-4.09,45.6,,5.23,,,
2005-07-15,7.63,7.86,2.29,-0.7,44451,,2.29,,,,-1.9,50.5,,4.96,,,
2005-07-18,7.86,7.96,1.17,0.0,142390,,8.32,,,,-0.75,52.9,,4.69,,,
2005-07-19,8.02,7.98,0.27,0.86,122308,,14.2,,,,-0.49,53.5,,4.43,,,
2005-07-20,7.98,7.87,-1.34,0.0,111003,,6.39,,,,-1.82,50.2,,4.45,,,
2005-07-21,7.86,7.67,-2.52,-0.08,55423,,-0.21,,,,-4.29,44.8,,4.53,,,
2005-07-22,7.73,7.79,1.5,0.7,295708,,-0.98,,,,-2.86,48.3,,4.42,,,
2005-07-25,8.16,8.02,2.94,4.8,13052,,0.76,,,,0.0,54.5,,4.32,,,
2005-07-26,8.16,8.02,0.0,1.81,212949,,0.49,,,,0.0,54.5,,4.15,,,
2005-07-27,8.17,8.21,2.38,1.9,27051,0.04,4.28,,,,2.38,59.2,,3.98,,,-1.64
2005-07-28,8.21,8.61,4.92,0.0,235636,0.36,12.24,,,,7.42,67.0,,3.96,,,0.0
2005-07-29,8.51,7.97,-7.44,-1.15,146754,0.64,2.36,-0.57,,,-0.57,50.5,3.67,4.55,,,-7.44
2005-08-01,8.67,8.12,1.83,8.73,28735,0.13,1.25,1.25,,,1.25,53.3,3.69,4.76,,,-5.75
2005-08-02,8.26,7.79,-4.05,1.78,111849,0.52,-2.86,-4.32,,,-2.86,46.9,3.79,5.43,,,-9.57
2005-08-03,7.67,7.8,0.2,-1.48,41086,0.21,-4.93,-4.56,,,-2.66,47.2,3.78,5.39,,,-9.39
2005-08-04,7.8,7.76,-0.59,0.0,1775,0.01,-9.93,-7.04,,,-3.24,46.3,3.75,5.07,,,-9.93
