date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-11-21,16.9,18.65,,,1032736,,,,,,0.0,,,15.71,,,
2019-11-22,18.65,18.05,-3.22,0.0,149700,,,,,,-3.22,0.0,,15.76,,,
2019-11-25,18.0,17.15,-4.99,-0.28,154354,,,,,,-8.04,0.0,,16.34,,,
2019-11-26,17.17,17.01,-0.82,0.12,34866,,,,,,-8.79,0.0,,15.71,,,
2019-11-27,16.99,17.29,1.65,-0.12,119979,,,,,,-7.29,3.5,,14.62,,,
2019-11-29,17.51,17.4,0.64,1.27,5839,,-6.7,,,,-6.7,5.0,,13.7,,,
2019-12-02,17.5,16.6,-4.6,0.57,74197,,-8.03,,,,-10.99,4.4,,14.11,,,
2019-12-03,16.8,16.74,0.84,1.2,65842,,-2.39,,,,-10.24,6.3,,13.58,,,
2019-12-04,16.77,16.94,1.19,0.18,63323,,-0.41,,,,-9.17,9.0,,12.62,,,
2019-12-05,16.95,16.8,-0.83,0.06,45436,,-2.83,,,,-9.92,8.8,,12.2,,,
2019-12-06,16.7,18.03,7.32,-0.6,81235,,3.62,,,,-3.32,24.0,,11.27,,,
2019-12-09,18.04,20.5,13.7,0.06,158436,,23.49,,,,9.92,44.1,,10.61,,,
2019-12-10,20.3,19.64,-4.2,-0.98,120563,,17.32,,,,5.31,40.1,,10.98,,,
2019-12-11,19.65,20.34,3.56,0.05,47991,,20.07,,,,9.06,44.5,,10.35,,,
2019-12-12,20.5,19.25,-5.36,0.79,74894,,14.58,,,,3.22,39.6,,11.05,,,
2019-12-13,19.5,19.63,1.97,1.3,29191,,8.87,,,,5.25,42.0,,10.42,,,
2019-12-16,19.98,21.29,8.46,1.78,159094,,3.85,,,,14.16,51.1,,9.81,,,
2019-12-17,21.65,22.26,4.56,1.69,112197,,13.34,,,,19.36,55.5,,9.5,,,
2019-12-18,22.37,21.52,-3.32,0.49,52877,,5.8,,,,15.39,51.7,,9.42,,,
2019-12-19,21.66,21.07,-2.09,0.65,57623,0.44,9.45,,,,12.98,49.5,,9.39,,,-5.35
2019-12-20,21.19,21.64,2.71,0.57,52229,0.63,10.24,,,,16.03,52.3,,8.82,,,-2.79
2019-12-23,21.36,21.11,-2.45,-1.29,21916,0.29,-0.85,13.19,,,13.19,49.5,4.89,8.69,,,-5.17
2019-12-24,21.12,21.21,0.47,0.05,12905,0.19,-4.72,17.51,,,13.73,50.0,4.81,8.25,,,-4.72
2019-12-26,21.25,21.59,1.79,0.19,16238,0.24,0.33,25.89,,,15.76,52.1,4.62,7.97,,,-3.01
2019-12-27,21.3,22.74,5.33,-1.34,31093,0.48,7.93,33.69,,,21.93,57.8,4.68,7.68,,,0.0
2019-12-30,23.08,24.37,7.17,1.5,130264,1.85,12.62,40.95,,,30.67,64.3,4.84,7.4,,,0.0
2019-12-31,24.61,25.5,4.64,0.98,164123,2.19,20.8,46.55,,,36.73,68.0,4.87,7.02,,,0.0
2020-01-02,26.0,24.34,-4.55,1.96,119205,1.54,14.76,46.63,,,0.0,61.0,4.87,8.06,,,-4.55
2020-01-03,24.1,23.33,-4.15,-0.99,69803,0.9,8.06,39.37,,,-4.15,55.7,5.04,8.3,,,-8.51
2020-01-06,22.07,22.15,-5.06,-5.4,105718,1.31,-2.59,30.76,,,-9.0,50.2,5.25,8.91,,,-13.14
2020-01-07,21.54,22.13,-0.09,-2.75,128822,1.55,-9.19,31.73,,,-9.08,50.1,5.24,8.83,,,-13.22
2020-01-08,22.33,22.55,1.9,0.9,52245,0.67,-11.57,25.07,,,-7.35,52.0,5.07,8.35,,,-11.57
2020-01-09,22.65,22.31,-1.06,0.44,159618,2.0,-8.34,8.83,,,-8.34,50.8,4.19,8.49,,,-12.51
2020-01-10,22.32,22.8,2.2,0.04,165363,1.93,-2.27,16.09,,,-6.33,53.2,4.07,8.4,,,-10.59
2020-01-13,22.84,22.43,-1.62,0.18,65152,0.76,1.26,10.28,,,-7.85,51.2,4.05,8.57,,,-12.04
2020-01-14,22.31,23.47,4.64,-0.53,49938,0.58,6.06,21.92,,,-3.57,56.3,3.9,8.24,,,-7.96
