date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-05-25,9.75,9.75,,,802,,,,,,0.0,,,0.0,,,
2021-05-26,9.8,9.79,0.41,0.51,954,,,,,,0.41,,,0.05,,,
2021-05-28,9.76,9.7,-0.92,-0.31,11155,,,,,,-0.51,85.2,,0.11,,,
2021-06-02,9.7,9.68,-0.21,0.0,21571,,,,,,-0.72,82.3,,0.12,,,
2021-06-03,9.69,9.68,0.0,0.1,2138,,,,,,-0.72,82.3,,0.12,,,
2021-06-04,9.68,9.72,0.41,0.0,26258,,-0.31,,,,-0.31,83.6,,0.18,,,
2021-06-07,9.72,9.99,2.78,0.0,25845,,2.04,,,,2.46,89.3,,0.9,,,
2021-06-08,9.87,10.65,6.61,-1.2,2448468,,9.79,,,,9.23,94.4,,1.54,,,
2021-06-09,11.25,10.79,1.31,5.63,3731948,,11.47,,,,10.67,95.0,,1.85,,,
2021-06-10,11.05,10.99,1.85,2.41,1885003,,13.53,,,,12.72,95.6,,2.01,,,
2021-06-11,11.16,12.44,13.19,1.59,2279919,,27.98,,,,27.59,97.8,,2.52,,,
2021-06-14,13.0,12.09,-2.81,4.5,2274254,,21.02,,,,24.0,86.5,,3.64,,,
2021-06-15,11.18,10.45,-13.56,-7.53,7250939,,-1.88,,,,7.18,54.5,,5.08,,,
2021-06-16,10.61,10.59,1.34,1.53,3353433,,-1.85,,,,8.62,56.0,,4.83,,,
2021-06-17,10.69,10.67,0.76,0.94,1792600,,-2.91,,,,9.44,56.8,,4.65,,,
2021-06-18,10.72,10.6,-0.66,0.5,946383,,-14.79,,,,8.72,55.8,,4.5,,,
2021-06-21,10.65,10.43,-1.6,0.47,1048856,,-13.73,,,,6.97,53.2,,4.43,,,
2021-06-22,10.5,10.58,1.44,0.67,2051474,,1.24,,,,8.51,55.2,,4.31,,,
2021-06-23,10.57,10.53,-0.47,-0.09,1366079,,-0.57,,,,8.0,54.4,,4.13,,,
2021-06-24,10.53,10.38,-1.42,0.0,1042755,0.66,-2.72,,,,6.46,51.9,,4.1,,,-16.56
2021-06-25,10.5,10.5,1.16,1.16,909727,0.56,-0.94,,,,7.69,53.7,,3.96,,,-15.59
2021-06-28,10.55,10.55,0.48,0.48,1040081,0.62,1.15,8.21,,,8.21,54.5,4.64,3.82,,,-15.19
2021-06-29,10.59,10.47,-0.76,0.38,566270,0.33,-1.04,6.95,,,7.38,53.0,4.65,3.7,,,-15.84
2021-06-30,10.5,10.37,-0.96,0.29,691681,0.4,-1.52,6.91,,,6.36,51.1,4.65,3.6,,,-16.64
2021-07-01,10.4,10.31,-0.58,0.29,582328,0.33,-0.67,6.51,,,5.74,49.9,4.65,3.46,,,-17.12
2021-07-02,10.31,10.27,-0.39,0.0,726287,0.4,-2.19,6.1,,,5.33,49.1,4.65,3.29,,,-17.44
2021-07-06,10.32,10.22,-0.49,0.49,695071,0.38,-3.13,5.14,,,4.82,48.0,4.66,3.16,,,-17.85
2021-07-07,10.25,10.18,-0.39,0.29,440879,0.25,-2.77,1.9,,,4.41,47.2,4.62,3.03,,,-18.17
2021-07-08,10.19,10.15,-0.29,0.1,964181,0.6,-2.12,-4.69,,,4.1,46.5,4.38,2.93,,,-18.41
2021-07-09,10.12,10.12,-0.3,-0.3,481000,0.32,-1.84,-6.21,,,3.79,45.8,4.37,2.8,,,-18.65
2021-07-12,10.15,10.07,-0.49,0.3,612146,0.42,-1.95,-8.37,,,3.28,44.6,4.35,2.72,,,-19.05
2021-07-13,10.1,9.99,-0.79,0.3,1121455,0.81,-2.25,-19.69,,,2.46,42.6,3.05,2.64,,,-19.69
2021-07-14,10.0,9.97,-0.2,0.1,727431,0.69,-2.06,-17.54,,,2.26,42.1,3.02,2.52,,,-19.86
2021-07-15,10.0,10.02,0.5,0.3,502706,0.55,-1.28,-4.11,,,2.77,43.9,0.84,2.4,,,-19.45
2021-07-16,10.01,9.97,-0.5,-0.1,440945,0.52,-1.48,-5.85,,,2.26,42.5,0.77,2.29,,,-19.86
2021-07-19,9.95,9.9,-0.7,-0.2,1330872,1.53,-1.69,-7.22,,,1.54,40.6,0.73,2.22,,,-20.42
2021-07-20,9.95,9.97,0.76,0.51,852191,0.99,-0.15,-5.9,,,2.31,43.5,0.77,2.12,,,-19.82
2021-07-21,10.0,10.09,1.15,0.25,3520890,3.78,1.2,-3.26,,,3.49,47.8,0.77,2.09,,,-18.89
2021-07-22,10.06,10.0,-0.89,-0.3,468452,0.53,-0.2,-5.48,,,2.56,45.0,0.69,2.07,,,-19.61
2021-07-23,10.05,9.98,-0.2,0.5,264109,0.31,0.1,-5.22,,,2.36,44.3,0.69,2.02,,,-19.77
2021-07-26,9.96,9.97,-0.05,-0.2,318355,0.39,0.76,-3.9,,,2.31,44.1,0.63,1.89,,,-19.82
2021-07-27,9.95,9.96,-0.15,-0.25,381498,0.49,-0.15,-5.14,,,2.15,43.6,0.55,1.85,,,-19.94
2021-07-28,9.96,9.95,-0.1,0.0,261573,0.34,-1.39,-5.69,,,2.05,43.2,0.53,1.75,,,-20.02
2021-07-29,9.98,9.95,0.0,0.3,250080,0.33,-0.5,-4.97,,,2.05,43.2,0.52,1.68,,,-20.02
2021-07-30,9.95,9.92,-0.3,0.0,360917,0.49,-0.6,-4.34,,,1.74,42.0,0.49,1.61,,,-20.26
2021-08-02,9.91,9.87,-0.5,-0.1,638122,0.87,-1.05,-4.27,,,1.23,39.9,0.49,1.57,,,-20.66
2021-08-03,9.89,9.87,0.0,0.2,368145,0.51,-0.9,-3.89,,,1.23,39.9,0.49,1.52,,,-20.66
2021-08-04,9.87,9.87,0.0,0.0,525785,0.73,-0.8,-3.42,,,1.23,39.9,0.49,1.43,,,-20.66
2021-08-05,9.88,9.86,-0.1,0.1,173331,0.25,-0.9,-3.14,,,1.13,39.4,0.49,1.35,,,-20.74
2021-08-06,9.89,9.89,0.3,0.3,204901,0.31,-0.3,-2.56,,,1.44,41.7,0.5,1.28,-3.37,,-20.5
2021-08-09,9.89,9.88,-0.1,0.0,293485,0.45,0.1,-2.37,,,1.33,41.1,0.49,1.24,-3.49,,-20.58
2021-08-10,9.93,9.93,0.51,0.51,162054,0.27,0.61,-1.39,,,1.85,45.1,0.5,1.18,-3.03,,-20.18
2021-08-11,9.97,9.91,-0.2,0.4,262427,0.45,0.41,-0.8,,,1.64,43.9,0.48,1.17,-3.26,,-20.34
2021-08-12,9.88,9.89,-0.2,-0.3,207408,0.37,0.3,-0.8,,,1.44,42.5,0.48,1.14,-3.5,,-20.5
2021-08-13,9.9,9.87,-0.2,0.1,151242,0.28,-0.2,-1.5,,,1.23,41.2,0.46,1.1,-3.73,,-20.66
2021-08-16,9.86,9.87,0.0,-0.1,245852,0.5,-0.1,-1.0,,,1.23,41.2,0.45,1.04,-3.75,,-20.66
2021-08-17,9.82,9.84,-0.3,-0.51,592884,1.23,-0.91,-0.61,,,0.92,39.1,0.43,1.01,-4.02,,-20.9
2021-08-18,9.89,9.82,-0.2,0.51,302720,0.94,-0.91,-1.55,,,0.72,37.7,0.39,0.99,-4.06,,-21.06
2021-08-19,9.83,9.83,0.1,0.1,278893,0.89,-0.61,-2.58,,,0.82,38.9,0.28,0.96,-3.78,,-20.98
2021-08-20,9.85,9.83,0.0,0.2,228328,0.74,-0.41,-1.7,,,0.82,38.9,0.21,0.92,-3.56,,-20.98
2021-08-23,9.84,9.84,0.1,0.1,181944,0.6,-0.3,-1.4,,,0.92,40.2,0.22,0.86,-2.97,,-20.9
2021-08-24,9.82,9.86,0.2,-0.2,302190,1.01,0.2,-1.15,,,1.13,42.8,0.22,0.83,-2.34,,-20.74
2021-08-25,9.85,9.84,-0.2,-0.1,84748,0.29,0.2,-1.2,,,0.92,40.9,0.23,0.79,-2.42,,-20.9
2021-08-26,9.87,9.88,0.41,0.3,288675,0.99,0.51,-0.7,1.33,,1.33,46.1,0.25,0.79,-1.89,,-20.58
2021-08-27,9.93,9.9,0.2,0.51,141446,0.5,0.71,-0.5,1.12,,1.54,48.6,0.25,0.78,-1.54,,-20.42
2021-08-30,9.9,9.92,0.2,0.0,118608,0.46,0.81,0.0,2.27,,1.74,51.0,0.25,0.76,-1.21,,-20.26
2021-08-31,9.93,9.92,0.0,0.1,160796,0.66,0.61,0.51,2.48,,1.74,51.0,0.22,0.74,-1.1,,-20.26
2021-09-01,9.9,9.88,-0.4,-0.2,231112,1.0,0.41,0.1,2.07,,1.33,46.0,0.24,0.74,-1.37,,-20.58
2021-09-02,9.93,9.9,0.2,0.51,203496,0.88,0.2,0.3,1.85,,1.54,48.7,0.24,0.74,-1.04,,-20.42
2021-09-03,9.93,9.92,0.2,0.3,64702,0.29,0.2,0.61,-0.7,,1.74,51.3,0.24,0.71,-0.75,,-20.26
2021-09-07,9.93,9.97,0.5,0.1,678102,2.77,0.5,0.81,-6.38,,2.26,57.2,0.26,0.72,-0.14,,-19.86
