date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2011-10-27,22800.0,22800.0,,,9,,,,,,0.0,,,13.16,,,
2011-10-28,22200.0,22500.0,-1.32,-2.63,6,,,,,,-1.32,0.0,,12.86,,,
2011-10-31,24600.0,22200.0,-1.33,9.33,3,,,,,,-2.63,0.0,,13.07,,,
2011-11-01,22500.0,21900.0,-1.35,1.35,6,,,,,,-3.95,0.0,,12.69,,,
2011-11-02,21300.0,21300.0,-2.74,-2.74,11,,,,,,-6.58,0.0,,12.62,,,
2011-11-03,21000.0,24000.0,12.68,-1.41,6,,5.26,,,,5.26,39.3,,11.29,,,
2011-11-04,24000.0,23370.0,-2.62,0.0,8,,3.87,,,,2.5,35.7,,11.41,,,
2011-11-07,23400.0,21600.0,-7.57,0.13,6,,-2.7,,,,-5.26,28.1,,12.26,,,
2011-11-08,21300.0,21000.0,-2.78,-1.39,8,,-4.11,,,,-7.89,26.1,,12.01,,,
2011-11-09,21300.0,21300.0,1.43,1.43,5,,0.0,,,,-6.58,28.8,,11.4,,,
2011-11-10,21600.0,21600.0,1.41,1.41,3,,-10.0,,,,-5.26,31.6,,10.74,,,
2011-11-11,21600.0,21000.0,-2.78,0.0,2,,-10.14,,,,-7.89,29.2,,10.46,,,
2011-11-14,21600.0,21000.0,0.0,2.86,3,,-2.78,,,,-7.89,29.2,,10.32,,,
2011-11-15,21600.0,21000.0,0.0,2.86,5,,0.0,,,,-7.89,29.2,,10.1,,,
2011-11-16,21000.0,21000.0,0.0,0.0,3,,-1.41,,,,-7.89,29.2,,10.09,,,
2011-11-17,21300.0,21300.0,1.43,1.43,2,,-1.39,,,,-6.58,32.7,,9.94,,,
2011-11-18,19800.0,20400.0,-4.23,-7.04,4,,-2.86,,,,-10.53,28.2,,10.16,,,
2011-11-21,20100.0,19200.0,-5.88,-1.47,8,,-8.57,,,,-15.79,23.5,,10.81,,,
2011-11-22,20100.0,18300.0,-4.69,4.69,6,,-12.86,,,,-19.74,20.8,,11.35,,,
2011-11-23,18000.0,16800.0,-8.2,-1.64,7,1.26,-20.0,,,,-26.32,17.1,,12.5,,,-30.0
2011-11-25,16200.0,15300.0,-8.93,-3.57,10,1.79,-28.17,,,,-32.89,14.4,,13.59,,,-36.25
2011-11-28,19500.0,19200.0,25.49,27.45,22,3.44,-5.88,-15.79,,,-15.79,40.7,7.5,12.28,,,-20.0
2011-11-29,19500.0,19500.0,1.56,1.56,5,0.77,1.56,-13.33,,,-14.47,42.1,7.51,11.67,,,-18.75
2011-11-30,19500.0,18000.0,-7.69,0.0,10,1.49,-1.64,-18.92,,,-21.05,37.2,7.67,12.91,,,-25.0
2011-12-01,19500.0,20400.0,13.33,8.33,8,1.22,21.43,-6.85,,,-10.53,47.8,8.26,11.42,,,-15.0
2011-12-02,20700.0,20100.0,-1.47,1.47,4,0.62,31.37,-5.63,,,-11.84,46.7,8.24,11.4,,,-16.25
2011-12-05,20400.0,20700.0,2.99,1.49,6,0.94,7.81,-13.75,,,-9.21,49.1,7.76,10.59,,,-13.75
2011-12-06,21600.0,16206.0,-21.71,4.35,69,7.26,-16.89,-30.65,,,-28.92,35.9,9.04,15.69,,,-32.48
2011-12-07,19200.0,17901.0,10.46,18.47,23,2.24,-0.55,-17.12,,,-21.49,42.2,9.27,14.62,,,-25.41
2011-12-08,18000.0,16800.0,-6.15,0.55,7,0.68,-17.65,-20.0,,,-26.32,39.5,9.34,15.08,,,-30.0
2011-12-09,17100.0,17100.0,1.79,1.79,9,0.85,-14.93,-19.72,,,-25.0,40.6,9.35,14.38,,,-28.75
2011-12-12,17400.0,16200.0,-5.26,1.75,13,1.16,-21.74,-25.0,,,-28.95,38.3,9.39,15.15,,,-32.5
2011-12-13,15300.0,15000.0,-7.41,-5.56,28,2.25,-7.44,-28.57,,,-34.21,35.5,9.48,15.91,,,-37.5
2011-12-14,14700.0,14400.0,-4.0,-2.0,8,0.63,-19.56,-31.43,,,-36.84,34.1,9.5,15.84,,,-40.0
2011-12-15,14400.0,12300.0,-14.58,0.0,29,2.09,-26.79,-41.43,,,-46.05,29.7,9.92,19.13,,,-48.75
2011-12-16,12900.0,11700.0,-4.88,4.88,17,1.16,-31.58,-44.29,,,-48.68,28.6,9.93,19.95,,,-51.25
2011-12-19,12600.0,11100.0,-5.13,7.69,11,0.73,-31.48,-47.89,,,-51.32,27.5,9.91,20.69,,,-53.75
2011-12-20,11400.0,11400.0,2.7,2.7,19,1.22,-24.0,-44.12,,,-50.0,29.0,9.96,19.64,,,-52.5
2011-12-21,11100.0,11700.0,2.63,-2.63,11,0.7,-18.75,-39.06,,,-48.68,30.5,9.98,18.5,,,-51.25
2011-12-22,11700.0,13500.0,15.38,0.0,22,1.33,9.76,-26.23,,,-40.79,39.1,10.64,16.24,,,-43.75
2011-12-23,13500.0,14100.0,4.44,0.0,19,1.12,20.51,-16.07,,,-38.16,41.7,10.56,15.66,,,-41.25
2011-12-27,14100.0,13200.0,-6.38,0.0,11,0.67,18.92,-13.73,,,-42.11,39.0,10.47,16.58,,,-45.0
2011-12-28,13200.0,12900.0,-2.27,0.0,7,0.42,13.16,-32.81,,,-43.42,38.1,8.67,17.02,,,-46.25
2011-12-29,12600.0,14400.0,11.63,-2.33,7,0.43,23.08,-26.15,,,-36.84,44.8,9.11,15.45,,,-40.0
2011-12-30,14400.0,14070.0,-2.29,0.0,12,0.72,4.22,-21.83,,,-38.29,43.7,8.99,15.3,,,-41.37
2012-01-03,14700.0,14100.0,0.21,4.48,3,0.18,0.0,-30.88,,,0.0,43.8,8.4,14.91,,,-41.25
2012-01-04,13500.0,13710.0,-2.77,-4.26,5,0.3,3.86,-31.79,,,-2.77,42.4,8.4,14.55,,,-42.88
2012-01-05,13200.0,13200.0,-3.72,-3.72,7,0.52,2.33,-36.23,,,-6.38,40.5,8.35,14.68,,,-45.0
2012-01-06,14100.0,17220.0,30.45,6.82,22,1.65,19.58,6.26,,,22.13,56.8,9.77,12.19,,,-28.25
2012-01-09,18900.0,19800.0,14.98,9.76,35,2.37,40.72,10.61,,,40.43,63.7,10.04,11.04,11.39,,-17.5
2012-01-10,20700.0,22500.0,13.64,4.55,39,2.4,59.57,33.93,,,59.57,69.2,10.27,10.34,26.62,,-6.25
2012-01-11,22500.0,20700.0,-8.0,0.0,17,1.03,50.98,21.05,,,46.81,62.4,10.49,11.47,16.73,,-13.75
