date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-03-05,10.02,10.19,,,1470400,,,,,,0.0,,,5.89,,,
2015-03-06,10.38,10.29,0.98,1.86,219900,,,,,,0.98,,,5.64,,,
2015-03-09,10.4,10.54,2.43,1.07,50200,,,,,,3.43,,,5.35,,,
2015-03-10,10.65,11.48,8.92,1.04,155200,,,,,,12.66,,,5.34,,,
2015-03-11,11.35,10.99,-4.27,-1.13,23700,,,,,,7.85,81.8,,5.59,,,
2015-03-12,10.82,10.67,-2.91,-1.55,45100,,4.71,,,,4.71,72.6,,6.08,,,
2015-03-13,10.8,10.7,0.28,1.22,34500,,3.98,,,,5.0,72.9,,6.23,,,
2015-03-16,10.65,10.76,0.56,-0.47,40600,,2.09,,,,5.59,73.5,,6.01,,,
2015-03-17,11.18,11.2,4.09,3.9,55000,,-2.44,,,,9.91,77.7,,5.71,,,
2015-03-18,11.85,11.49,2.59,5.8,57900,,4.55,,,,12.76,80.0,,5.7,,,
2015-03-19,11.2,11.9,3.57,-2.52,74800,,11.53,,,,16.78,82.6,,5.61,,,
2015-03-20,12.2,11.82,-0.67,2.52,34100,,10.47,,,,16.0,80.4,,5.61,,,
2015-03-23,11.7,12.19,3.13,-1.02,31600,,13.29,,,,19.63,82.7,,5.47,,,
2015-03-24,11.91,12.0,-1.56,-2.3,12000,,7.14,,,,17.76,77.6,,5.41,,,
2015-03-25,11.85,11.38,-5.17,-1.25,53000,,-0.96,,,,11.68,63.7,,6.03,,,
2015-03-26,11.38,11.6,1.93,0.0,13100,,-2.52,,,,13.84,66.1,,5.8,,,
2015-03-27,11.4,11.3,-2.59,-1.72,13300,,-4.4,,,,10.89,60.4,,5.87,,,
2015-03-30,12.0,12.25,8.41,6.19,46100,,0.49,,,,20.22,69.4,,5.58,,,
2015-03-31,12.35,12.39,1.14,0.82,36100,,3.25,,,,21.59,70.4,,5.35,,,
2015-04-01,11.9,12.57,1.45,-3.95,11300,0.09,10.46,,,,23.36,71.8,,5.34,,,0.0
2015-04-02,12.57,13.05,3.82,0.0,123600,2.19,12.5,,,,28.07,75.1,,5.45,,,0.0
2015-04-06,12.48,13.68,4.83,-4.37,98900,1.96,21.06,34.25,,,34.25,78.6,3.65,6.03,,,0.0
