date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-12-10,10.25,10.0,,,3033,,,,,,0.0,,,2.5,,,
2020-12-11,10.1,10.13,1.3,1.0,170603,,,,,,1.3,,,2.74,,,
2020-12-14,10.15,10.18,0.49,0.2,134086,,,,,,1.8,,,2.72,,,
2020-12-15,10.28,10.07,-1.08,0.98,129260,,,,,,0.7,93.6,,2.74,,,
2020-12-16,10.13,10.09,0.2,0.57,129009,,,,,,0.9,93.7,,2.63,,,
2020-12-17,10.1,10.05,-0.4,0.1,25821,,0.5,,,,0.5,91.3,,2.52,,,
2020-12-18,10.1,10.06,0.1,0.5,42298,,-0.69,,,,0.6,91.3,,2.42,,,
2020-12-21,10.13,10.05,-0.1,0.7,144165,,-1.28,,,,0.5,90.7,,2.35,,,
2020-12-22,10.1,10.47,4.18,0.5,185480,,3.97,,,,4.7,93.0,,2.62,,,
2020-12-23,10.48,10.35,-1.15,0.1,235420,,2.58,,,,3.5,86.3,,2.72,,,
2020-12-24,10.48,10.25,-0.97,1.26,173747,,1.99,,,,2.5,81.1,,2.84,,,
2020-12-28,10.4,10.44,1.85,1.46,387616,,3.78,,,,4.4,83.2,,2.82,,,
2020-12-29,10.44,10.22,-2.11,0.0,226567,,1.69,,,,2.2,73.2,,2.91,,,
2020-12-30,10.2,10.19,-0.29,-0.2,124724,,-2.67,,,,1.9,71.9,,2.87,,,
2020-12-31,10.15,10.12,-0.69,-0.39,183894,,-2.22,,,,1.2,68.9,,2.8,,,
2021-01-04,10.12,10.09,-0.3,0.0,135110,,-1.56,,,,0.0,67.6,,2.71,,,
2021-01-05,10.14,10.17,0.79,0.5,105636,,-2.59,,,,0.79,69.3,,2.61,,,
2021-01-06,10.17,10.05,-1.18,0.0,273879,,-1.66,,,,-0.4,63.9,,2.61,,,
2021-01-07,10.12,10.11,0.6,0.7,229785,,-0.79,,,,0.2,65.4,,2.5,,,
2021-01-08,10.1,10.13,0.2,-0.1,227024,1.39,0.1,,,,0.4,65.9,,2.4,,,-3.25
2021-01-11,10.15,10.21,0.79,0.2,185532,1.08,1.19,,,,1.19,67.8,,2.28,,,-2.48
2021-01-12,10.2,10.46,2.45,-0.1,429798,2.32,2.85,4.6,,,3.67,73.0,1.41,2.24,,,-0.1
2021-01-13,10.5,10.57,1.05,0.38,323828,1.66,5.17,4.34,,,4.76,74.9,1.4,2.21,,,0.0
2021-01-14,10.71,10.59,0.2,1.32,253666,1.26,4.76,4.04,,,4.97,75.3,1.4,2.22,,,0.0
2021-01-15,10.64,10.46,-1.24,0.46,250734,1.21,3.26,3.87,,,3.67,68.6,1.4,2.36,,,-1.24
2021-01-19,10.57,10.8,3.25,1.05,476686,2.07,5.78,7.04,,,7.04,74.8,1.55,2.4,,,0.0
2021-01-20,10.89,10.9,0.93,0.83,507743,2.01,4.21,8.46,,,8.03,76.3,1.55,2.49,,,0.0
2021-01-21,10.99,10.78,-1.1,0.83,448662,1.67,1.99,7.16,,,6.84,70.9,1.58,2.59,,,-1.1
2021-01-22,10.89,11.05,2.5,1.02,559468,1.95,4.33,9.95,,,9.51,75.2,1.65,2.55,,,0.0
2021-01-25,11.34,11.03,-0.18,2.62,596410,1.96,5.45,5.35,,,9.32,74.3,1.41,2.79,,,-0.18
