date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-06-03,8.25,8.0,,,15623,,,,,,0.0,,,9.38,,,
2024-06-04,8.0,7.99,-0.12,0.0,13050,,,,,,-0.12,0.0,,9.16,,,
2024-06-05,7.99,6.75,-15.52,0.0,14641,,,,,,-15.62,0.0,,12.06,,,
2024-06-06,6.5,6.21,-8.08,-3.71,8096,,,,,,-22.44,0.0,,13.51,,,
2024-06-07,6.5,7.07,13.94,4.75,14257,,,,,,-11.62,33.9,,12.42,,,
2024-06-10,7.4,7.75,9.62,4.67,20099,,-3.12,,,,-3.12,48.6,,11.61,,,
2024-06-11,7.23,7.45,-3.87,-6.71,4077,,-6.76,,,,-6.87,44.0,,11.94,,,
2024-06-12,6.76,6.8,-8.76,-9.26,13016,,0.7,,,,-15.03,35.9,,13.57,,,
2024-06-13,7.28,6.65,-2.15,7.1,6420,,7.19,,,,-16.86,34.4,,13.84,,,
2024-06-14,6.6,6.5,-2.27,-0.77,2511,,-8.06,,,,-18.75,32.8,,13.7,,,
2024-06-17,6.82,6.44,-0.92,4.92,3906,,-16.9,,,,-19.5,32.2,,13.26,,,
2024-06-18,6.79,6.0,-6.83,5.43,6920,,-19.46,,,,-25.0,28.0,,14.35,,,
2024-06-20,5.94,6.44,7.28,-1.0,3377,,-5.3,,,,-19.54,36.8,,12.97,,,
2024-06-21,5.8,5.91,-8.17,-9.9,2724,,-11.13,,,,-26.11,31.8,,14.42,,,
2024-06-24,5.8,5.51,-6.78,-1.87,6295,,-15.23,,,,-31.13,28.6,,14.9,,,
2024-06-25,5.51,5.53,0.28,0.0,1736,,-14.2,,,,-30.94,28.9,,14.18,,,
2024-06-27,5.75,5.24,-5.23,4.07,3146,,-12.73,,,,-34.55,26.6,,14.75,,,
2024-06-28,5.83,5.74,9.53,11.34,2190,,-10.91,,,,-28.31,35.9,,13.27,,,
2024-07-01,5.26,5.3,-7.59,-8.29,2290,,-10.33,,,,-33.75,32.1,,14.18,,,
2024-07-02,5.27,5.25,-0.94,-0.64,724,0.1,-4.72,,,,-34.38,31.7,,13.46,,,-34.38
2024-07-08,5.25,5.25,0.0,0.0,1359,0.21,-4.98,,,,-34.38,31.7,,12.69,,,-34.38
2024-07-09,5.2,5.18,-1.33,-0.95,621,0.1,-1.07,-35.25,,,-35.25,31.0,7.13,12.04,,,-35.25
2024-07-10,5.1,5.79,11.78,-1.54,4462,0.82,0.96,-27.53,,,-27.62,42.2,7.72,11.42,,,-27.62
2024-07-11,5.98,6.14,6.04,3.28,2690,0.52,15.85,-9.04,,,-23.25,47.4,7.14,10.56,,,-23.25
2024-07-12,5.33,5.77,-6.02,-13.19,3176,0.69,9.92,-7.0,,,-27.87,43.0,7.04,11.7,,,-27.87
2024-07-15,5.98,5.95,3.11,3.63,1192,0.33,13.33,-15.84,,,-25.62,45.6,6.32,10.79,,,-25.62
2024-07-16,5.58,5.58,-6.22,-6.22,515,0.15,7.72,-28.0,,,-30.25,41.3,5.97,11.16,,,-30.25
2024-07-17,5.6,5.6,0.36,0.36,332,0.12,-3.28,-24.83,,,-30.0,41.7,5.95,10.35,,,-30.0
2024-07-18,5.75,5.78,3.21,2.68,2261,0.86,-5.86,-14.97,,,-27.75,44.6,5.76,9.78,,,-27.75
2024-07-22,5.66,6.0,3.81,-2.08,1813,0.7,3.98,-9.79,,,-25.0,48.0,5.83,9.16,,,-25.0
2024-07-23,5.51,5.51,-8.16,-8.16,1125,0.46,-7.39,-15.23,,,-31.12,41.8,6.06,9.9,,,-31.12
2024-07-24,5.49,5.52,0.18,-0.41,6411,2.65,-1.08,-14.29,,,-31.0,42.0,6.07,9.86,,,-31.0
2024-07-25,5.47,5.47,-0.99,-0.82,2521,1.06,-2.41,-8.91,,,-31.68,41.3,5.89,9.32,,,-31.68
2024-07-26,5.4,5.87,7.44,-1.19,402,0.18,1.59,-8.78,,,-26.6,48.1,5.91,8.63,,,-26.6
2024-07-30,5.5,5.7,-2.93,-6.33,3406,1.61,-5.0,-3.57,,,-28.75,45.7,5.66,8.75,,,-28.75
2024-07-31,5.7,6.25,9.65,0.0,26693,7.93,13.43,13.43,,,-21.88,53.7,5.81,8.78,,,-21.88
2024-08-01,6.11,6.0,-4.0,-2.24,396,0.12,8.7,8.59,,,-25.0,50.1,5.9,8.79,,,-25.0
2024-08-02,6.7,6.7,11.67,11.67,135,0.04,22.59,27.96,,,-16.25,58.5,6.22,8.06,,,-16.25
2024-08-05,6.6,6.0,-10.45,-1.49,1905,0.61,2.18,4.62,,,-25.0,49.5,6.43,9.19,,,-25.0
2024-08-06,5.41,5.39,-10.17,-9.83,1461,0.46,-5.44,1.7,,,-32.63,43.3,6.61,10.3,,,-32.63
