date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-03-03,12.11,12.01,,,1772158,,,,,,0.0,,,8.66,,,
2016-03-04,12.06,11.85,-1.33,0.42,422062,,,,,,-1.33,0.0,,8.36,,,
2016-03-07,11.65,11.0,-7.17,-1.69,109711,,,,,,-8.41,0.0,,9.01,,,
2016-03-08,10.81,13.55,23.18,-1.73,165557,,,,,,12.82,48.4,,8.8,,,
2016-03-09,13.5,14.83,9.45,-0.37,343038,,,,,,23.48,59.1,,9.0,,,
2016-03-10,15.0,13.31,-10.25,1.15,302459,,10.82,,,,10.82,46.7,,11.27,,,
2016-03-11,13.45,12.73,-4.36,1.05,95522,,7.43,,,,6.0,43.0,,11.54,,,
2016-03-14,12.9,12.0,-5.73,1.34,152639,,9.09,,,,-0.08,38.8,,12.19,,,
2016-03-15,11.75,12.29,2.42,-2.08,34479,,-9.3,,,,2.33,41.3,,11.53,,,
2016-03-16,12.08,11.72,-4.64,-1.71,43652,,-20.97,,,,-2.41,38.1,,12.0,,,
2016-03-17,11.78,11.24,-4.1,0.51,86237,,-15.55,,,,-6.41,35.5,,12.35,,,
2016-03-18,11.71,11.52,2.49,4.18,71057,,-9.51,,,,-4.08,38.1,,11.74,,,
2016-03-21,11.85,11.91,3.39,2.86,22528,,-0.75,,,,-0.83,41.6,,11.13,,,
2016-03-22,12.12,13.31,11.75,1.76,110499,,8.3,,,,10.82,52.0,,10.29,,,
2016-03-23,13.24,12.79,-3.91,-0.53,141901,,9.13,,,,6.49,48.6,,10.97,,,
2016-03-24,13.17,12.62,-1.33,2.97,28896,,12.28,,,,5.08,47.4,,10.99,,,
2016-03-28,12.95,13.56,7.45,2.61,133307,,17.71,,,,12.91,53.8,,10.15,,,
2016-03-29,13.94,13.24,-2.36,2.8,56351,,11.17,,,,10.24,51.5,,10.48,,,
2016-03-30,13.3,12.59,-4.91,0.45,94517,,-5.41,,,,4.83,47.1,,11.06,,,
2016-03-31,12.82,13.32,5.8,1.84,221194,1.0,4.14,,,,10.91,52.0,,10.44,,,-10.18
2016-04-01,13.53,13.11,-1.58,1.58,43779,0.33,3.88,,,,9.16,50.6,,10.08,,,-11.6
2016-04-04,13.1,14.09,7.48,-0.08,37643,0.33,3.91,17.32,,,17.32,56.7,7.77,9.27,,,-4.99
2016-04-05,14.02,15.28,8.45,-0.5,189672,1.6,15.41,28.95,,,27.23,62.7,7.92,8.7,,,0.0
2016-04-06,15.43,16.6,8.64,0.98,291325,2.33,31.85,50.91,,,38.22,68.0,7.8,8.62,,,0.0
2016-04-07,17.04,16.42,-1.08,2.65,144930,1.26,23.27,21.18,,,36.72,66.6,6.17,8.87,,,-1.08
2016-04-08,16.49,15.13,-7.86,0.43,164159,1.52,15.41,2.02,,,25.98,57.5,6.16,10.1,,,-8.86
2016-04-11,15.1,15.18,0.33,-0.2,95167,0.88,7.74,14.05,,,26.39,57.8,5.67,9.87,,,-8.55
2016-04-12,15.21,15.3,0.79,0.2,50735,0.49,0.13,20.19,,,27.39,58.4,5.54,9.61,,,-7.83
2016-04-13,15.77,15.87,3.73,3.07,83829,0.79,-4.4,32.25,,,32.14,61.2,5.35,9.14,,,-4.4
2016-04-14,16.26,15.62,-1.58,2.44,145045,1.31,-4.87,27.1,,,30.06,59.3,5.38,9.16,,,-5.9
2016-04-15,15.69,15.74,0.77,0.45,47563,0.44,4.03,34.3,,,31.06,60.0,5.21,8.94,,,-5.18
2016-04-18,15.67,15.55,-1.21,-0.44,6548,0.06,2.44,38.35,,,29.48,58.4,5.09,8.67,,,-6.33
2016-04-19,15.41,15.87,2.06,-0.9,47929,0.45,3.73,37.76,,,32.14,60.3,5.09,8.36,,,-4.4
2016-04-20,15.9,15.86,-0.06,0.19,16210,0.16,-0.06,33.17,,,32.06,60.2,5.09,8.16,,,-4.46
2016-04-21,15.48,15.72,-0.88,-2.42,17116,0.18,0.64,18.11,,,30.89,58.8,4.53,7.99,,,-5.3
2016-04-22,15.66,15.8,0.51,-0.38,16984,0.18,0.38,23.53,,,31.56,59.4,4.4,7.51,,,-4.82
