date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-10-12,18.61,19.0,,,395067,,,,,,0.0,,,7.11,,,
2020-10-13,19.15,20.04,5.47,0.79,438696,,,,,,5.47,,,6.84,,,
2020-10-14,19.74,19.2,-4.19,-1.5,86649,,,,,,1.05,94.2,,7.17,,,
2020-10-15,19.42,19.54,1.77,1.15,315841,,,,,,2.84,94.3,,6.8,,,
2020-10-16,19.81,20.0,2.35,1.38,131561,,,,,,5.26,94.5,,6.44,,,
2020-10-19,20.0,20.34,1.7,0.0,141587,,7.05,,,,7.05,94.6,,6.12,,,
2020-10-20,20.49,21.05,3.49,0.74,157311,,5.04,,,,10.79,95.0,,5.78,,,
2020-10-21,21.05,22.05,4.75,0.0,117236,,14.84,,,,16.05,95.4,,5.49,,,
2020-10-22,21.79,21.76,-1.32,-1.18,105646,,11.36,,,,14.53,93.0,,5.38,,,
2020-10-23,21.68,21.76,0.0,-0.37,77626,,8.8,,,,14.53,93.0,,5.36,,,
2020-10-26,21.58,23.78,9.28,-0.83,147072,,16.91,,,,25.16,94.2,,5.38,,,
2020-10-27,23.69,24.95,4.92,-0.38,185769,,18.53,,,,31.32,94.7,,5.41,,,
2020-10-28,23.78,25.19,0.96,-4.69,145460,,14.24,,,,32.58,94.8,,5.49,,,
2020-10-29,25.39,24.85,-1.35,0.79,190046,,14.2,,,,30.79,92.0,,5.47,,,
2020-10-30,24.11,25.85,4.02,-2.98,273150,,18.8,,,,36.05,92.7,,5.42,,,
2020-11-02,25.92,26.87,3.95,0.27,290262,,12.99,,,,41.42,93.3,,5.5,,,
2020-11-03,26.86,27.98,4.13,-0.04,479889,,12.14,,,,47.26,93.9,,5.34,,,
2020-11-04,28.0,28.44,1.64,0.07,194576,,12.9,,,,49.68,94.2,,5.29,,,
2020-11-05,28.62,27.96,-1.69,0.63,116555,,12.52,,,,47.16,90.2,,5.39,,,
2020-11-06,27.74,26.81,-4.11,-0.79,109790,0.54,3.71,,,,41.11,81.3,,5.82,,,-5.73
2020-11-09,26.89,23.46,-12.5,0.3,298663,1.49,-12.69,,,,23.47,62.0,,7.98,,,-17.51
2020-11-10,23.25,23.06,-1.71,-0.9,109110,0.59,-17.58,21.37,,,21.37,60.2,4.57,8.28,,,-18.92
2020-11-11,23.13,26.1,13.18,0.3,158783,0.85,-8.23,30.24,,,37.37,67.9,5.21,8.14,,,-8.23
2020-11-12,26.0,28.74,10.11,-0.38,113924,0.64,2.79,49.69,,,51.26,72.9,5.37,7.75,,,0.0
2020-11-13,28.39,29.59,2.96,-1.22,173419,0.97,10.37,51.43,,,55.74,74.3,5.37,7.77,,,0.0
2020-11-16,30.0,31.81,7.5,1.39,222395,1.21,35.59,59.05,,,67.42,77.5,5.5,7.62,,,0.0
2020-11-17,31.92,32.26,1.41,0.35,193746,1.05,39.9,58.6,,,69.79,78.1,5.5,7.79,,,0.0
2020-11-18,32.31,30.15,-6.54,0.15,176908,0.94,15.52,43.23,,,58.68,68.8,5.83,8.66,,,-6.54
