date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,6.45,6.5,,,2007845,,,,,,0.0,,,2.43,,,
2005-02-28,6.45,6.38,-1.89,-0.81,2989686,,,,,,-1.89,0.0,,2.65,,,
2005-03-01,6.39,6.55,2.76,0.28,3092367,,,,,,0.81,9.9,,2.64,,,
2005-03-02,6.5,6.39,-2.55,-0.81,1832622,,,,,,-1.76,9.0,,2.72,,,
2005-03-03,6.39,6.2,-2.89,0.0,5329247,,,,,,-4.6,8.1,,2.87,,,
2005-03-04,6.27,6.25,0.85,1.14,11645105,,-3.79,,,,-3.79,10.8,,2.95,,,
2005-03-07,6.28,6.3,0.71,0.42,3507821,,-1.24,,,,-3.1,13.1,,2.9,,,
2005-03-08,6.3,6.23,-1.13,0.0,3707632,,-4.97,,,,-4.19,12.6,,3.13,,,
2005-03-09,6.2,6.09,-2.25,-0.42,3078360,,-4.68,,,,-6.35,11.5,,3.21,,,
2005-03-10,6.11,6.24,2.46,0.43,2468897,,0.57,,,,-4.05,19.3,,3.14,,,
2005-03-11,6.28,6.1,-2.26,0.7,1669810,,-2.53,,,,-6.22,17.7,,3.28,,,
2005-03-14,6.1,6.13,0.58,0.0,1269540,,-2.65,,,,-5.67,19.5,,3.14,,,
2005-03-15,6.16,5.91,-3.58,0.43,2192783,,-5.07,,,,-9.05,17.0,,3.42,,,
2005-03-16,5.9,5.89,-0.45,-0.15,2683117,,-3.32,,,,-9.46,16.7,,3.4,,,
2005-03-17,5.86,5.8,-1.5,-0.45,2669164,,-7.05,,,,-10.81,15.8,,3.47,,,
2005-03-18,5.76,5.57,-3.94,-0.61,6577411,,-8.65,,,,-14.32,13.7,,3.74,,,
2005-03-21,5.53,5.54,-0.47,-0.63,2228044,,-9.6,,,,-14.73,13.5,,3.64,,,
2005-03-22,5.57,5.56,0.32,0.47,3061978,,-5.95,,,,-14.46,14.5,,3.62,,,
2005-03-23,5.53,5.52,-0.79,-0.47,2223472,,-6.27,,,,-15.13,14.1,,3.6,,,
2005-03-24,5.69,5.56,0.79,3.18,2616342,0.78,-4.09,,,,-14.46,16.8,,3.56,,,-15.15
2005-03-28,5.61,5.53,-0.47,0.95,2049281,0.61,-0.63,,,,-14.87,16.4,,3.49,,,-15.55
2005-03-29,5.56,5.33,-3.65,0.48,1996368,0.61,-3.81,-17.97,,,-17.97,14.1,1.91,3.7,,,-18.64
2005-03-30,5.38,5.52,3.46,1.0,1460983,0.45,-0.79,-13.5,,,-15.13,24.6,2.12,3.59,,,-15.82
2005-03-31,5.54,5.58,1.12,0.48,2660572,0.82,1.12,-14.88,,,-14.19,27.7,2.02,3.49,,,-14.88
2005-04-01,5.64,5.49,-1.58,1.1,2631078,0.84,-1.26,-14.03,,,-15.54,26.0,1.98,3.61,,,-16.22
2005-04-04,5.46,5.5,0.16,-0.48,2001717,0.76,-0.64,-11.33,,,-15.41,26.5,1.93,3.57,,,-16.09
2005-04-05,5.52,5.38,-2.07,0.32,1657532,0.65,1.0,-13.9,,,-17.16,24.3,1.93,3.7,,,-17.83
2005-04-06,5.37,5.31,-1.31,-0.33,1373730,0.57,-3.66,-15.62,,,-18.24,23.0,1.9,3.73,,,-18.9
2005-04-07,5.3,5.24,-1.49,-0.33,2153425,0.9,-6.14,-15.93,,,-19.46,21.7,1.91,3.67,,,-20.11
2005-04-08,5.23,5.18,-1.01,-0.17,2899498,1.21,-5.6,-14.86,,,-20.27,20.8,1.88,3.6,,,-20.92
2005-04-11,5.17,5.05,-2.54,-0.17,3589017,1.44,-8.15,-19.02,,,-22.3,18.7,1.77,3.75,,,-22.93
2005-04-12,5.17,5.13,1.57,2.44,6560454,2.37,-4.73,-15.85,,,-21.08,23.6,1.83,3.66,,,-21.72
2005-04-13,5.13,5.0,-2.57,0.0,2543653,0.91,-5.95,-18.48,,,-23.11,21.3,1.84,3.73,,,-23.73
2005-04-14,4.97,4.81,-3.69,-0.53,3520273,1.25,-8.06,-18.57,,,-25.94,18.6,1.84,3.96,,,-26.54
2005-04-15,4.68,4.59,-4.56,-2.74,4659410,1.59,-11.35,-21.94,,,-29.32,16.0,2.0,4.32,,,-29.89
2005-04-18,4.58,4.59,-0.2,-0.39,3086779,1.12,-9.22,-20.91,,,-29.46,15.9,2.01,4.32,,,-30.03
2005-04-19,4.74,4.68,2.11,3.46,3737499,1.32,-8.73,-15.93,,,-27.97,21.5,2.01,4.29,,,-28.55
2005-04-20,4.74,4.57,-2.44,1.32,3529556,1.24,-8.61,-17.59,,,-29.73,19.8,2.04,4.41,,,-30.3
2005-04-21,4.73,5.01,9.62,3.46,7306226,2.36,4.02,-9.95,,,-22.97,39.5,3.07,4.54,,,-23.59
2005-04-22,5.0,4.86,-2.99,-0.18,2147705,0.7,5.73,-11.94,,,-25.27,36.2,3.12,4.6,,,-25.87
2005-04-25,4.87,4.86,0.0,0.18,2162773,0.7,5.94,-12.64,,,-25.27,36.2,3.11,4.43,,,-25.87
2005-04-26,4.83,4.77,-1.81,-0.54,4697953,1.46,1.87,-13.81,,,-26.62,34.3,3.12,4.51,,,-27.21
2005-04-27,4.71,4.64,-2.77,-1.29,6164576,1.78,1.53,-13.01,,,-28.65,31.6,3.08,4.65,,,-29.23
2005-04-28,4.83,4.55,-1.9,4.17,7835787,2.11,-9.13,-17.52,,,-30.0,29.9,2.94,5.12,,,-30.57
2005-04-29,4.66,4.59,0.78,2.32,2974704,0.8,-5.61,-17.8,,,-29.46,31.5,2.93,5.12,,,-30.03
2005-05-02,4.61,4.5,-1.91,0.57,2316134,0.62,-7.41,-18.08,,,-30.81,29.7,2.94,5.16,,,-31.37
2005-05-03,4.5,4.45,-0.98,0.0,2141992,0.57,-6.63,-19.01,,,-31.49,28.8,2.93,5.04,,,-32.04
2005-05-04,4.48,4.59,2.96,0.59,1960435,0.52,-1.14,-14.85,,,-29.46,35.1,3.04,4.77,,,-30.03
2005-05-05,4.59,4.53,-1.14,0.2,1717990,0.45,-0.38,-14.71,,,-30.27,33.8,3.03,4.71,,,-30.83
2005-05-06,4.58,4.54,0.19,0.96,1096820,0.3,-0.95,-13.26,,,-30.13,34.2,3.04,4.55,-15.6,,-30.7
2005-05-09,4.56,4.61,1.54,0.39,1626484,0.45,2.53,-11.02,,,-29.06,37.7,3.07,4.33,-13.7,,-29.63
2005-05-10,4.58,4.57,-0.94,-0.76,2175943,0.65,2.57,-9.56,,,-29.73,36.4,3.04,4.18,-13.93,,-30.3
2005-05-11,4.65,4.66,2.11,1.73,1736328,0.52,1.72,-9.08,,,-28.25,41.2,3.06,4.1,-11.49,,-28.83
2005-05-12,4.67,4.66,0.0,0.19,1964196,0.6,2.9,-6.68,,,-28.25,41.2,3.02,3.93,-10.9,,-28.83
2005-05-13,4.68,4.82,3.39,0.38,2782992,0.88,6.19,0.18,,,-25.81,48.6,3.01,3.99,-7.39,,-26.41
2005-05-16,4.83,4.9,1.64,0.18,3432394,1.08,6.29,6.69,,,-24.59,51.9,2.84,3.88,-5.38,,-25.2
2005-05-17,4.91,4.96,1.26,0.18,2412103,0.78,8.65,8.24,,,-23.65,54.3,2.84,3.74,-3.7,,-24.26
2005-05-18,5.0,5.02,1.23,0.71,2713874,0.88,7.72,7.31,,,-22.7,56.7,2.82,3.68,-2.05,,-23.33
2005-05-19,5.06,5.21,3.68,0.7,3944029,1.36,11.68,14.04,,,-19.86,62.9,2.83,3.64,1.9,,-20.51
2005-05-20,5.22,5.16,-1.01,0.17,1489954,0.52,6.92,2.98,,,-20.67,60.2,1.97,3.6,1.29,,-21.32
2005-05-23,5.18,5.06,-1.88,0.51,3070680,1.05,3.22,4.15,,,-22.16,55.6,1.9,3.71,-0.2,,-22.79
2005-05-24,5.02,5.32,5.22,-0.69,3586690,1.26,7.26,9.59,,,-18.1,63.8,2.19,3.85,5.34,,-18.77
2005-05-25,5.28,5.46,2.63,-0.83,4927633,1.76,8.74,14.54,,,-15.95,67.2,2.17,3.86,8.31,,-16.63
