date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2008-04-15,189.99,190.94,,,13338,,,,,,0.0,,,1.01,,,
2008-04-16,198.52,200.4,4.95,3.97,164909,,,,,,4.95,,,1.27,,,
2008-04-17,197.69,193.22,-3.58,-1.35,91152,,,,,,1.19,94.5,,1.6,,,
2008-04-18,195.57,195.42,1.14,1.22,51153,,,,,,2.35,94.6,,1.65,,,
2008-04-21,197.04,197.78,1.21,0.83,41208,,,,,,3.58,94.7,,1.69,,,
2008-04-22,199.98,199.3,0.77,1.11,46654,,4.38,,,,4.38,94.8,,1.72,,,
2008-04-23,202.7,197.78,-0.76,1.71,65860,,-1.31,,,,3.58,93.4,,1.81,,,
2008-04-24,199.3,195.49,-1.16,0.77,48128,,1.17,,,,2.38,91.2,,2.06,,,
2008-04-25,194.25,194.17,-0.68,-0.63,38105,,-0.64,,,,1.69,89.9,,2.14,,,
2008-04-28,195.49,193.65,-0.27,0.68,25198,,-2.09,,,,1.42,89.4,,2.11,,,
2008-04-29,192.93,189.99,-1.89,-0.37,33850,,-4.67,,,,-0.5,85.5,,2.2,,,
2008-04-30,194.17,192.17,1.15,2.2,53338,,-2.84,,,,0.64,85.9,,2.21,,,
2008-05-01,192.1,187.34,-2.51,-0.04,37813,,-4.17,,,,-1.89,80.6,,2.46,,,
2008-05-02,190.35,189.68,1.25,1.61,32743,,-2.31,,,,-0.66,81.2,,2.39,,,
2008-05-05,190.64,188.51,-0.62,0.51,10433,,-2.65,,,,-1.27,79.9,,2.38,,,
2008-05-06,186.81,192.48,2.11,-0.9,33818,,1.31,,,,0.81,81.0,,2.52,,,
2008-05-07,195.27,188.21,-2.22,1.45,20514,,-2.06,,,,-1.43,76.1,,2.7,,,
2008-05-08,192.25,191.38,1.68,2.15,21856,,2.16,,,,0.23,77.2,,2.63,,,
2008-05-09,192.17,193.44,1.08,0.41,29137,,1.98,,,,1.31,77.9,,2.57,,,
2008-05-12,194.84,195.72,1.18,0.72,18404,0.42,3.82,,,,2.5,78.7,,2.56,,,-2.34
2008-05-13,198.44,201.9,3.16,1.39,33752,0.75,4.89,,,,5.74,80.8,,2.57,,,0.0
2008-05-14,205.49,211.96,4.98,1.78,125508,2.92,12.62,11.01,,,11.01,83.5,2.24,2.73,,,0.0
2008-05-15,213.13,211.75,-0.1,0.55,73889,1.76,10.64,5.66,,,10.9,83.3,2.0,2.77,,,-0.1
2008-05-16,213.66,216.83,2.4,0.9,83598,1.91,12.09,12.22,,,13.56,84.6,1.84,2.7,,,0.0
2008-05-19,220.49,216.52,-0.14,1.69,131799,2.73,10.63,10.8,,,13.4,84.1,1.84,2.92,,,-0.14
2008-05-20,214.69,215.43,-0.5,-0.85,54004,1.11,6.7,8.92,,,12.83,82.5,1.84,2.89,,,-0.65
2008-05-21,220.27,214.47,-0.45,2.25,58337,1.21,1.18,7.61,,,12.32,81.1,1.85,2.96,,,-1.09
2008-05-22,219.31,211.01,-1.61,2.26,84430,1.69,-0.35,6.69,,,10.51,75.9,1.89,3.11,,,-2.68
2008-05-23,210.79,214.61,1.71,-0.1,22676,0.46,-1.02,9.78,,,12.4,77.5,1.88,3.03,,,-1.02
2008-05-27,209.53,207.54,-3.29,-2.37,43250,0.86,-4.15,6.89,,,8.69,68.0,2.04,3.33,,,-4.28
