date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-03-14,9.78,9.78,,,0,,,,,,0.0,,,0.0,,,
2006-03-15,11.15,11.22,14.74,14.01,13177292,,,,,,14.74,,,1.09,,,
2006-03-16,11.22,11.3,0.68,0.0,1179579,,,,,,15.52,,,1.14,,,
2006-03-17,11.29,11.64,3.07,-0.04,521552,,,,,,19.07,,,1.31,,,
2006-03-20,11.72,11.59,-0.43,0.62,513919,,,,,,18.56,99.7,,1.47,,,
2006-03-21,11.59,11.26,-2.84,-0.05,499199,,15.19,,,,15.19,97.6,,1.67,,,
2006-03-22,11.2,11.25,-0.16,-0.59,187177,,0.24,,,,15.01,97.5,,1.65,,,
2006-03-23,11.21,11.22,-0.24,-0.29,192993,,-0.68,,,,14.74,97.3,,1.59,,,
2006-03-24,11.31,11.41,1.67,0.84,184088,,-2.03,,,,16.66,97.3,,1.71,,,
2006-03-27,11.47,11.52,1.01,0.59,202987,,-0.61,,,,17.84,97.4,,1.95,,,
2006-03-28,11.51,11.5,-0.19,-0.1,209711,,2.11,,,,17.62,97.2,,1.9,,,
2006-03-29,11.62,11.59,0.8,1.0,148832,,3.09,,,,18.56,97.2,,1.85,,,
2006-03-30,11.62,11.85,2.18,0.19,240604,,5.59,,,,21.15,97.3,,1.83,,,
2006-03-31,11.87,11.99,1.17,0.19,181907,,5.06,,,,22.56,97.3,,1.83,,,
2006-04-03,12.01,11.59,-3.26,0.23,530274,,0.62,,,,18.56,93.1,,2.04,,,
2006-04-04,11.59,11.54,-0.43,-0.05,400159,,0.37,,,,18.06,92.6,,1.96,,,
2006-04-05,11.52,11.49,-0.47,-0.19,222070,,-0.9,,,,17.5,92.0,,1.88,,,
2006-04-06,11.41,11.29,-1.73,-0.72,236424,,-4.69,,,,15.47,89.6,,1.96,,,
2006-04-07,11.29,11.23,-0.59,0.0,61240,,-6.34,,,,14.8,88.7,,1.93,,,
2006-04-10,11.2,11.32,0.84,-0.24,79596,0.08,-2.36,,,,15.76,88.9,,1.88,,,-5.55
2006-04-11,11.3,11.22,-0.89,-0.14,297666,0.31,-2.81,,,,14.74,87.5,,1.87,,,-6.39
2006-04-12,11.8,11.22,0.0,5.2,1208112,3.31,-2.35,14.74,,,14.74,87.5,3.54,2.12,,,-6.39
2006-04-13,11.24,11.35,1.18,0.2,390163,1.2,0.53,1.18,,,16.09,87.8,1.52,2.07,,,-5.28
2006-04-17,11.35,11.45,0.87,0.0,369084,1.16,2.01,1.37,,,17.1,88.0,1.52,2.0,,,-4.45
