date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-07-08,9.45,9.45,,,256981,,,,,,0.0,,,3.7,,,
2021-07-09,9.41,8.8,-6.88,-0.42,484095,,,,,,-6.88,0.0,,4.25,,,
2021-07-12,8.8,8.77,-0.34,0.0,345668,,,,,,-7.2,0.0,,4.48,,,
2021-07-13,8.75,9.28,5.82,-0.23,1072596,,,,,,-1.8,6.1,,5.07,,,
2021-07-14,9.33,9.2,-0.86,0.54,379556,,,,,,-2.65,6.0,,5.39,,,
2021-07-15,9.19,8.38,-8.91,-0.11,467063,,-11.32,,,,-11.32,5.4,,6.32,,,
2021-07-16,8.51,8.23,-1.79,1.55,216278,,-6.48,,,,-12.91,5.3,,6.48,,,
2021-07-19,8.07,8.29,0.73,-1.94,496043,,-5.47,,,,-12.28,6.1,,6.53,,,
2021-07-20,8.34,8.48,2.29,0.6,202437,,-8.62,,,,-10.26,8.7,,6.52,,,
2021-07-21,8.47,8.06,-4.95,-0.12,273711,,-12.39,,,,-14.71,8.2,,6.96,,,
2021-07-22,8.19,7.98,-0.99,1.61,305562,,-4.77,,,,-15.56,8.1,,7.12,,,
2021-07-23,8.38,8.94,12.03,5.01,730064,,8.63,,,,-5.4,20.8,,7.13,,,
2021-07-26,9.0,8.98,0.45,0.67,357922,,8.32,,,,-4.97,21.3,,6.83,,,
2021-07-27,8.9,8.23,-8.35,-0.89,480945,,-2.95,,,,-12.91,19.0,,7.66,,,
2021-07-28,8.24,8.31,0.97,0.12,421857,,3.1,,,,-12.06,20.0,,7.25,,,
2021-07-29,8.37,8.79,5.78,0.72,244198,,10.15,,,,-6.98,26.0,,6.78,,,
2021-07-30,8.75,8.89,1.14,-0.46,176598,,-0.56,,,,-5.93,27.2,,6.51,,,
2021-08-02,8.86,8.75,-1.57,-0.34,170410,,-2.56,,,,-7.41,26.6,,6.31,,,
2021-08-03,9.2,8.97,2.51,5.14,375152,,8.99,,,,-5.08,29.5,,6.07,,,
2021-08-04,9.5,9.61,7.13,5.91,782832,1.9,15.64,,,,1.69,37.3,,6.11,,,0.0
2021-08-05,9.7,11.09,15.4,0.94,1023314,2.27,26.17,,,,17.35,50.9,,5.87,,,0.0
2021-08-06,11.53,11.94,7.66,3.97,858601,1.83,34.31,26.35,,,26.35,56.7,6.19,5.81,,,0.0
2021-08-09,12.0,12.14,1.68,0.5,464645,0.98,38.74,37.95,,,28.47,57.9,5.9,5.62,,,0.0
2021-08-10,12.5,13.23,8.98,2.97,1263372,2.61,47.49,50.86,,,40.0,64.0,6.09,5.69,,,0.0
2021-08-11,10.18,10.78,-18.52,-23.05,9065299,9.87,12.17,16.16,,,14.07,47.4,7.5,9.04,,,-18.52
2021-08-12,11.0,9.96,-7.61,2.04,2743908,2.66,-10.19,8.26,,,5.4,43.3,7.73,10.13,,,-24.72
2021-08-13,10.06,9.35,-6.12,1.0,1173685,1.09,-21.69,11.58,,,-1.06,40.5,7.58,10.82,,,-29.33
