date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-06-14,29.18,30.65,,,840056,,,,,,0.0,,,5.81,,,
2007-06-15,30.84,30.6,-0.14,0.64,1457992,,,,,,-0.14,0.0,,5.56,,,
2007-06-18,30.8,29.3,-4.25,0.64,1082208,,,,,,-4.38,0.0,,5.77,,,
2007-06-19,29.3,28.95,-1.21,0.0,1205701,,,,,,-5.54,0.0,,5.73,,,
2007-06-20,29.05,28.36,-2.05,0.35,2182938,,,,,,-7.47,0.0,,5.73,,,
2007-06-21,28.4,28.95,2.09,0.14,681709,,-5.54,,,,-5.54,20.2,,5.4,,,
2007-06-22,29.18,30.72,6.13,0.82,317337,,0.39,,,,0.25,51.7,,5.24,,,
2007-06-25,30.84,30.96,0.77,0.38,257621,,5.65,,,,1.02,54.3,,5.14,,,
2007-06-26,31.01,31.15,0.63,0.16,151629,,7.62,,,,1.66,56.4,,4.86,,,
2007-06-27,31.15,31.36,0.65,0.0,343198,,10.58,,,,2.32,58.5,,4.62,,,
2007-06-28,31.36,31.24,-0.39,0.0,191697,,7.9,,,,1.93,56.7,,4.39,,,
2007-06-29,31.41,30.81,-1.37,0.57,2157705,,0.27,,,,0.53,50.9,,4.34,,,
2007-07-02,30.92,31.53,2.34,0.36,2545784,,1.84,,,,2.88,58.6,,4.24,,,
2007-07-03,31.54,31.28,-0.79,0.03,4757275,,0.4,,,,2.07,55.4,,4.24,,,
2007-07-05,31.24,31.11,-0.53,-0.14,5423487,,-0.77,,,,1.53,53.3,,4.33,,,
2007-07-06,31.08,31.41,0.94,-0.12,5008781,,0.55,,,,2.49,56.4,,4.18,,,
2007-07-09,31.2,31.79,1.21,-0.68,6807556,,3.18,,,,3.73,60.2,,4.18,,,
2007-07-10,31.15,30.76,-3.23,-1.99,6951719,,-2.43,,,,0.38,48.1,,4.34,,,
2007-07-11,30.76,30.81,0.15,0.0,7562305,,-1.51,,,,0.53,48.6,,4.13,,,
2007-07-12,30.72,30.77,-0.12,-0.27,5190969,1.88,-1.11,,,,0.41,48.2,,3.98,,,-3.2
