date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-06-14,40.0,40.25,,,6338800,,,,,,0.0,,,17.09,,,
2024-06-17,42.79,36.48,-9.37,6.31,3747445,,,,,,-9.37,0.0,,19.31,,,
2024-06-18,36.99,30.33,-16.86,1.4,4184885,,,,,,-24.65,0.0,,23.34,,,
2024-06-20,30.87,27.26,-10.12,1.78,4586261,,,,,,-32.27,0.0,,26.0,,,
2024-06-21,27.26,28.64,5.06,0.0,932510,,,,,,-28.84,2.7,,23.68,,,
2024-06-24,29.5,25.31,-11.63,3.0,1558252,,-37.12,,,,-37.12,2.5,,26.07,,,
2024-06-25,25.31,24.96,-1.38,0.0,2234970,,-31.58,,,,-37.99,2.5,,25.47,,,
2024-06-26,24.96,27.56,10.42,0.0,1513789,,-9.13,,,,-31.53,7.8,,22.63,,,
2024-06-27,28.4,30.83,11.87,3.05,1481470,,13.1,,,,-23.4,14.2,,19.64,,,
2024-06-28,32.77,35.0,13.53,6.29,1191485,,22.21,,,,-13.04,21.7,,16.95,,,
2024-07-01,37.0,33.34,-4.74,5.71,897237,,31.73,,,,-17.17,20.9,,17.6,,,
2024-07-02,34.45,35.98,7.92,3.33,721098,,44.15,,,,-10.61,25.5,,15.74,,,
2024-07-03,37.0,34.39,-4.42,2.83,1092567,,24.78,,,,-14.56,24.6,,16.29,,,
2024-07-05,36.22,30.88,-10.21,5.32,622032,,0.16,,,,-23.28,22.6,,18.21,,,
2024-07-08,31.07,33.2,7.51,0.62,511514,,-5.14,,,,-17.52,26.8,,16.35,,,
2024-07-09,34.71,34.5,3.92,4.55,2065089,,3.48,,,,-14.29,29.0,,15.63,,,
2024-07-10,35.5,35.0,1.45,2.9,1079337,,-2.72,,,,-13.04,30.0,,14.73,,,
2024-07-11,35.78,37.5,7.14,2.23,982889,,9.04,,,,-6.83,34.5,,13.29,,,
2024-07-12,38.88,39.76,6.03,3.68,1633543,,28.76,,,,-1.22,38.3,,12.41,,,
2024-07-15,39.76,36.6,-7.95,0.0,1039671,0.54,10.24,,,,-9.07,35.2,,13.38,,,-9.07
2024-07-16,38.5,40.74,11.31,5.19,1161680,0.7,18.09,,,,1.22,41.9,,12.08,,,0.0
2024-07-17,40.0,39.85,-2.18,-1.82,1146184,0.75,13.86,-0.99,,,-0.99,40.9,9.04,12.62,,,-2.18
2024-07-18,41.56,40.14,0.73,4.29,959130,0.7,7.04,10.03,,,-0.27,41.4,8.76,12.12,,,-1.47
2024-07-19,41.0,41.4,3.14,2.14,442787,0.38,4.12,36.5,,,2.86,43.5,7.77,11.42,,,0.0
2024-07-22,42.45,42.98,3.82,2.54,926987,0.8,17.43,57.67,,,6.78,46.2,7.28,10.67,,,0.0
2024-07-23,43.0,40.7,-5.3,0.05,448166,0.4,-0.1,42.11,,,1.12,43.0,7.45,11.03,,,-5.3
2024-07-24,40.82,38.05,-6.51,0.29,623887,0.61,-4.52,50.34,,,-5.47,39.7,7.05,11.56,,,-11.47
2024-07-25,38.5,40.02,5.18,1.18,651257,0.66,-0.3,60.34,,,-0.57,43.2,7.03,10.71,,,-6.89
2024-07-26,40.1,41.92,4.75,0.2,711779,0.75,1.26,52.1,,,4.15,46.5,6.82,9.9,,,-2.47
2024-07-29,41.71,43.87,4.65,-0.5,519513,0.57,2.07,42.3,,,8.99,49.7,6.48,9.23,,,0.0
2024-07-30,44.71,45.97,4.79,1.91,865501,0.95,12.95,31.34,,,14.21,53.0,5.96,8.77,,,0.0
2024-07-31,46.58,43.28,-5.85,1.33,573705,0.64,13.75,29.81,,,7.53,48.6,6.02,9.31,,,-5.85
2024-08-01,44.92,39.28,-9.24,3.79,605515,0.69,-1.85,9.17,,,-2.41,43.0,6.25,10.72,,,-14.55
2024-08-02,38.0,39.05,-0.6,-3.26,680750,0.77,-6.86,13.54,,,-2.99,42.6,6.15,10.63,,,-15.06
2024-08-05,32.82,38.22,-2.11,-15.94,1005658,1.11,-12.88,23.77,,,-5.04,41.5,5.67,11.25,,,-16.86
2024-08-06,41.51,40.65,6.36,8.61,999984,1.17,-11.57,22.44,,,0.99,46.1,5.61,10.52,,,-11.57
2024-08-07,39.91,38.82,-4.5,-1.82,1210522,1.41,-10.3,12.52,,,-3.55,43.3,5.7,10.67,,,-15.55
2024-08-08,40.71,38.93,0.28,4.87,686635,0.81,-0.89,11.23,,,-3.28,43.6,5.69,10.6,,,-15.31
2024-08-09,39.0,38.75,-0.46,0.18,336632,0.43,-0.76,3.33,,,-3.73,43.3,5.5,10.11,,,-15.71
2024-08-12,38.86,38.68,-0.18,0.28,372948,0.5,1.2,-2.72,,,-3.9,43.1,5.34,9.69,,,-15.86
2024-08-13,39.43,42.65,10.26,1.94,718579,0.99,4.92,16.53,,,5.96,51.5,5.46,9.02,,,-7.22
2024-08-14,42.7,42.9,0.59,0.12,606098,0.87,10.51,5.3,,,6.58,52.0,4.91,8.76,,,-6.68
2024-08-15,43.76,47.2,10.02,2.0,717658,1.05,21.24,18.44,,,17.27,59.4,5.3,8.14,,,0.0
2024-08-16,47.0,50.88,7.8,-0.42,1306952,1.79,31.3,26.76,,,26.41,64.5,5.51,7.88,,,0.0
2024-08-19,52.1,57.61,13.23,2.4,1424932,1.89,48.94,39.15,,,43.13,71.5,6.09,7.59,,,0.0
2024-08-20,58.0,58.71,1.91,0.68,3133817,3.53,37.66,36.6,,,45.86,72.5,6.07,9.09,,,0.0
2024-08-21,60.0,71.47,21.73,2.2,1764096,1.87,66.6,75.6,,,77.57,80.6,7.27,8.34,,,0.0
2024-08-22,72.35,64.53,-9.71,1.23,2162427,2.12,36.72,69.59,,,60.32,68.7,7.5,10.35,,,-9.71
2024-08-23,66.47,64.95,0.65,3.01,990747,0.96,27.65,62.29,,,61.37,69.0,7.5,10.09,,,-9.12
2024-08-26,66.9,60.51,-6.84,3.0,1042735,0.98,5.03,44.35,,,50.34,62.3,7.75,11.2,49.0,,-15.34
2024-08-27,60.51,68.47,13.15,0.0,1449880,1.33,16.62,56.07,,,70.11,68.3,8.11,10.44,66.29,,-4.2
2024-08-28,68.47,59.23,-13.49,0.0,1227827,1.09,-17.13,28.84,,,47.16,56.9,8.8,12.45,42.28,,-17.13
2024-08-29,61.2,57.91,-2.23,3.33,1192779,1.04,-10.26,33.8,,,43.88,55.5,8.68,12.65,37.29,,-18.97
2024-08-30,57.91,59.38,2.54,0.0,715263,0.62,-8.58,51.17,,,47.53,56.8,8.31,11.82,38.66,,-16.92
2024-09-03,59.05,52.09,-12.28,-0.56,1083964,0.94,-13.92,33.41,,,29.42,49.2,8.88,13.98,20.32,,-27.12
2024-09-04,52.0,53.73,3.16,-0.17,797115,0.69,-21.52,40.59,,,33.5,50.8,8.84,13.26,22.51,,-24.81
2024-09-05,54.31,55.63,3.53,1.07,949359,0.84,-6.08,36.85,,,38.21,52.7,8.79,12.72,25.08,,-22.16
2024-09-06,55.35,50.19,-9.78,-0.5,1465169,1.25,-13.33,29.29,,,24.7,47.2,9.06,14.4,11.72,,-29.77
2024-09-09,51.94,47.27,-5.82,3.49,1579956,1.28,-20.39,21.42,,,17.44,44.5,9.2,15.41,4.45,,-33.86
2024-09-10,47.27,45.05,-4.7,0.0,941896,0.75,-13.52,16.26,,,11.93,42.5,9.28,15.67,-0.89,,-36.97
2024-09-11,45.52,46.49,3.2,1.04,1099281,0.86,-13.48,20.19,,,15.5,44.2,9.29,14.66,1.69,,-34.95
2024-09-12,46.49,45.45,-2.24,0.0,1418710,1.07,-18.3,6.57,,,12.92,43.2,9.08,14.92,-1.0,,-36.41
2024-09-13,46.07,49.38,8.65,1.36,929541,0.7,-1.61,15.1,,,22.68,48.1,9.25,13.33,6.86,,-30.91
2024-09-16,48.4,54.67,10.71,-1.98,1360250,1.02,15.65,15.83,35.83,,35.83,53.8,9.28,12.2,17.11,,-23.51
2024-09-17,55.61,49.23,-9.95,1.72,2000070,1.46,9.28,-3.24,34.95,,22.31,47.9,9.45,13.65,4.73,,-31.12
2024-09-18,50.0,51.31,4.23,1.56,1013211,0.8,10.37,-10.94,69.17,,27.48,50.2,9.03,12.89,8.38,,-28.21
2024-09-19,53.91,50.09,-2.38,5.07,1054816,0.86,10.21,-14.68,83.75,,24.45,48.8,9.03,12.93,5.14,,-29.91
2024-09-20,51.35,54.43,8.66,2.52,1691898,1.41,10.23,-23.84,90.05,,35.23,53.5,7.79,11.73,13.44,,-23.84
2024-09-23,54.56,55.36,1.71,0.24,917789,0.77,1.26,-14.21,118.73,,37.54,54.5,7.55,11.35,14.63,,-22.54
2024-09-24,55.45,51.22,-7.48,0.16,1393817,1.15,4.04,-21.14,105.21,,27.25,49.6,7.7,12.16,5.42,,-28.33
2024-09-25,51.0,49.15,-4.04,-0.43,982386,0.83,-4.21,-18.77,78.34,,22.11,47.3,7.61,12.17,0.81,,-31.23
2024-09-26,50.33,51.87,5.53,2.4,763236,0.65,3.55,-24.24,68.25,,28.87,50.5,7.08,11.21,5.87,,-27.42
