date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,20.13,20.77,,,1963691,,,,,,0.0,,,3.71,,,
2005-02-28,20.95,20.58,-0.87,0.9,1291777,,,,,,-0.87,0.0,,3.68,,,
2005-03-01,20.54,20.87,1.38,-0.22,987443,,,,,,0.49,10.7,,3.54,,,
2005-03-02,20.7,20.61,-1.22,-0.78,759519,,,,,,-0.74,9.7,,3.46,,,
2005-03-03,20.74,21.09,2.3,0.62,1336356,,,,,,1.54,24.1,,3.38,,,
2005-03-04,21.16,22.17,5.14,0.34,2555451,,6.76,,,,6.76,45.4,,3.41,,,
2005-03-07,22.07,22.08,-0.38,-0.45,1548903,,7.29,,,,6.35,44.3,,3.3,,,
2005-03-08,22.08,22.0,-0.39,0.0,1033990,,5.42,,,,5.93,43.2,,3.2,,,
2005-03-09,21.99,21.69,-1.41,-0.04,910594,,5.22,,,,4.44,39.4,,3.16,,,
2005-03-10,21.68,21.41,-1.3,-0.04,985029,,1.52,,,,3.08,36.4,,3.13,,,
2005-03-11,21.29,21.57,0.77,-0.53,683986,,-2.7,,,,3.88,39.4,,3.04,,,
2005-03-14,21.5,21.58,0.05,-0.34,466162,,-2.28,,,,3.93,39.6,,2.91,,,
2005-03-15,21.51,21.63,0.23,-0.31,852623,,-1.67,,,,4.17,40.5,,2.87,,,
2005-03-16,21.57,21.59,-0.19,-0.27,788287,,-0.45,,,,3.97,39.9,,2.77,,,
2005-03-17,21.67,21.53,-0.25,0.38,587590,,0.6,,,,3.7,39.1,,2.7,,,
2005-03-18,21.73,21.52,-0.05,0.92,1186383,,-0.22,,,,3.66,39.0,,2.63,,,
2005-03-21,21.52,21.44,-0.39,0.0,520840,,-0.65,,,,3.26,37.7,,2.55,,,
2005-03-22,21.42,21.41,-0.17,-0.08,816171,,-1.04,,,,3.08,37.1,,2.46,,,
2005-03-23,21.24,20.9,-2.34,-0.77,1385318,,-3.17,,,,0.67,30.1,,2.51,,,
2005-03-24,21.01,20.97,0.32,0.53,529621,0.5,-2.62,,,,0.99,31.9,,2.42,,,-5.41
2005-03-28,21.06,20.81,-0.76,0.42,908613,0.9,-3.31,,,,0.22,29.9,,2.36,,,-6.12
2005-03-29,20.72,19.6,-5.82,-0.43,1584257,1.55,-8.59,-5.61,,,-5.61,19.7,1.99,2.83,,,-11.59
2005-03-30,19.6,19.59,-0.05,0.0,1409471,1.35,-8.48,-4.83,,,-5.66,19.6,1.99,2.74,,,-11.63
2005-03-31,19.62,19.72,0.66,0.15,749640,0.72,-5.67,-5.5,,,-5.04,22.8,1.97,2.67,,,-11.05
2005-04-01,19.79,19.46,-1.33,0.38,1067153,1.04,-7.22,-5.6,,,-6.3,21.0,1.97,2.74,,,-12.23
2005-04-04,19.47,19.37,-0.43,0.05,888194,0.94,-6.92,-8.13,,,-6.71,20.4,1.88,2.67,,,-12.61
2005-04-05,19.31,19.5,0.67,-0.32,450354,0.51,-0.5,-12.03,,,-6.08,23.9,1.42,2.57,,,-12.03
2005-04-06,19.5,19.58,0.4,0.0,521059,0.6,-0.05,-11.34,,,-5.71,25.9,1.44,2.54,,,-11.68
2005-04-07,19.58,19.79,1.09,0.0,550702,0.65,0.38,-10.02,,,-4.68,31.5,1.48,2.48,,,-10.72
2005-04-08,19.81,19.36,-2.21,0.09,581662,0.7,-0.52,-10.75,,,-6.79,27.0,1.51,2.56,,,-12.69
2005-04-11,19.36,19.05,-1.6,0.04,553776,0.68,-1.68,-11.02,,,-8.28,24.4,1.52,2.61,,,-14.08
2005-04-12,18.95,19.56,2.72,-0.52,924208,1.1,0.32,-9.3,,,-5.78,35.7,1.66,2.65,,,-11.75
2005-04-13,19.49,18.53,-5.28,-0.36,957799,1.13,-5.35,-14.13,,,-10.75,27.0,1.96,3.04,,,-16.41
2005-04-14,18.46,17.6,-5.04,-0.37,1623783,1.82,-11.09,-18.64,,,-15.25,21.8,2.16,3.38,,,-20.62
2005-04-15,17.6,17.03,-3.22,0.0,1679116,1.78,-12.01,-21.11,,,-17.98,19.4,2.21,3.63,,,-23.18
2005-04-18,17.08,17.06,0.17,0.29,1415181,1.48,-10.43,-20.78,,,-17.84,19.9,2.22,3.7,,,-23.05
2005-04-19,17.37,17.64,3.43,1.82,1323838,1.33,-9.81,-18.02,,,-15.03,29.3,2.42,3.62,,,-20.41
2005-04-20,18.45,17.93,1.59,4.54,1452509,1.41,-3.27,-16.39,,,-13.67,33.3,2.48,3.81,,,-19.14
2005-04-21,18.26,18.3,2.09,1.87,1129070,1.11,3.99,-14.51,,,-11.87,38.3,2.56,3.76,,,-17.45
2005-04-22,18.22,18.19,-0.62,-0.46,948138,0.92,6.78,-13.0,,,-12.42,37.4,2.53,3.72,,,-17.96
2005-04-25,18.22,18.15,-0.2,0.16,642484,0.63,6.39,-13.44,,,-12.59,37.1,2.52,3.69,,,-18.12
