date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-07-03,2.05,1.95,,,414234,,,,,,0.0,,,19.5,,,
2024-07-05,1.9,1.72,-11.79,-2.56,228158,,,,,,-11.79,0.0,,21.94,,,
2024-07-08,1.63,1.57,-8.72,-5.23,277820,,,,,,-19.49,0.0,,23.8,,,
2024-07-09,1.54,1.55,-1.27,-1.91,177450,,,,,,-20.51,0.0,,23.54,,,
2024-07-10,1.55,1.61,3.87,0.0,456045,,,,,,-17.44,2.2,,22.55,,,
2024-07-11,1.54,1.55,-3.73,-4.35,84490,,-20.51,,,,-20.51,2.1,,22.44,,,
2024-07-12,3.04,2.7,74.19,96.13,56853646,,56.98,,,,38.46,33.3,,16.33,,,
2024-07-15,2.57,2.86,5.93,-4.81,2775912,,82.17,,,,46.67,36.3,,16.36,,,
2024-07-16,2.9,2.78,-2.8,1.4,993992,,79.35,,,,42.56,35.5,,16.73,,,
2024-07-17,2.71,2.6,-6.47,-2.52,717782,,61.49,,,,33.33,33.5,,17.6,,,
2024-07-18,2.65,2.3,-11.54,1.92,295398,,48.39,,,,17.95,30.5,,19.84,,,
2024-07-19,2.29,2.12,-7.83,-0.43,245420,,-21.48,,,,8.72,28.9,,21.17,,,
2024-07-22,2.06,2.09,-1.42,-2.83,213643,,-26.92,,,,7.18,28.6,,20.35,,,
2024-07-23,2.02,2.18,4.31,-3.35,192038,,-21.58,,,,11.79,30.8,,18.9,,,
2024-07-24,2.09,2.31,5.96,-4.13,176606,,-11.15,,,,18.46,33.9,,17.48,,,
2024-07-25,2.31,2.57,11.26,0.0,182725,,11.74,,,,31.79,39.8,,15.51,,,
2024-07-26,2.56,2.81,9.34,-0.39,306450,,32.55,,,,44.1,44.6,,13.91,,,
2024-07-29,2.79,2.88,2.49,-0.71,376395,,37.8,,,,47.69,46.0,,13.44,,,
2024-07-30,2.88,2.87,-0.35,0.0,69327,,31.65,,,,47.18,45.8,,13.35,,,
2024-07-31,2.81,2.8,-2.44,-2.09,57832,0.02,21.21,,,,43.59,44.6,,13.22,,,-2.78
2024-08-01,2.83,2.91,3.93,1.07,220354,0.07,13.23,,,,49.23,47.1,,12.42,,,0.0
2024-08-02,2.82,3.7,27.15,-3.09,234107,0.07,31.67,89.74,,,89.74,60.8,18.27,11.15,,,0.0
2024-08-05,3.5,3.99,7.84,-5.41,320821,0.1,38.54,131.98,,,104.62,64.4,17.91,11.51,,,0.0
2024-08-06,3.99,3.92,-1.75,0.0,104016,0.03,36.59,149.68,,,101.03,62.9,17.7,11.48,,,-1.75
2024-08-07,3.96,3.7,-5.61,1.02,225799,0.07,32.14,138.71,,,89.74,58.2,17.81,12.98,,,-7.27
2024-08-08,3.83,3.93,6.22,3.51,113337,0.04,35.05,144.1,,,101.54,61.4,17.81,12.62,,,-1.5
2024-08-09,3.94,4.27,8.65,0.25,193180,0.48,15.41,175.48,,,118.97,65.6,17.69,11.77,,,0.0
2024-08-12,4.52,5.76,34.89,5.85,350100,1.25,44.36,113.33,,,195.38,77.3,10.9,9.99,,,0.0
2024-08-13,6.1,5.05,-12.33,5.9,820650,3.03,28.83,76.57,,,158.97,65.8,11.46,15.12,,,-12.33
2024-08-14,4.74,4.59,-9.11,-6.14,260312,1.05,24.05,65.11,,,135.38,59.7,11.71,17.1,,,-20.31
2024-08-15,4.73,4.53,-1.31,3.05,98092,0.41,15.27,74.23,,,132.31,58.9,11.55,17.0,,,-21.35
2024-08-16,4.53,5.08,12.14,0.0,208396,0.88,18.97,120.87,,,160.51,63.6,11.19,16.24,,,-11.81
2024-08-19,5.34,4.88,-3.94,5.12,154870,0.66,-15.28,130.19,,,150.26,60.9,11.01,16.68,,,-15.28
2024-08-20,4.98,4.91,0.61,2.05,97974,0.43,-2.77,134.93,,,151.79,61.1,10.96,16.24,,,-14.76
2024-08-21,5.08,4.87,-0.81,3.46,159428,0.7,6.1,123.39,,,149.74,60.5,11.03,16.34,,,-15.45
2024-08-22,4.89,5.01,2.87,0.41,97177,0.43,10.6,116.88,,,156.92,61.9,11.03,15.26,,,-13.02
2024-08-23,5.19,5.17,3.19,3.59,85508,0.4,1.77,101.17,,,165.13,63.5,10.91,14.44,,,-10.24
2024-08-26,5.01,5.07,-1.93,-3.09,56609,0.29,3.89,80.43,,,160.0,61.8,10.91,14.21,,,-11.98
2024-08-27,5.35,5.16,1.78,5.52,38787,0.2,5.09,79.17,,,164.62,62.8,10.91,13.38,,,-10.42
2024-08-28,5.12,5.19,0.58,-0.78,48645,0.25,6.57,80.84,,,166.15,63.1,10.9,12.77,,,-9.9
2024-08-29,5.21,5.22,0.58,0.39,32437,0.18,4.19,86.43,,,167.69,63.5,10.83,12.2,,,-9.38
