date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-11-22,40.0,34.99,,,978605,,,,,,0.0,,,18.38,,,
2021-11-23,34.14,33.56,-4.09,-2.43,358228,,,,,,-4.09,0.0,,18.47,,,
2021-11-24,32.79,34.71,3.43,-2.29,430839,,,,,,-0.8,5.8,,17.81,,,
2021-11-26,33.87,33.4,-3.77,-2.42,250704,,,,,,-4.54,5.4,,17.81,,,
2021-11-29,33.65,31.72,-5.03,0.75,248226,,,,,,-9.35,5.0,,18.01,,,
2021-11-30,31.23,30.78,-2.96,-1.54,356570,,-12.03,,,,-12.03,4.7,,17.74,,,
2021-12-01,32.12,28.29,-8.09,4.35,264955,,-15.7,,,,-19.15,4.2,,18.9,,,
2021-12-02,27.81,27.57,-2.55,-1.7,168733,,-20.57,,,,-21.21,4.0,,18.57,,,
2021-12-03,27.7,26.05,-5.51,0.47,367351,,-22.01,,,,-25.55,3.7,,18.9,,,
2021-12-06,26.0,26.32,1.04,-0.19,180681,,-17.02,,,,-24.78,5.1,,18.06,,,
2021-12-07,26.95,26.92,2.28,2.39,232323,,-12.54,,,,-23.06,8.3,,17.06,,,
2021-12-08,27.33,31.5,17.01,1.52,260642,,11.35,,,,-9.97,28.0,,14.63,,,
2021-12-09,31.5,32.46,3.05,0.0,204776,,17.74,,,,-7.23,31.3,,13.58,,,
2021-12-10,33.0,34.13,5.14,1.66,287991,,31.02,,,,-2.46,36.8,,12.52,,,
2021-12-13,34.3,32.02,-6.18,0.5,203970,,21.66,,,,-8.49,33.2,,13.08,,,
2021-12-14,31.7,31.52,-1.56,-1.0,183080,,17.09,,,,-9.92,32.4,,12.75,,,
2021-12-15,31.7,32.28,2.41,0.57,146612,,2.48,,,,-7.75,35.0,,12.0,,,
2021-12-16,32.59,32.11,-0.53,0.96,241146,,-1.08,,,,-8.23,34.7,,11.73,,,
2021-12-17,32.12,31.98,-0.4,0.03,241487,,-6.3,,,,-8.6,34.4,,11.34,,,
2021-12-20,31.5,30.66,-4.13,-1.5,118362,0.41,-4.25,,,,-12.37,31.8,,11.42,,,-12.37
2021-12-21,31.31,32.9,7.31,2.12,132506,0.54,4.38,,,,-5.97,40.1,,10.42,,,-5.97
2021-12-22,32.65,31.75,-3.5,-0.76,144488,0.62,-1.64,-9.26,,,-9.26,37.6,5.65,10.47,,,-9.26
2021-12-23,31.84,31.88,0.41,0.28,88024,0.41,-0.72,-5.01,,,-8.89,38.0,5.58,10.08,,,-8.89
2021-12-27,31.93,31.17,-2.23,0.16,87516,0.42,-2.53,-10.2,,,-10.92,36.4,5.54,9.88,,,-10.92
2021-12-28,31.0,30.33,-2.69,-0.55,136364,0.67,-1.08,-9.19,,,-13.32,34.5,5.51,9.89,,,-13.32
2021-12-29,30.43,29.55,-2.57,0.33,149412,0.78,-10.18,-6.84,,,-15.55,32.8,5.43,9.77,,,-15.55
2021-12-30,29.5,29.21,-1.15,-0.17,102561,0.56,-8.0,-5.1,,,-16.52,32.1,5.4,9.52,,,-16.52
2021-12-31,29.1,28.67,-1.85,-0.38,173848,0.94,-10.07,1.34,,,-18.06,30.9,5.1,9.24,,,-18.06
2022-01-03,29.33,30.11,5.02,2.3,73214,0.43,-3.4,9.21,,,0.0,37.6,5.17,8.71,,,-13.95
2022-01-04,30.37,29.62,-1.63,0.86,93722,0.57,-2.34,13.7,,,-1.63,36.3,5.01,8.61,,,-15.35
2022-01-05,29.82,28.65,-3.27,0.68,126204,0.79,-3.05,8.85,,,-4.85,33.8,5.08,8.63,,,-18.12
