date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,13.06,12.69,-3.74,-0.89,2301537,0.83,2.91,16.14,1.11,-16.58,0.0,59.3,2.44,3.5,7.7,-8.97,-25.17
2000-01-04,12.63,12.43,-2.02,-0.48,3162631,1.2,-3.83,7.67,-6.32,-17.35,-2.02,54.8,2.23,3.57,5.35,-10.81,-26.68
2000-01-05,12.41,12.41,-0.13,-0.13,2584475,0.99,-4.63,8.87,-2.81,-17.12,-2.15,54.5,2.21,3.6,5.13,-10.94,-26.78
2000-01-06,12.48,13.09,5.41,0.51,4745725,1.71,0.89,18.46,-2.1,-12.63,3.15,63.0,2.3,3.64,10.62,-6.16,-22.81
2000-01-07,13.64,13.7,4.72,4.24,3890181,1.37,3.98,23.82,1.16,-7.33,8.02,68.7,2.45,3.55,15.48,-1.79,-19.17
2000-01-10,13.82,13.42,-2.07,0.88,2903468,1.04,5.78,22.85,-2.66,-7.87,5.78,63.8,2.49,3.69,12.83,-3.88,-20.84
2000-01-11,13.48,13.27,-1.12,0.42,2180673,0.78,6.75,18.41,-2.8,-8.04,4.6,61.3,2.5,3.69,11.41,-5.0,-21.73
2000-01-12,13.21,13.06,-1.57,-0.45,2360974,0.88,5.22,16.74,-1.23,-9.86,2.96,58.0,2.55,3.74,9.56,-6.52,-22.96
2000-01-13,12.93,12.76,-2.3,-1.04,3201461,1.23,-2.48,12.14,-1.81,-12.06,0.59,53.4,2.63,3.76,6.93,-8.69,-24.73
2000-01-14,12.85,12.76,0.0,0.7,2097055,0.84,-6.88,8.42,-1.39,-14.56,0.59,53.4,2.54,3.68,6.79,-8.72,-24.73
2000-01-18,12.65,12.69,-0.59,-0.86,1404776,0.61,-5.47,6.28,-0.59,-15.4,0.0,52.2,2.54,3.61,5.99,-9.28,-25.17
2000-01-19,12.75,12.45,-1.88,0.47,4494887,1.85,-6.19,4.56,-3.88,-14.71,-1.88,48.5,2.59,3.69,3.81,-10.99,-26.57
2000-01-20,12.45,12.11,-2.7,0.0,4265447,1.69,-7.26,3.32,-5.51,-17.83,-4.52,43.8,2.64,3.99,0.92,-13.38,-28.55
2000-01-21,11.86,11.53,-4.82,-2.09,4188179,1.57,-9.65,-3.54,-8.11,-19.46,-9.12,37.1,2.82,4.35,-3.94,-17.52,-31.99
2000-01-24,11.47,11.29,-2.04,-0.5,4469127,1.58,-11.49,-4.04,-1.46,-22.69,-10.97,34.7,2.83,4.36,-5.87,-19.17,-33.38
2000-01-25,11.19,11.0,-2.63,-0.94,4929597,1.67,-13.31,-9.56,-7.99,-24.88,-13.31,32.0,2.77,4.57,-8.33,-21.25,-35.13
2000-01-26,11.31,11.79,7.21,2.84,5841016,1.85,-5.29,-4.36,-1.85,-21.37,-7.06,44.5,3.21,4.52,-1.8,-15.55,-30.46
2000-01-27,11.5,11.46,-2.83,-2.5,3640928,1.12,-5.42,-11.37,-3.44,-25.0,-9.69,41.1,3.05,4.86,-4.59,-17.88,-32.42
2000-01-28,11.28,11.25,-1.83,-1.54,2822631,0.86,-2.45,-13.6,-6.71,-25.52,-11.34,39.1,3.05,4.75,-6.25,-19.29,-33.66
2000-01-31,11.31,11.26,0.15,0.55,1908033,0.57,-0.27,-13.16,-9.52,-26.34,-11.21,39.3,3.05,4.55,-5.92,-19.07,-33.56
2000-02-01,11.19,11.02,-2.15,-0.67,1533959,0.46,0.22,-16.37,-11.56,-25.16,-13.13,36.9,3.02,4.58,-7.75,-20.69,-34.99
2000-02-02,11.25,11.11,0.83,2.05,1967877,0.6,-5.74,-12.4,-8.64,-24.01,-12.4,38.4,2.96,4.5,-6.88,-19.89,-34.45
2000-02-03,11.11,10.97,-1.3,0.0,3053258,0.93,-4.26,-11.76,-8.5,-25.38,-13.54,36.9,2.95,4.53,-7.97,-20.8,-35.3
2000-02-04,11.07,11.13,1.47,0.9,4231372,1.29,-1.04,-10.34,-4.61,-21.36,-12.27,39.8,2.98,4.35,-6.6,-19.52,-34.35
2000-02-07,11.07,10.79,-3.08,-0.56,2652233,0.83,-4.23,-17.57,-5.3,-23.37,-14.97,36.0,2.71,4.45,-9.4,-21.84,-36.37
2000-02-08,10.79,10.62,-1.51,0.0,2826196,0.88,-3.6,-22.47,-8.1,-24.37,-16.25,34.3,2.39,4.45,-10.66,-22.88,-37.33
2000-02-09,10.66,10.23,-3.69,0.3,3746734,1.14,-7.92,-23.75,-11.29,-25.81,-19.34,30.6,2.44,4.64,-13.8,-25.58,-39.64
2000-02-10,10.29,9.62,-5.97,0.58,11783480,3.14,-12.28,-27.49,-15.73,-31.57,-24.16,26.0,2.65,5.41,-18.68,-29.86,-43.25
2000-02-11,9.78,9.36,-2.7,1.67,5454257,1.41,-15.88,-28.32,-16.14,-35.99,-26.2,24.3,2.66,5.66,-20.61,-31.57,-44.78
2000-02-14,9.41,9.89,5.63,0.5,5434840,1.35,-8.33,-22.51,-12.37,-34.25,-22.05,33.7,3.08,5.36,-15.99,-27.54,-41.67
2000-02-15,9.94,10.37,4.82,0.56,6327240,1.48,-2.43,-18.77,-8.91,-29.83,-18.29,40.9,3.34,5.26,-11.76,-23.88,-38.86
2000-02-16,10.37,10.22,-1.43,0.0,3039386,0.72,-0.14,-19.46,-13.52,-31.5,-19.46,39.5,3.34,5.3,-12.85,-24.78,-39.73
2000-02-17,10.19,10.05,-1.64,-0.32,1619555,0.4,4.45,-19.27,-19.27,-31.69,-20.78,37.9,3.34,5.25,-14.13,-25.83,-40.72
2000-02-18,10.0,9.76,-2.89,-0.49,2311442,0.58,4.25,-19.43,-20.83,-34.51,-23.07,35.2,3.34,5.38,-16.43,-27.8,-42.43
2000-02-22,9.7,9.8,0.38,-0.58,1754279,0.46,-0.93,-15.02,-16.43,-35.29,-22.77,35.8,3.23,5.25,-15.94,-27.34,-42.21
2000-02-23,9.62,8.97,-8.46,-1.84,4998152,1.3,-13.48,-20.6,-23.51,-44.28,-29.31,29.1,3.64,6.04,-22.76,-33.3,-47.1
2000-02-24,9.21,8.59,-4.21,2.72,7553302,1.92,-15.92,-21.88,-23.73,-45.61,-32.28,26.6,3.69,6.4,-25.68,-35.92,-49.33
2000-02-25,8.78,8.5,-1.09,2.17,4583650,1.15,-15.45,-27.93,-24.87,-46.62,-33.02,26.0,3.16,6.3,-26.12,-36.42,-49.88
2000-02-28,8.5,8.92,5.02,0.0,5486754,1.33,-8.56,-22.11,-21.09,-42.7,-29.66,33.3,3.45,6.08,-22.02,-33.05,-47.36
2000-02-29,8.86,9.21,3.22,-0.7,5569968,1.3,-5.98,-18.1,-18.55,-40.29,-27.39,37.7,3.57,5.83,-19.12,-30.7,-45.66
2000-03-01,9.16,9.09,-1.3,-0.54,2322139,0.54,1.38,-19.29,-21.58,-40.54,-28.34,36.6,3.57,5.74,-19.78,-31.42,-46.37
2000-03-02,9.03,8.64,-5.0,-0.72,3650437,0.83,0.53,-21.64,-23.81,-43.1,-31.92,32.7,3.67,6.16,-23.38,-34.68,-49.06
2000-03-03,8.83,8.86,2.61,2.26,6511501,1.42,4.29,-20.26,-18.87,-40.39,-30.15,36.3,3.73,6.04,-20.94,-32.8,-47.73
2000-03-06,9.01,8.97,1.2,1.69,5117429,1.1,0.49,-18.24,-22.32,-38.53,-29.31,38.0,3.76,5.98,-19.6,-31.81,-47.1
2000-03-07,9.1,8.38,-6.54,1.52,4408502,0.93,-9.01,-24.69,-26.49,-44.64,-33.93,32.8,3.91,6.62,-24.34,-36.09,-50.56
2000-03-08,8.45,8.41,0.37,0.76,4121204,0.86,-7.47,-22.01,-23.85,-42.51,-33.69,33.4,3.91,6.48,-23.52,-35.67,-50.38
2000-03-09,8.41,8.63,2.53,0.0,2996590,0.63,-0.13,-18.81,-22.06,-41.06,-32.01,36.9,3.99,6.28,-20.97,-33.86,-49.12
2000-03-10,8.7,8.65,0.28,0.81,2110530,0.49,-2.39,-15.47,-20.81,-41.26,-31.82,37.3,3.94,6.09,-20.1,-33.49,-48.98
2000-03-13,8.53,8.53,-1.35,-1.35,3040577,0.73,-4.85,-11.31,-23.86,-41.82,-32.74,36.1,3.76,5.9,-20.53,-34.2,-49.67
2000-03-14,8.59,8.5,-0.42,0.68,3184423,0.79,1.38,-9.24,-24.06,-40.98,-33.02,35.7,3.72,5.7,-20.17,-34.3,-49.88
2000-03-15,8.5,9.19,8.16,0.0,3919902,1.0,9.24,-7.06,-19.24,-35.58,-27.56,47.5,3.96,5.55,-13.09,-28.78,-45.79
2000-03-16,9.37,10.32,12.3,1.98,5083351,1.27,19.65,-0.44,-12.32,-27.95,-18.65,60.2,4.71,5.5,-2.01,-19.86,-39.12
2000-03-17,10.32,9.73,-5.7,0.0,3097644,0.76,12.51,-4.75,-18.47,-30.69,-23.29,53.0,4.87,5.9,-7.12,-24.25,-42.59
2000-03-20,9.94,9.94,2.18,2.18,3017989,0.73,16.53,-1.05,-16.47,-29.02,-21.61,55.1,4.88,5.66,-4.53,-22.43,-41.34
2000-03-21,9.94,10.26,3.19,0.0,3885027,0.92,20.76,5.14,-12.48,-23.86,-19.12,58.1,4.87,5.69,-0.83,-19.78,-39.47
2000-03-22,10.26,10.1,-1.62,0.0,3494312,0.84,9.84,3.04,-15.54,-25.22,-20.42,56.0,4.89,5.65,-1.8,-20.89,-40.45
2000-03-23,10.04,10.19,0.89,-0.56,6055007,1.48,-1.31,13.57,-13.47,-22.43,-19.72,56.9,4.47,5.44,-0.33,-20.0,-39.92
2000-03-24,10.12,10.17,-0.16,-0.61,2648273,0.66,4.48,18.36,-16.38,-22.21,-19.85,56.7,4.33,5.25,0.08,-19.93,-40.02
2000-03-27,10.2,9.75,-4.13,0.31,3030285,0.78,-1.97,14.73,-20.91,-25.58,-23.15,51.0,4.45,5.56,-3.48,-23.04,-42.5
2000-03-28,10.1,9.99,2.48,3.55,3760200,1.0,-2.63,11.95,-22.71,-22.31,-21.25,53.8,4.36,5.54,-0.54,-20.96,-41.07
2000-03-29,10.19,10.32,3.3,1.95,3509764,0.92,2.23,12.04,-20.72,-20.96,-18.65,57.5,4.36,5.22,3.23,-18.19,-39.12
2000-03-30,10.39,10.92,5.84,0.7,5150717,1.32,7.25,20.15,-15.78,-18.28,-13.9,63.3,4.48,5.35,9.59,-13.24,-35.57
2000-03-31,10.91,10.64,-2.64,-0.14,3682141,0.98,4.59,23.14,-19.3,-18.81,-16.17,59.1,4.35,5.4,7.02,-15.34,-37.27
2000-04-03,10.7,10.64,0.0,0.59,2866615,0.78,9.09,20.01,-16.17,-15.24,-16.17,59.1,4.34,5.22,7.21,-15.14,-37.27
2000-04-04,10.67,11.3,6.25,0.31,5814862,1.56,13.1,26.0,-9.1,-14.85,-10.93,65.2,4.49,5.12,13.91,-9.65,-33.35
2000-04-05,11.15,10.95,-3.07,-1.32,2466383,0.68,6.13,30.67,-11.77,-14.25,-13.66,60.2,4.25,5.34,10.42,-12.24,-35.39
2000-04-06,10.97,10.88,-0.71,0.14,1578344,0.44,-0.44,29.27,-16.9,-18.64,-14.28,59.1,4.27,5.3,9.84,-12.69,-35.85
2000-04-07,10.88,10.61,-2.44,0.0,1957175,0.55,-0.24,23.0,-22.58,-21.68,-16.37,55.4,4.34,5.28,7.34,-14.64,-37.42
2000-04-10,10.54,10.94,3.1,-0.62,2767547,0.78,2.85,26.45,-18.49,-20.66,-13.78,58.8,4.36,5.16,10.74,-11.83,-35.48
2000-04-11,10.88,10.83,-0.99,-0.58,2079221,0.6,-4.16,26.91,-18.39,-20.67,-14.63,57.2,4.35,5.11,9.74,-12.56,-36.12
2000-04-12,10.77,11.25,3.91,-0.53,4469532,1.27,2.74,32.43,-13.84,-14.91,-11.3,61.6,4.37,5.1,13.97,-8.99,-33.62
2000-04-13,11.31,11.6,3.07,0.5,3206216,0.94,6.65,26.2,-9.11,-10.75,-8.57,64.7,4.11,4.85,17.36,-6.07,-31.58
2000-04-14,11.3,10.08,-13.09,-2.58,6168331,1.72,-4.99,-2.32,-21.01,-22.1,-20.54,46.7,4.4,6.33,2.18,-18.19,-40.54
2000-04-17,10.14,10.47,3.9,0.56,3957947,1.09,-4.25,7.62,-17.44,-17.93,-17.44,50.5,4.28,6.23,6.3,-14.84,-38.22
2000-04-18,10.53,10.41,-0.64,0.53,6216679,1.66,-3.91,4.65,-16.4,-19.65,-17.97,49.9,4.27,6.07,5.7,-15.22,-38.62
2000-04-19,10.52,9.91,-4.74,1.08,3303307,0.88,-11.91,-3.4,-18.16,-22.67,-21.86,45.2,4.35,6.4,0.84,-19.07,-41.53
2000-04-20,10.25,10.59,6.81,3.36,3326684,0.92,-8.71,4.88,-8.17,-15.61,-16.54,51.8,4.58,6.11,7.63,-13.41,-37.55
2000-04-24,10.48,11.01,3.99,-1.0,2932400,0.81,9.22,8.1,-2.52,-3.94,-13.21,55.5,4.65,5.87,11.6,-9.81,-35.05
2000-04-25,10.77,11.11,0.93,-2.16,2770718,0.77,6.11,9.29,1.05,-7.03,-12.4,56.4,4.65,5.7,12.25,-8.83,-34.45
2000-04-26,11.15,10.91,-1.85,0.34,2813117,0.79,4.82,11.89,-7.48,-9.19,-14.02,54.1,4.56,5.74,9.95,-10.38,-35.66
2000-04-27,10.91,11.3,3.59,0.0,2696220,0.77,13.99,13.1,-1.37,-4.76,-10.93,57.6,4.59,5.54,13.68,-7.04,-33.35
2000-04-28,11.24,11.28,-0.13,-0.53,2956967,0.87,6.58,9.34,0.33,-6.4,-11.05,57.4,4.55,5.42,13.29,-7.04,-33.44
