date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,36.38,37.62,6.46,2.97,14655053,1.36,-3.86,2.97,19.62,45.38,0.0,51.6,3.88,4.65,5.53,35.85,-5.17
2000-01-04,37.12,36.02,-4.24,-1.33,10775438,1.0,-8.26,-2.83,8.97,38.9,-4.24,46.1,3.99,4.88,0.62,29.67,-9.2
2000-01-05,36.02,35.15,-2.42,0.0,16452853,1.49,-9.48,-10.43,2.45,32.37,-6.56,43.4,3.78,4.92,-2.17,26.15,-11.39
2000-01-06,35.24,34.19,-2.73,0.26,15932539,1.42,-5.91,-10.42,1.33,26.93,-9.11,40.6,3.78,5.23,-5.11,22.33,-13.81
2000-01-07,33.85,34.38,0.54,-1.01,17531970,1.55,-2.71,-13.34,6.96,28.43,-8.61,41.4,3.65,5.11,-4.87,22.61,-13.34
2000-01-10,36.0,36.73,6.86,4.72,12697901,1.1,-2.35,-6.12,16.87,36.15,-2.35,50.5,3.99,4.96,1.19,30.59,-7.4
2000-01-11,36.75,36.38,-0.95,0.04,10347261,0.89,1.01,-6.9,10.39,36.15,-3.28,49.2,4.0,4.96,-0.09,28.91,-8.28
2000-01-12,36.3,36.94,1.52,-0.23,9075194,0.8,5.08,-4.78,18.9,34.83,-1.81,51.2,4.01,4.86,1.19,30.44,-6.89
2000-01-13,37.48,37.44,1.36,1.48,8872754,0.84,9.5,6.02,19.81,33.78,-0.47,53.1,3.48,4.82,2.26,31.76,-5.62
2000-01-14,38.35,39.44,5.36,2.45,11963227,1.15,14.74,12.8,26.98,40.06,4.86,59.5,3.63,4.63,7.33,38.3,-0.57
2000-01-18,38.4,40.36,2.32,-2.65,11925012,1.15,9.87,10.3,33.84,47.4,7.29,62.1,3.53,4.61,9.41,40.98,0.0
2000-01-19,40.94,40.05,-0.78,1.44,9022079,0.86,10.07,7.43,29.75,55.53,6.46,60.7,3.53,4.49,8.27,39.4,-0.78
2000-01-20,40.96,41.28,3.07,2.27,12702506,1.21,11.75,12.44,42.07,61.41,9.73,64.2,3.55,4.39,11.17,43.16,0.0
2000-01-21,41.96,40.52,-1.85,1.66,11645612,1.09,8.22,3.92,38.56,63.09,7.7,60.6,3.34,4.49,8.72,40.04,-1.85
2000-01-24,41.88,40.54,0.07,3.36,13908993,1.25,2.79,2.9,42.22,59.71,7.78,60.7,3.34,4.78,8.43,39.65,-1.77
2000-01-25,41.28,41.65,2.72,1.81,20466884,1.74,3.19,5.93,45.86,68.6,10.71,64.0,3.38,4.72,11.01,42.91,0.0
2000-01-26,41.44,41.13,-1.23,-0.49,11706585,0.97,2.72,5.13,41.36,57.36,9.35,61.4,3.39,4.69,9.42,40.64,-1.23
2000-01-27,41.06,41.33,0.48,-0.17,13537452,1.07,0.14,5.27,41.57,52.25,9.88,62.1,3.39,4.77,9.68,40.78,-0.75
2000-01-28,41.0,39.19,-5.19,-0.81,13540975,1.06,-3.28,0.91,37.92,49.69,4.17,51.9,3.59,5.22,3.81,33.02,-5.9
2000-01-31,39.12,39.42,0.59,-0.16,13011985,1.0,-2.78,8.48,29.11,49.79,4.79,52.8,3.26,5.22,4.17,33.36,-5.35
2000-02-01,39.37,41.39,4.99,-0.12,10320430,0.81,-0.62,17.13,26.11,60.63,10.02,59.7,3.32,5.09,9.05,39.52,-0.62
2000-02-02,42.21,43.67,5.51,1.98,14797593,1.14,6.16,16.08,37.25,69.15,16.08,65.9,3.25,4.92,14.59,46.6,0.0
2000-02-03,44.27,49.02,12.26,1.37,20193989,1.53,18.6,36.09,50.83,91.23,30.31,75.4,3.9,4.88,27.78,63.72,0.0
2000-02-04,48.2,48.29,-1.49,-1.68,16188906,1.23,23.22,37.37,44.11,89.28,28.36,72.5,3.86,5.07,25.1,60.51,-1.49
2000-02-07,48.01,49.2,1.89,-0.57,10642650,0.83,24.82,43.9,40.24,88.97,30.8,73.9,3.73,4.84,26.67,62.76,0.0
2000-02-08,49.43,50.8,3.26,0.47,10351591,0.81,22.75,47.78,48.68,96.46,35.05,76.1,3.73,4.62,29.92,67.21,0.0
2000-02-09,50.9,51.54,1.44,0.18,13289219,1.03,18.02,40.3,52.76,103.65,37.0,77.1,3.56,4.48,30.79,68.75,0.0
2000-02-10,51.45,53.05,2.93,-0.17,9216385,0.72,8.22,45.8,55.25,98.51,41.02,79.0,3.52,4.39,33.41,72.79,0.0
2000-02-11,52.31,50.35,-5.09,-1.39,11230984,0.87,4.27,36.31,41.39,89.66,33.84,68.1,3.83,4.76,25.73,63.2,-5.09
2000-02-14,50.76,49.25,-2.18,0.83,11178958,0.86,0.1,31.55,32.77,79.29,30.92,64.2,3.92,4.91,22.21,58.87,-7.16
2000-02-15,49.25,49.37,0.24,0.0,10403089,0.81,-2.83,25.15,33.99,78.22,31.23,64.4,3.82,4.84,21.76,58.46,-6.94
2000-02-16,49.71,49.66,0.6,0.69,11617701,0.89,-3.64,23.04,37.69,80.25,32.01,65.0,3.81,4.72,21.86,58.64,-6.39
2000-02-17,49.73,52.31,5.34,0.13,11462962,0.89,-1.39,30.62,50.68,96.07,39.06,70.1,3.89,4.62,27.48,66.23,-1.39
2000-02-18,53.05,49.02,-6.29,1.41,12404408,0.96,-2.64,18.76,36.62,85.19,30.31,58.7,4.21,5.17,18.92,55.05,-7.59
2000-02-22,51.95,54.51,11.2,5.98,21066334,1.58,10.68,34.54,51.82,101.02,44.9,68.0,4.72,5.08,31.25,71.46,0.0
2000-02-23,54.44,53.82,-1.26,-0.12,16246081,1.24,9.03,32.75,48.27,92.54,43.08,66.0,4.74,5.2,28.69,68.39,-1.26
2000-02-24,54.51,57.71,7.23,1.27,18226811,1.36,16.22,38.58,58.31,98.93,53.43,71.2,4.9,5.04,36.75,79.48,0.0
2000-02-25,57.57,56.06,-2.87,-0.24,12777848,0.95,7.16,36.27,51.73,88.2,49.02,66.5,4.97,5.19,31.53,73.34,-2.87
2000-02-28,56.06,57.02,1.73,0.0,16538222,1.22,16.33,37.96,51.29,96.42,51.59,67.9,4.96,5.26,32.43,75.35,-1.2
2000-02-29,57.43,60.78,6.58,0.72,15314390,1.12,11.5,55.1,66.2,109.19,61.57,72.4,4.81,5.18,39.58,85.74,0.0
2000-03-01,61.25,60.13,-1.06,0.78,13720375,0.99,11.72,52.55,71.18,104.73,59.85,70.6,4.85,5.39,36.66,82.63,-1.06
2000-03-02,60.02,63.28,5.24,-0.19,15187019,1.1,9.65,52.91,74.34,111.0,68.23,74.0,4.86,5.39,42.11,90.95,0.0
2000-03-03,65.12,68.64,8.46,2.89,17901070,1.3,22.44,57.18,87.88,129.73,82.46,78.7,5.0,5.19,52.1,105.62,0.0
2000-03-06,70.33,68.04,-0.86,2.47,17269374,1.25,19.32,38.81,83.56,119.69,80.88,77.0,4.49,5.56,48.9,102.43,-0.86
2000-03-07,68.59,65.84,-3.23,0.8,14792452,1.06,8.33,36.36,67.78,105.0,75.03,71.1,4.56,5.82,42.43,94.58,-4.07
2000-03-08,65.84,62.92,-4.43,0.0,16376703,1.14,4.64,27.89,64.85,87.87,67.27,64.1,4.75,6.15,34.73,84.8,-8.32
2000-03-09,62.92,65.84,4.64,0.0,13089223,0.92,4.04,29.6,65.98,102.72,75.03,67.5,4.78,5.99,39.39,92.08,-4.07
2000-03-10,65.98,66.12,0.43,0.22,11525561,0.8,-3.66,28.3,68.99,103.25,75.78,67.9,4.79,5.95,38.39,91.6,-3.66
2000-03-13,63.47,62.83,-4.98,-4.01,11938292,0.83,-7.66,18.45,60.77,89.71,67.03,60.4,4.96,6.22,30.06,80.94,-8.45
2000-03-14,63.65,57.25,-8.88,1.31,17415170,1.18,-13.04,13.72,47.6,75.99,52.2,50.2,5.25,7.4,17.45,63.99,-16.58
2000-03-15,57.62,53.78,-6.07,0.63,24743509,1.6,-14.53,9.2,52.29,60.71,42.96,45.1,5.43,7.88,9.59,53.29,-21.65
2000-03-16,54.92,58.53,8.84,2.12,21400469,1.34,-11.1,18.57,67.39,84.61,55.6,52.3,5.72,7.53,18.19,65.92,-14.72
2000-03-17,58.53,62.14,6.17,0.0,17011382,1.05,-6.02,25.14,69.84,94.06,65.2,56.8,5.83,7.12,24.13,75.12,-9.46
2000-03-20,62.19,61.14,-1.62,0.07,12170266,0.75,-2.7,16.87,64.01,86.11,62.52,55.2,5.78,7.17,20.82,71.29,-10.93
2000-03-21,61.09,62.65,2.48,-0.07,10736143,0.68,9.42,27.8,70.66,93.68,66.54,57.2,5.55,6.94,22.44,74.53,-8.72
2000-03-22,63.65,65.12,3.94,1.6,12539910,0.81,21.08,19.46,67.01,105.1,73.1,60.2,5.11,6.72,25.86,80.32,-5.13
2000-03-23,65.12,63.74,-2.11,0.0,11899267,0.78,8.9,18.43,61.77,101.33,69.45,57.8,5.13,6.79,21.92,75.48,-7.13
2000-03-24,64.48,64.59,1.33,1.15,13686506,0.9,3.93,11.91,64.29,112.93,71.7,58.9,4.93,6.75,22.24,76.79,-5.9
2000-03-27,64.38,66.19,2.48,-0.32,10972998,0.73,8.27,18.08,69.17,115.9,75.96,61.0,4.87,6.41,23.93,80.11,-3.56
2000-03-28,66.03,65.44,-1.14,-0.24,11216081,0.76,4.45,14.75,66.67,109.86,73.96,59.4,4.89,6.24,21.34,77.05,-4.66
2000-03-29,65.12,62.49,-4.51,-0.49,14153436,0.96,-4.04,2.81,60.91,97.66,66.11,53.7,4.83,6.51,14.93,68.18,-8.96
2000-03-30,62.49,59.68,-4.5,0.0,17135494,1.15,-6.38,-0.76,64.23,93.97,58.64,48.9,4.93,7.03,8.97,59.86,-13.05
2000-03-31,60.36,58.53,-1.92,1.15,18588322,1.24,-9.37,-7.51,65.66,94.72,55.6,47.1,4.8,7.1,6.21,56.08,-14.72
2000-04-03,58.53,55.15,-5.78,0.0,15305446,1.03,-16.68,-19.65,46.61,75.38,46.61,42.0,4.51,7.51,-0.46,46.46,-19.65
2000-04-04,55.24,53.32,-3.32,0.17,32756662,2.08,-18.52,-21.64,48.03,61.31,41.75,39.6,4.54,8.44,-4.2,41.06,-22.31
2000-04-05,53.39,54.87,2.91,0.12,21674452,1.35,-12.19,-16.66,56.1,59.93,45.87,42.6,4.59,8.46,-1.88,44.59,-20.05
2000-04-06,57.07,58.53,6.67,4.01,13888396,0.87,-1.92,-6.98,71.19,73.47,55.6,49.2,4.78,7.9,4.02,53.55,-14.72
2000-04-07,59.99,60.91,4.06,2.49,10573002,0.66,4.06,-7.49,77.19,89.52,61.92,53.0,4.75,7.33,7.5,59.05,-11.25
2000-04-10,61.27,57.2,-6.09,0.6,10673540,0.67,3.72,-13.49,55.72,81.99,52.07,47.1,4.91,7.88,0.32,48.73,-16.65
