date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,16.59,16.86,,,70082,,,,,,0.0,,,2.61,,,
2005-02-28,16.84,16.88,0.12,-0.12,127670,,,,,,0.12,,,2.62,,,
2005-03-01,16.91,17.29,2.43,0.18,180393,,,,,,2.55,,,2.66,,,
2005-03-02,17.36,17.3,0.06,0.4,116312,,,,,,2.61,,,2.76,,,
2005-03-03,17.35,17.94,3.7,0.29,268534,,,,,,6.41,,,2.83,,,
2005-03-04,18.01,18.39,2.51,0.39,230544,,9.07,,,,9.07,,,2.93,,,
2005-03-07,18.49,17.84,-2.99,0.54,134570,,5.69,,,,5.81,72.9,,3.09,,,
2005-03-08,17.7,17.38,-2.58,-0.78,217022,,0.52,,,,3.08,58.5,,3.16,,,
2005-03-09,17.29,17.4,0.12,-0.52,109082,,0.58,,,,3.2,58.9,,3.07,,,
2005-03-10,17.64,17.42,0.11,1.38,124584,,-2.9,,,,3.32,59.3,,3.03,,,
2005-03-11,17.29,17.06,-2.07,-0.75,131094,,-7.23,,,,1.19,49.9,,3.24,,,
2005-03-14,16.71,17.24,1.06,-2.05,106893,,-3.36,,,,2.25,53.8,,3.28,,,
2005-03-15,17.29,16.56,-3.94,0.29,85878,,-4.72,,,,-1.78,40.8,,3.51,,,
2005-03-16,16.8,16.64,0.48,1.45,93133,,-4.37,,,,-1.3,42.6,,3.42,,,
2005-03-17,16.65,17.07,2.58,0.06,130194,,-2.01,,,,1.25,51.0,,3.35,,,
2005-03-18,17.28,16.92,-0.88,1.23,131357,,-0.82,,,,0.36,48.3,,3.42,,,
2005-03-21,16.99,16.86,-0.35,0.41,89368,,-2.2,,,,0.0,47.3,,3.39,,,
2005-03-22,16.89,16.65,-1.25,0.18,72905,,0.54,,,,-1.25,43.6,,3.46,,,
2005-03-23,16.8,17.22,3.42,0.9,118461,,3.49,,,,2.14,54.0,,3.43,,,
2005-03-24,17.39,16.75,-2.73,0.99,51926,0.4,-1.87,,,,-0.65,46.4,,3.58,,,-8.92
2005-03-28,16.75,17.54,4.72,0.0,140931,1.06,3.66,,,,4.03,57.2,,3.56,,,-4.62
2005-03-29,17.72,16.91,-3.59,1.03,126290,0.95,0.3,0.3,,,0.3,48.8,2.51,3.9,,,-8.05
2005-03-30,16.99,17.52,3.61,0.47,129302,0.99,5.23,3.79,,,3.91,55.6,2.63,4.01,,,-4.73
2005-03-31,17.35,17.12,-2.28,-0.97,115031,0.88,-0.58,-0.98,,,1.54,50.8,2.63,4.07,,,-6.91
2005-04-01,17.21,17.12,0.0,0.53,77574,0.64,2.21,-1.04,,,1.54,50.8,2.63,3.96,,,-6.91
2005-04-04,17.1,17.46,1.99,-0.12,122612,1.06,-0.46,-2.68,,,3.56,54.7,2.53,3.83,,,-5.06
2005-04-05,17.37,17.66,1.15,-0.52,115893,1.01,4.44,-3.97,,,4.74,56.8,2.48,3.7,,,-3.97
2005-04-06,17.85,17.56,-0.57,1.08,69527,0.65,0.23,-1.57,,,4.15,55.4,2.4,3.61,,,-4.51
2005-04-07,16.98,17.88,1.82,-3.3,181101,1.64,4.44,2.88,,,6.05,58.9,2.36,3.77,,,-2.77
2005-04-08,17.84,17.35,-2.96,-0.22,107393,0.98,1.34,-0.29,,,2.91,51.7,2.45,3.85,,,-5.66
2005-04-11,17.5,17.43,0.46,0.86,95825,0.89,-0.17,0.06,,,3.38,52.6,2.46,3.76,,,-5.22
2005-04-12,17.3,17.52,0.52,-0.75,105601,0.98,-0.79,2.7,,,3.91,53.7,2.41,3.69,,,-4.73
2005-04-13,17.37,16.5,-5.82,-0.86,163039,1.46,-6.04,-4.29,,,-2.14,41.8,2.73,4.13,,,-10.28
2005-04-14,16.55,15.33,-7.09,0.3,214531,1.82,-14.26,-7.43,,,-9.07,32.9,3.02,4.78,,,-16.64
2005-04-15,15.27,15.0,-2.15,-0.39,253498,2.04,-13.54,-9.86,,,-11.03,30.9,3.04,5.22,,,-18.43
2005-04-18,14.85,15.42,2.8,-1.0,155683,1.24,-11.53,-9.67,,,-8.54,36.2,3.05,5.17,,,-16.15
2005-04-19,15.57,15.84,2.72,0.97,81308,0.65,-9.59,-6.38,,,-6.05,41.1,3.12,4.91,,,-13.87
2005-04-20,15.73,15.11,-4.61,-0.69,76564,0.61,-8.42,-10.38,,,-10.38,35.9,3.26,5.14,,,-17.84
2005-04-21,15.25,16.13,6.75,0.93,65774,0.54,5.22,-3.12,,,-4.33,46.1,3.62,4.95,,,-12.29
2005-04-22,16.7,16.28,0.93,3.53,207898,1.6,8.53,-5.46,,,-3.44,47.5,3.53,5.2,,,-11.47
2005-04-25,16.3,17.02,4.55,0.12,113694,0.88,10.38,1.61,,,0.95,53.5,3.63,4.93,,,-7.45
2005-04-26,16.76,16.11,-5.35,-1.53,104621,0.82,1.7,-8.15,,,-4.45,46.4,3.66,5.33,,,-12.4
2005-04-27,16.0,16.28,1.06,-0.68,70089,0.56,7.74,-3.73,,,-3.44,47.8,3.59,5.1,,,-11.47
