date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-11-10,85.66,86.25,,,159405,,,,,,0.0,,,4.52,,,
2010-11-11,87.22,86.98,0.85,1.13,146075,,,,,,0.85,,,4.35,,,
2010-11-12,85.1,83.27,-4.27,-2.16,70453,,,,,,-3.46,72.0,,4.71,,,
2010-11-15,86.21,81.94,-1.59,3.53,34178,,,,,,-4.99,65.0,,4.85,,,
2010-11-16,80.33,75.88,-7.4,-1.96,162410,,,,,,-12.02,43.9,,5.54,,,
2010-11-17,76.29,77.85,2.6,0.54,60776,,-9.73,,,,-9.73,49.7,,5.25,,,
2010-11-18,80.97,81.15,4.24,4.01,56522,,-6.7,,,,-5.91,57.5,,5.02,,,
2010-11-19,81.11,81.38,0.28,-0.06,31526,,-2.26,,,,-5.64,58.0,,4.87,,,
2010-11-22,82.16,81.57,0.23,0.96,30251,,-0.46,,,,-5.43,58.4,,4.67,,,
2010-11-23,80.61,81.07,-0.61,-1.18,42469,,6.84,,,,-6.01,56.7,,4.57,,,
2010-11-24,82.58,85.24,5.15,1.86,125059,,9.49,,,,-1.17,65.4,,4.42,,,
2010-11-26,87.35,88.5,3.82,2.47,110288,,9.05,,,,2.61,70.4,,4.25,,,
2010-11-29,89.51,88.95,0.51,1.14,99883,,9.3,,,,3.14,71.0,,4.14,,,
2010-11-30,88.78,88.55,-0.46,-0.2,104533,,8.56,,,,2.66,69.6,,4.0,,,
2010-12-01,90.44,91.58,3.42,2.14,88468,,12.96,,,,6.18,73.8,,3.87,,,
2010-12-02,92.19,91.99,0.45,0.67,129168,,7.91,,,,6.65,74.3,,3.69,,,
2010-12-03,92.81,91.84,-0.16,0.89,48213,,3.77,,,,6.48,73.8,,3.56,,,
2010-12-06,92.14,92.5,0.72,0.32,83444,,3.99,,,,7.25,74.7,,3.38,,,
2010-12-07,95.21,92.66,0.17,2.92,138905,,4.64,,,,7.43,74.9,,3.37,,,
2010-12-08,92.81,89.97,-2.9,0.16,101170,1.11,-1.75,,,,4.32,64.3,,3.47,,,-2.9
2010-12-09,90.19,90.89,1.02,0.24,57735,0.67,-1.19,,,,5.38,66.1,,3.33,,,-1.91
2010-12-10,91.17,90.93,0.04,0.3,27524,0.34,-0.99,5.42,,,5.42,66.1,2.86,3.19,,,-1.87
2010-12-13,92.45,91.12,0.21,1.67,44524,0.56,-1.5,4.76,,,5.65,66.5,2.85,3.08,,,-1.66
2010-12-14,91.99,89.6,-1.67,0.95,45291,0.57,-3.3,7.6,,,3.88,60.4,2.7,3.15,,,-3.3
2010-12-15,89.92,88.26,-1.49,0.36,35976,0.49,-1.9,7.71,,,2.34,55.6,2.7,3.14,,,-4.74
2010-12-16,89.05,89.51,1.41,0.89,31555,0.44,-1.52,17.97,,,3.78,58.9,2.03,3.02,,,-3.4
2010-12-17,89.51,89.92,0.46,0.0,36237,0.51,-1.11,15.5,,,4.26,60.0,1.98,2.94,,,-2.96
2010-12-20,90.65,91.02,1.22,0.81,36597,0.52,-0.11,12.15,,,5.53,62.7,1.82,2.8,,,-1.77
2010-12-21,91.26,91.36,0.38,0.26,58979,0.82,1.97,12.27,,,5.93,63.6,1.82,2.64,,,-1.4
2010-12-22,91.79,91.26,-0.12,0.47,29786,0.42,3.39,11.88,,,5.81,63.1,1.82,2.52,,,-1.52
2010-12-23,91.77,91.26,0.0,0.56,23059,0.35,1.95,12.57,,,5.81,63.1,1.81,2.42,,,-1.52
2010-12-27,90.89,90.97,-0.31,-0.4,12610,0.2,1.17,6.72,,,5.48,61.7,1.48,2.32,,,-1.82
2010-12-28,91.26,92.23,1.38,0.31,40546,0.69,1.33,4.21,,,6.93,65.4,1.27,2.25,,,-0.47
2010-12-29,91.07,92.32,0.1,-1.25,71574,1.25,1.05,3.78,,,7.04,65.7,1.27,2.27,,,-0.37
2010-12-30,93.0,92.81,0.53,0.74,57670,1.04,1.7,4.81,,,7.6,67.1,1.26,2.22,,,0.0
2010-12-31,93.0,93.97,1.25,0.21,27696,0.55,2.97,2.61,,,8.95,70.3,1.06,2.15,,,0.0
2011-01-03,95.63,95.76,1.91,1.77,83395,1.6,5.27,4.1,,,0.0,74.4,1.13,2.13,,,0.0
2011-01-04,95.67,93.23,-2.64,-0.1,81409,1.56,1.09,1.52,,,-2.64,61.5,1.29,2.39,,,-2.64
2011-01-05,91.72,91.62,-1.73,-1.62,33926,0.72,-0.76,-0.96,,,-4.33,54.9,1.34,2.45,,,-4.33
2011-01-06,91.67,89.42,-2.4,0.05,34069,0.78,-3.65,-3.49,,,-6.62,47.5,1.43,2.52,,,-6.62
2011-01-07,89.42,88.78,-0.72,0.0,27759,0.66,-5.52,-1.33,,,-7.3,45.5,1.3,2.52,,,-7.3
2011-01-10,87.81,89.29,0.58,-1.09,24898,0.59,-6.76,-1.76,,,-6.76,47.4,1.28,2.53,,,-6.76
2011-01-11,89.56,90.29,1.12,0.3,110363,2.44,-3.15,-0.7,,,-5.71,50.9,1.31,2.46,,,-5.71
2011-01-12,94.15,94.33,4.47,4.28,94277,1.98,2.96,3.53,,,-1.49,61.9,1.64,2.49,,,-1.49
2011-01-13,95.02,94.83,0.53,0.73,49705,1.03,6.05,5.84,,,-0.97,63.0,1.58,2.46,,,-0.97
2011-01-14,93.42,94.87,0.04,-1.49,25372,0.53,6.86,7.48,,,-0.93,63.1,1.53,2.4,,,-0.93
2011-01-18,95.21,97.78,3.07,0.36,85569,1.7,9.51,9.24,,,2.1,69.1,1.63,2.39,,,0.0
2011-01-19,99.47,95.98,-1.84,1.73,75384,1.44,6.3,6.74,,,0.23,62.3,1.7,2.62,,,-1.84
2011-01-20,94.58,93.6,-2.48,-1.46,100544,1.85,-0.78,2.83,,,-2.26,54.7,1.79,2.78,,,-4.27
2011-01-21,94.11,93.33,-0.29,0.54,65252,1.16,-1.59,2.15,,,-2.55,53.9,1.79,2.72,4.17,,-4.55
2011-01-24,93.08,94.01,0.74,-0.26,46102,0.8,-0.9,3.02,,,-1.83,55.7,1.8,2.64,4.75,,-3.85
2011-01-25,93.38,92.55,-1.56,-0.67,63952,1.07,-5.35,1.42,,,-3.36,51.1,1.84,2.66,2.99,,-5.35
2011-01-26,93.0,94.97,2.62,0.49,78775,1.27,-1.05,4.4,,,-0.83,57.3,1.92,2.59,5.42,,-2.87
2011-01-27,96.12,93.46,-1.6,1.21,29940,0.5,-0.15,1.33,,,-2.41,52.8,1.94,2.7,3.47,,-4.42
2011-01-28,93.0,91.77,-1.81,-0.49,27620,0.47,-1.67,-0.6,,,-4.17,48.2,1.98,2.69,1.24,,-6.15
2011-01-31,92.32,95.81,4.41,0.6,90874,1.48,1.91,3.24,,,0.05,57.7,2.2,2.69,5.28,,-2.01
2011-02-01,97.73,100.66,5.06,2.0,124104,1.95,8.77,7.13,,,5.11,65.8,2.44,2.75,10.14,,0.0
2011-02-02,101.0,102.28,1.61,0.34,173920,2.55,7.7,6.81,,,6.81,68.0,2.43,2.67,11.41,,0.0
2011-02-03,102.04,101.08,-1.18,-0.23,136873,1.87,8.16,8.42,,,5.55,64.6,2.36,2.69,9.63,,-1.18
2011-02-04,101.53,100.81,-0.27,0.44,59140,0.79,9.86,10.03,,,5.27,63.9,2.31,2.71,8.87,,-1.44
2011-02-07,100.38,99.9,-0.91,-0.42,84924,1.1,4.26,11.71,,,4.31,61.3,2.24,2.65,7.54,,-2.33
2011-02-08,100.2,100.06,0.17,0.31,44936,0.57,-0.59,12.71,,,4.49,61.6,2.23,2.55,7.46,,-2.17
2011-02-09,101.13,99.47,-0.6,1.06,43357,0.58,-2.75,11.4,,,3.87,59.8,2.24,2.55,6.58,,-2.75
2011-02-10,98.78,98.83,-0.64,-0.69,42721,0.59,-2.22,9.46,14.59,,3.2,57.8,2.25,2.55,5.66,,-3.38
2011-02-11,98.83,98.92,0.09,0.0,32589,0.46,-1.88,4.86,13.72,,3.29,58.0,2.05,2.47,5.59,,-3.29
2011-02-14,99.85,101.59,2.7,0.94,95953,1.28,1.69,7.12,22.0,,6.08,63.8,2.12,2.45,8.22,,-0.68
2011-02-15,102.33,99.9,-1.66,0.74,131895,1.7,-0.17,5.3,21.91,,4.31,58.3,2.17,2.55,6.23,,-2.33
2011-02-16,100.06,99.07,-0.83,0.17,56819,0.74,-0.4,1.32,30.56,,3.45,55.8,2.08,2.53,5.21,,-3.14
2011-02-18,99.17,97.5,-1.58,0.1,53807,0.73,-1.34,1.59,25.24,,1.82,51.2,2.07,2.54,3.44,,-4.67
2011-02-22,96.26,92.14,-5.5,-1.27,188771,2.35,-6.85,-1.56,13.53,,-3.79,39.4,2.34,2.94,-2.3,,-9.92
2011-02-23,92.14,92.04,-0.1,0.0,53363,0.66,-9.39,-1.38,13.1,,-3.89,39.3,2.34,2.84,-2.42,,-10.01
2011-02-24,92.04,92.32,0.3,0.0,46160,0.58,-7.58,-1.8,13.18,,-3.6,40.1,2.34,2.78,-2.16,,-9.74
