date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,22.73,22.84,,,274234,,,,,,0.0,,,2.41,,,
2005-02-28,22.9,22.71,-0.57,0.26,455134,,,,,,-0.57,0.0,,2.42,,,
2005-03-01,22.68,22.39,-1.41,-0.13,611936,,,,,,-1.97,0.0,,2.45,,,
2005-03-02,22.4,22.46,0.31,0.04,496306,,,,,,-1.66,3.6,,2.41,,,
2005-03-03,22.43,21.98,-2.14,-0.13,625588,,,,,,-3.77,2.9,,2.5,,,
2005-03-04,21.98,21.75,-1.05,0.0,1100204,,-4.77,,,,-4.77,2.6,,2.56,,,
2005-03-07,21.7,21.95,0.92,-0.23,594948,,-3.35,,,,-3.9,10.8,,2.47,,,
2005-03-08,21.93,22.16,0.96,-0.09,803206,,-1.03,,,,-2.98,18.5,,2.37,,,
2005-03-09,22.01,22.09,-0.32,-0.68,998528,,-1.65,,,,-3.28,18.0,,2.34,,,
2005-03-10,22.09,21.64,-2.04,0.0,715682,,-1.55,,,,-5.25,14.8,,2.45,,,
2005-03-11,21.55,21.22,-1.94,-0.42,785216,,-2.44,,,,-7.09,12.6,,2.49,,,
2005-03-14,21.32,21.7,2.26,0.47,673446,,-1.14,,,,-4.99,26.1,,2.47,,,
2005-03-15,21.78,21.6,-0.46,0.37,1244254,,-2.53,,,,-5.43,25.2,,2.51,,,
2005-03-16,21.52,21.54,-0.28,-0.37,515834,,-2.49,,,,-5.69,24.7,,2.48,,,
2005-03-17,21.43,21.57,0.14,-0.51,518276,,-0.32,,,,-5.56,25.6,,2.41,,,
2005-03-18,21.64,21.43,-0.65,0.32,1175386,,0.99,,,,-6.17,24.2,,2.45,,,
2005-03-21,21.5,21.58,0.7,0.33,429812,,-0.55,,,,-5.52,28.6,,2.32,,,
2005-03-22,21.59,21.55,-0.14,0.05,708226,,-0.23,,,,-5.65,28.3,,2.38,,,
2005-03-23,21.3,21.98,2.0,-1.16,637602,,2.04,,,,-3.77,39.8,,2.43,,,
2005-03-24,21.87,22.02,0.18,-0.5,832076,1.17,2.09,,,,-3.59,40.7,,2.45,,,-3.59
2005-03-28,22.07,22.2,0.82,0.23,775040,1.05,3.59,,,,-2.8,44.9,,2.33,,,-2.8
2005-03-29,22.14,22.29,0.41,-0.27,1360442,1.74,3.29,-2.41,,,-2.41,47.0,1.2,2.38,,,-2.41
2005-03-30,22.34,22.43,0.63,0.22,660172,0.84,4.08,-1.23,,,-1.8,50.1,1.21,2.34,,,-1.8
2005-03-31,22.41,22.85,1.87,-0.09,1072306,1.32,3.96,2.05,,,0.04,58.0,1.23,2.37,,,0.0
2005-04-01,22.85,22.57,-1.23,0.0,1054954,1.27,2.5,0.49,,,-1.18,52.1,1.27,2.49,,,-1.23
2005-04-04,22.59,22.11,-2.04,0.09,526228,0.65,-0.41,0.59,,,-3.2,44.1,1.26,2.58,,,-3.24
2005-04-05,22.09,22.51,1.81,-0.09,447672,0.56,0.99,3.49,,,-1.44,51.1,1.29,2.55,,,-1.49
2005-04-06,22.59,22.57,0.27,0.36,487988,0.62,0.62,2.82,,,-1.18,52.1,1.28,2.48,,,-1.23
2005-04-07,22.57,23.15,2.57,0.0,1301630,1.63,1.31,4.47,,,1.36,60.3,1.37,2.66,,,0.0
2005-04-08,23.27,22.75,-1.73,0.52,556504,0.71,0.8,2.99,,,-0.39,53.5,1.43,2.74,,,-1.73
2005-04-11,22.68,22.87,0.53,-0.31,309620,0.41,3.44,5.68,,,0.13,55.1,1.35,2.67,,,-1.21
2005-04-12,22.68,23.75,3.85,-0.83,1161020,1.47,5.51,11.92,,,3.98,64.9,1.46,2.78,,,0.0
2005-04-13,23.92,23.67,-0.34,0.72,934508,1.21,4.87,9.08,,,3.63,63.5,1.41,2.77,,,-0.34
2005-04-14,23.77,23.43,-1.01,0.42,660730,0.85,1.21,8.47,,,2.58,59.5,1.44,2.72,,,-1.35
2005-04-15,23.25,23.13,-1.28,-0.77,1142628,1.41,1.67,7.38,,,1.27,54.9,1.48,2.87,,,-2.61
2005-04-18,23.02,23.51,1.64,-0.48,971380,1.21,2.8,8.99,,,2.93,59.2,1.5,2.83,,,-1.01
2005-04-19,23.51,24.3,3.36,0.0,2410018,2.68,2.32,13.39,,,6.39,66.5,1.61,2.83,,,0.0
