date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-04-29,8.5,8.96,,,435200,,,,,,0.0,,,14.17,,,
2015-04-30,9.32,8.8,-1.79,4.02,110500,,,,,,-1.79,0.0,,14.09,,,
2015-05-01,8.98,9.1,3.41,2.05,66400,,,,,,1.56,12.6,,13.01,,,
2015-05-04,9.05,9.49,4.29,-0.55,55300,,,,,,5.92,25.7,,12.18,,,
2015-05-05,9.48,9.5,0.11,-0.11,137100,,,,,,6.03,26.0,,12.06,,,
2015-05-06,9.83,9.7,2.11,3.47,106281,,8.26,,,,8.26,32.1,,11.48,,,
2015-05-07,9.41,9.15,-5.67,-2.99,38574,,3.98,,,,2.12,25.8,,11.96,,,
2015-05-08,9.41,9.39,2.62,2.84,89000,,3.19,,,,4.8,32.0,,11.66,,,
2015-05-11,9.21,9.39,0.0,-1.92,7600,,-1.05,,,,4.8,32.0,,11.13,,,
2015-05-12,9.2,9.0,-4.15,-2.02,22500,,-5.26,,,,0.45,27.7,,11.33,,,
2015-05-13,8.73,8.97,-0.33,-3.0,40800,,-7.53,,,,0.11,27.4,,10.88,,,
2015-05-14,8.75,9.37,4.46,-2.45,48700,,2.4,,,,4.58,37.4,,10.23,,,
2015-05-15,9.83,9.42,0.53,4.91,91243,,0.32,,,,5.13,38.5,,10.07,,,
2015-05-18,9.31,9.08,-3.61,-1.17,31580,,-3.3,,,,1.34,34.0,,10.15,,,
2015-05-19,8.82,8.96,-1.32,-2.86,41700,,-0.44,,,,0.0,32.5,,9.86,,,
2015-05-20,8.7,9.01,0.56,-2.9,99900,,0.45,,,,0.56,33.8,,9.71,,,
2015-05-21,8.68,9.13,1.33,-3.66,34000,,-2.56,,,,1.9,36.9,,9.29,,,
2015-05-22,9.09,9.06,-0.77,-0.44,42300,,-3.82,,,,1.12,35.8,,9.03,,,
2015-05-26,8.78,8.48,-6.4,-3.09,49112,,-6.61,,,,-5.36,28.6,,9.52,,,
2015-05-27,8.39,8.37,-1.3,-1.06,54900,0.69,-6.58,,,,-6.58,27.5,,9.43,,,-13.71
2015-05-28,8.47,8.22,-1.79,1.19,109641,1.72,-8.77,,,,-8.26,25.9,,9.34,,,-15.26
2015-05-29,8.36,8.23,0.12,1.7,155300,2.35,-9.86,-8.15,,,-8.15,26.2,2.96,9.12,,,-15.15
2015-06-01,8.3,7.58,-7.9,0.85,115800,1.69,-16.34,-13.86,,,-15.4,20.6,3.37,9.97,,,-21.86
2015-06-02,7.7,7.83,3.3,1.58,15005,0.23,-7.67,-13.96,,,-12.61,27.1,3.37,9.48,,,-19.28
2015-06-03,7.85,7.87,0.51,0.26,6400,0.11,-5.97,-17.07,,,-12.17,28.1,3.19,8.99,,,-18.87
2015-06-04,7.84,7.94,0.89,-0.38,23800,0.43,-3.41,-16.42,,,-11.38,30.0,3.2,8.41,,,-18.14
2015-06-05,7.97,7.89,-0.63,0.38,55700,0.98,-4.13,-18.66,,,-11.94,29.4,3.13,8.08,,,-18.66
2015-06-08,7.95,8.02,1.65,0.76,39300,0.72,5.8,-12.35,,,-10.49,33.0,2.98,7.79,,,-17.32
2015-06-09,7.95,7.81,-2.62,-0.87,14080,0.26,-0.26,-16.83,,,-12.83,30.3,2.92,7.69,,,-19.48
2015-06-10,7.91,7.8,-0.13,1.28,3040,0.06,-0.89,-16.93,,,-12.95,30.2,2.92,7.3,,,-19.59
2015-06-11,7.89,7.86,0.77,1.15,8981,0.17,-1.01,-12.67,,,-12.28,32.0,2.84,6.9,,,-18.97
2015-06-12,7.85,7.67,-2.42,-0.13,30100,0.59,-2.79,-14.49,,,-14.4,29.4,2.86,7.27,,,-20.93
2015-06-15,7.6,7.68,0.13,-0.91,153700,2.83,-4.24,-18.04,,,-14.29,29.7,2.62,7.44,,,-20.82
2015-06-16,7.65,7.28,-5.21,-0.39,49500,0.9,-6.79,-22.72,,,-18.75,24.7,2.76,8.1,,,-24.95
2015-06-17,7.31,7.36,1.1,0.41,25400,0.47,-5.64,-18.94,,,-17.86,27.4,2.74,8.37,,,-24.12
