date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2014-06-19,1975.4,1901.15,,,246,,,,,,0.0,,,7.81,,,
2014-06-20,1892.16,1880.91,-1.06,-0.47,253,,,,,,-1.06,0.0,,8.1,,,
2014-06-23,1745.91,1763.91,-6.22,-7.18,29,,,,,,-7.22,0.0,,8.57,,,
2014-06-24,1766.16,1777.41,0.77,0.13,20,,,,,,-6.51,3.7,,8.19,,,
2014-06-25,1754.91,1676.17,-5.7,-1.27,28,,,,,,-11.83,2.8,,8.5,,,
2014-06-26,1658.17,1642.42,-2.01,-1.07,48,,-13.61,,,,-13.61,2.6,,8.41,,,
2014-06-27,1622.17,1613.32,-1.77,-1.23,21,,-14.23,,,,-15.14,2.5,,8.34,,,
2014-06-30,1622.17,1586.17,-1.68,0.55,56,,-10.08,,,,-16.57,2.3,,8.44,,,
2014-07-01,1581.67,1488.98,-6.13,-0.28,33,,-16.23,,,,-21.68,1.9,,9.23,,,
2014-07-02,1496.18,1577.17,5.92,0.48,52,,-5.91,,,,-17.04,17.4,,8.84,,,
2014-07-03,1665.97,1662.67,5.42,5.63,7,,1.23,,,,-12.54,29.2,,8.17,,,
2014-07-07,1642.42,1561.42,-6.09,-1.22,14,,-3.22,,,,-17.87,24.7,,8.54,,,
2014-07-08,1592.92,1417.4,-9.22,2.02,115,,-10.64,,,,-25.45,20.0,,9.96,,,
2014-07-09,1401.68,1358.93,-4.13,-1.11,22,,-8.73,,,,-28.52,18.5,,9.98,,,
2014-07-10,1394.93,1327.54,-2.31,2.65,28,,-15.83,,,,-30.17,17.7,,10.16,,,
2014-07-11,1505.17,1331.93,0.33,13.38,55,,-19.89,,,,-29.94,18.2,,10.54,,,
2014-07-14,1331.93,1196.94,-10.13,0.0,127,,-23.34,,,,-37.04,15.0,,12.0,,,
2014-07-15,1187.94,1286.94,7.52,-0.75,99,,-9.2,,,,-32.31,24.5,,11.22,,,
2014-07-16,1291.44,1257.69,-2.27,0.35,57,,-7.45,,,,-33.85,23.6,,11.43,,,
2014-07-17,1248.7,1259.94,0.18,-0.71,29,0.43,-5.09,,,,-33.73,23.8,,10.69,,,-33.73
2014-07-18,1259.94,1259.94,0.0,0.0,4,0.07,-5.4,,,,-33.73,23.8,,9.93,,,-33.73
2014-07-21,1266.69,1259.94,0.0,0.54,27,0.62,5.26,-33.73,,,-33.73,23.8,4.6,9.29,,,-33.73
2014-07-22,1264.84,1259.98,0.0,0.39,24,0.55,-2.09,-33.01,,,-33.73,23.8,4.61,8.75,,,-33.73
2014-07-23,1259.94,1446.68,14.82,-0.0,678,8.9,15.03,-17.98,,,-23.91,43.4,5.75,8.46,,,-23.91
2014-07-24,1484.93,1433.18,-0.93,2.64,3181,13.6,13.75,-19.37,,,-24.62,42.5,5.74,11.05,,,-24.62
2014-07-25,1363.43,1354.43,-5.49,-4.87,142,0.6,7.5,-19.19,,,-28.76,37.8,5.73,11.48,,,-28.76
2014-07-28,1435.43,1379.18,1.83,5.98,45,0.19,9.46,-16.03,,,-27.46,40.1,5.75,11.36,,,-27.46
2014-07-29,1300.58,1416.98,2.74,-5.7,48,0.2,12.46,-12.17,,,-25.47,43.4,5.79,11.02,,,-25.47
2014-07-30,1352.18,1347.61,-4.9,-4.57,16,0.07,-6.85,-15.04,,,-29.12,39.1,5.87,11.12,,,-29.12
2014-07-31,1266.69,1331.93,-1.16,-6.0,18,0.08,-7.06,-10.55,,,-29.94,38.2,5.73,11.27,,,-29.94
2014-08-01,1264.44,1239.69,-6.93,-5.07,13,0.05,-8.47,-21.4,,,-34.79,33.2,5.71,11.79,,,-34.79
2014-08-04,1250.94,1145.19,-7.62,0.91,61,0.25,-16.97,-31.12,,,-39.76,29.1,5.69,12.67,,,-39.76
2014-08-05,1133.94,1070.95,-6.48,-0.98,27,0.11,-24.42,-31.41,,,-43.67,26.3,5.71,13.17,,,-43.67
2014-08-06,1030.45,1041.7,-2.73,-3.78,59,0.25,-22.7,-26.51,,,-45.21,25.3,5.44,13.17,,,-45.21
2014-08-07,1043.95,978.7,-6.05,0.22,29,0.12,-26.52,-27.98,,,-48.52,23.2,5.51,13.69,,,-48.52
2014-08-08,996.72,1012.45,3.45,1.84,10,0.04,-18.33,-23.73,,,-46.75,26.7,5.61,12.66,,,-46.75
2014-08-11,1012.45,947.2,-6.44,0.0,11,0.05,-17.29,-28.89,,,-50.18,24.4,5.71,13.05,,,-50.18
2014-08-12,1010.2,1068.7,12.83,6.65,68,0.3,-0.21,-10.71,,,-43.79,35.6,6.15,11.67,,,-43.79
2014-08-13,1122.69,1068.7,0.0,5.05,27,0.12,2.59,-16.96,,,-43.79,35.6,5.88,11.41,,,-43.79
2014-08-14,1118.19,1102.44,3.16,4.63,12,0.05,12.64,-12.34,,,-42.01,38.5,5.93,10.64,,,-42.01
2014-08-15,1131.69,1169.94,6.12,2.65,44,0.19,15.56,-7.14,,,-38.46,44.0,6.1,9.94,,,-38.46
2014-08-18,1203.69,1251.94,7.01,2.88,38,0.17,32.17,-0.63,,,-34.15,49.9,6.3,9.2,,,-34.15
2014-08-19,1248.69,1084.9,-13.34,-0.26,44,0.19,1.52,-13.89,,,-42.93,40.6,6.95,11.21,,,-42.93
2014-08-20,1091.2,1187.91,9.49,0.58,6,0.03,11.15,-5.72,,,-37.52,47.1,7.29,10.18,,,-37.52
2014-08-21,1180.67,1183.44,-0.38,-0.61,7,0.19,7.35,-18.2,,,-37.75,46.9,6.44,9.83,,,-37.75
2014-08-22,1142.94,1106.36,-6.51,-3.42,30,0.98,-5.43,-22.8,,,-41.81,42.8,6.56,10.54,,,-41.81
2014-08-25,1070.95,1064.2,-3.81,-3.2,26,0.88,-15.0,-21.43,,,-44.02,40.7,6.52,10.61,,,-44.02
2014-08-26,1084.45,1014.7,-4.65,1.9,100,3.1,-6.47,-26.43,,,-46.63,38.4,6.53,11.44,,,-46.63
2014-08-27,1075.45,1064.2,4.88,5.99,22,0.67,-10.41,-24.9,,,-44.02,42.0,6.61,10.87,,,-44.02
2014-08-28,1016.95,1005.7,-5.5,-4.44,19,0.58,-15.02,-25.37,,,-47.1,39.1,6.63,11.3,-23.66,,-47.1
2014-08-29,1001.2,1021.45,1.57,-0.45,4,0.12,-7.67,-23.31,,,-46.27,40.3,6.66,10.95,-21.41,,-46.27
2014-09-02,1019.2,1064.2,4.19,-0.22,11,0.37,0.0,-14.16,,,-44.02,43.5,6.61,10.2,-17.08,,-44.02
2014-09-03,1057.45,1048.45,-1.48,-0.63,12,0.41,3.33,-8.45,,,-44.85,42.6,6.41,10.16,-17.39,,-44.85
2014-09-04,1012.45,1030.45,-1.72,-3.43,49,1.72,-3.17,-3.78,,,-45.8,41.5,6.26,10.27,-17.84,,-45.8
2014-09-05,1010.2,989.95,-3.93,-1.97,22,0.78,-1.57,-4.97,,,-47.93,39.1,6.29,10.5,-20.19,,-47.93
2014-09-08,996.7,1057.45,6.82,0.68,78,2.48,3.52,8.05,,,-44.38,44.9,6.31,10.2,-13.94,,-44.38
2014-09-09,1214.94,1214.94,14.89,14.89,495,8.89,14.16,20.0,,,-36.09,55.4,7.02,10.18,-0.48,,-36.09
2014-09-10,1259.94,1174.44,-3.33,3.7,66,1.19,12.02,23.99,,,-38.22,52.6,6.89,10.52,-3.14,,-38.22
2014-09-11,1127.19,1086.7,-7.47,-4.02,68,1.18,5.46,1.68,,,-42.84,47.1,6.6,11.27,-9.78,,-42.84
2014-09-12,1073.2,1122.69,3.31,-1.24,45,0.76,13.41,5.05,,,-40.95,49.5,6.63,10.57,-6.08,,-40.95
2014-09-15,1129.44,1104.69,-1.6,0.6,70,1.16,4.47,0.2,,,-41.89,48.3,6.62,10.88,-6.72,,-41.89
2014-09-16,1059.7,1088.95,-1.42,-4.07,29,0.48,-10.37,-6.92,,,-42.72,47.3,6.48,10.81,-7.31,,-42.72
2014-09-17,1070.95,1111.44,2.07,-1.65,8,0.14,-5.36,-11.22,,,-41.54,48.9,6.3,10.24,-4.9,,-41.54
2014-09-18,1086.13,1055.2,-5.06,-2.28,24,0.41,-2.9,-2.74,-44.5,,-44.5,45.1,5.67,10.56,-9.24,,-44.5
2014-09-19,1037.2,1012.45,-4.05,-1.71,43,0.7,-9.82,-14.77,-46.17,,-46.75,42.3,5.3,10.89,-12.44,,-46.75
2014-09-22,1043.95,1066.45,5.33,3.11,15,0.25,-3.46,-9.89,-39.54,,-43.91,46.7,5.46,10.37,-7.35,,-43.91
2014-09-23,1066.45,1034.95,-2.95,0.0,33,0.54,-4.96,-6.45,-41.77,,-45.56,44.6,5.31,10.31,-9.83,,-45.56
2014-09-24,1012.45,1061.95,2.61,-2.17,51,0.88,-4.45,-0.21,-36.64,,-44.14,46.8,5.28,9.66,-7.11,,-44.14
2014-09-25,1012.45,1073.2,1.06,-4.66,12,0.21,1.71,5.77,-34.66,,-43.55,47.8,5.17,9.28,-5.82,,-43.55
2014-09-26,1025.95,1030.45,-3.98,-4.4,19,0.33,1.78,-3.17,-36.13,,-45.8,44.5,5.14,9.38,-9.21,,-45.8
2014-09-29,1012.45,1035.05,0.45,-1.75,8,0.14,-2.94,2.92,-34.75,,-45.56,45.0,4.99,8.83,-8.44,,-45.56
2014-09-30,1012.45,1012.45,-2.18,-2.18,8,0.14,-2.17,-0.88,-32.0,,-46.75,43.2,5.01,8.54,-10.05,,-46.75
2014-10-01,1012.45,1124.94,11.11,0.0,15,0.26,5.93,5.71,-28.67,,-40.83,53.2,5.49,7.85,0.19,,-40.83
2014-10-02,1048.45,1014.71,-9.8,-6.8,16,0.28,-5.45,-3.22,-38.97,,-46.63,44.8,5.92,8.86,-8.93,,-46.63
2014-10-03,1028.2,1072.72,5.72,1.33,20,0.36,4.1,4.1,-31.3,,-43.58,49.3,6.03,8.26,-3.1,,-43.58
2014-10-06,1075.45,1012.45,-5.62,0.25,63,1.14,-2.18,2.27,-28.57,,-46.75,45.2,6.1,8.57,-7.97,,-46.75
2014-10-07,1012.45,1012.45,0.0,0.0,4,0.13,0.0,-4.26,-25.5,,-46.75,45.2,5.92,8.0,-7.35,,-46.75
2014-10-08,1012.45,1012.46,0.0,0.0,9,0.32,-10.0,-16.67,-23.73,,-46.74,45.2,4.83,7.43,-6.66,,-46.74
2014-10-09,1012.45,1012.45,-0.0,-0.0,14,0.55,-0.22,-13.79,-23.99,,-46.75,45.2,4.8,6.9,-6.08,,-46.75
2014-10-10,931.45,965.2,-4.67,-8.0,7,0.3,-10.02,-11.18,-19.36,,-49.23,41.5,4.63,7.32,-9.85,,-49.23
2014-10-14,908.95,776.18,-19.58,-5.83,49,2.19,-23.34,-30.86,-39.69,,-59.17,30.8,6.15,10.77,-26.87,,-59.17
2014-10-15,731.21,731.21,-5.79,-5.79,20,0.91,-27.78,-33.81,-41.86,,-61.54,28.9,6.21,11.14,-30.57,,-61.54
2014-10-16,737.96,755.96,3.38,0.92,23,1.02,-25.33,-30.58,-40.0,,-60.24,31.4,6.32,10.52,-27.79,,-60.24
2014-10-17,744.71,776.21,2.68,-1.49,56,2.31,-23.33,-30.16,-38.39,,-59.17,33.5,6.33,9.95,-25.47,,-59.17
2014-10-20,778.46,744.71,-4.06,0.29,10,0.44,-22.84,-29.42,-40.89,,-60.83,31.9,6.31,9.95,-28.18,,-60.83
2014-10-23,735.71,713.21,-4.23,-1.21,12,0.53,-8.11,-29.56,-43.4,,-62.49,30.3,6.31,10.41,-30.81,,-62.49
2014-10-24,722.21,761.02,6.7,1.26,11,0.52,4.08,-28.64,-47.4,,-59.97,35.5,6.39,9.51,-25.91,,-59.97
2014-10-27,735.71,744.71,-2.14,-3.33,6,0.31,-1.49,-28.04,-48.04,,-60.83,34.6,6.39,9.27,-27.04,,-60.83
2014-10-28,735.73,753.71,1.21,-1.21,2,0.11,-2.9,-29.03,-44.35,,-60.36,35.6,6.35,8.67,-25.7,,-60.36
2014-10-29,686.22,656.97,-12.84,-8.95,10,0.55,-11.78,-38.78,-52.37,,-65.44,30.1,6.79,10.32,-34.66,,-65.44
2014-10-30,717.71,674.97,2.74,9.25,14,0.76,-5.36,-34.5,-52.37,,-64.5,32.2,6.85,10.01,-32.2,,-64.5
2014-10-31,675.19,719.96,6.67,0.03,3,0.16,-5.4,-30.44,-46.58,,-62.13,37.2,7.08,9.33,-26.9,,-62.13
2014-11-04,652.47,652.47,-9.37,-9.37,36,1.87,-12.39,-35.56,-51.01,,-65.68,33.3,7.29,10.69,-33.17,,-65.68
2014-11-05,655.17,654.72,0.34,0.41,4,0.21,-13.13,-41.8,-47.19,,-65.56,33.5,6.69,9.92,-32.2,,-65.56
2014-11-06,699.72,699.72,6.87,6.87,5,0.28,6.51,-31.04,-38.9,,-63.19,38.6,6.75,9.08,-26.8,,-63.19
2014-11-07,726.71,722.21,3.21,3.86,8,0.53,7.0,-32.67,-32.56,,-62.01,41.0,6.63,8.44,-23.84,,-62.01
2014-11-10,701.96,699.72,-3.11,-2.8,21,1.31,-2.81,-30.89,-32.83,,-63.19,39.3,6.58,8.34,-25.64,,-63.19
2014-11-11,699.72,699.72,0.0,0.0,0,0.0,7.24,-30.89,-28.51,,-63.19,39.3,6.58,7.74,-25.14,,-63.19
2014-11-12,701.96,677.22,-3.22,0.32,9,0.59,3.44,-33.11,-33.11,,-64.38,37.6,6.58,7.71,-26.94,,-64.38
2014-11-13,677.22,697.47,2.99,0.0,11,0.71,-0.32,-31.11,-26.37,,-63.31,40.2,6.65,7.21,-24.25,,-63.31
2014-11-14,726.71,708.71,1.61,4.19,7,0.52,-1.87,-26.57,-33.68,,-62.72,41.6,6.64,6.88,-22.5,,-62.72
2014-11-17,719.96,708.71,0.0,1.59,22,1.63,1.28,-8.69,-33.68,,-62.72,41.6,5.15,6.84,-21.9,,-62.72
2014-11-18,785.21,719.96,1.59,10.79,1,0.08,2.89,-1.54,-34.69,,-62.13,43.3,5.0,7.01,-20.08,,-62.13
