date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-07-31,9.83,9.83,,,8795,,,,,,0.0,,,0.0,,,
2018-08-01,9.98,9.96,1.32,1.52,80535,,,,,,1.32,,,0.11,,,
2018-08-02,9.96,9.97,0.1,0.0,21035,,,,,,1.42,,,0.11,,,
2018-08-06,10.07,9.94,-0.3,1.0,6612,,,,,,1.12,98.1,,0.2,,,
2018-08-07,9.93,9.93,-0.1,-0.1,500,,,,,,1.02,97.5,,0.19,,,
2018-08-09,9.88,9.88,-0.5,-0.5,500,,0.51,,,,0.51,94.1,,0.22,,,
2018-08-10,9.88,9.83,-0.51,0.0,4067,,-1.3,,,,0.0,90.7,,0.57,,,
2018-08-13,9.83,9.79,-0.41,0.0,711968,,-1.8,,,,-0.41,88.0,,0.61,,,
2018-08-14,10.73,9.78,-0.1,9.58,50166,,-1.61,,,,-0.51,87.3,,1.27,,,
2018-08-15,9.83,9.83,0.51,0.51,525582,,-1.01,,,,0.0,87.8,,1.23,,,
2018-08-16,9.83,9.84,0.1,0.0,22963,,-0.4,,,,0.1,87.9,,1.15,,,
2018-08-17,9.8,9.81,-0.3,-0.41,402777,,-0.2,,,,-0.2,85.5,,1.12,,,
2018-08-21,9.78,9.78,-0.31,-0.31,2103,,-0.1,,,,-0.51,83.0,,1.06,,,
2018-08-22,9.82,9.78,0.0,0.36,24866,,0.0,,,,-0.51,83.0,,1.01,,,
2018-08-23,9.79,9.79,0.1,0.1,334865,,-0.41,,,,-0.41,83.2,,1.01,,,
2018-08-24,9.78,9.78,-0.1,-0.1,100168,,-0.61,,,,-0.51,82.2,,0.95,,,
2018-08-27,9.78,9.73,-0.51,0.0,2385019,,-0.81,,,,-1.02,77.3,,0.92,,,
2018-08-28,9.74,9.73,0.0,0.1,686254,,-0.51,,,,-1.02,77.3,,0.88,,,
2018-08-29,9.78,9.78,0.51,0.48,52652,,0.0,,,,-0.51,78.8,,0.85,,,
2018-08-30,9.78,9.78,0.0,0.0,300,0.0,-0.1,,,,-0.51,78.8,,0.79,,,-1.9
2018-08-31,9.73,9.71,-0.71,-0.51,10623,0.04,-0.71,,,,-1.22,71.3,,0.79,,,-2.6
2018-09-04,9.77,9.77,0.62,0.62,105,0.0,0.41,-0.61,,,-0.61,73.6,0.47,0.78,,,-2.0
2018-09-05,9.73,9.78,0.1,-0.41,2148,0.01,0.51,-1.81,,,-0.51,74.0,0.36,0.76,,,-1.9
2018-09-06,9.78,9.78,0.0,0.0,3805,0.01,0.0,-1.9,,,-0.51,74.0,0.35,0.7,,,-1.9
2018-09-07,9.76,9.76,-0.2,-0.2,4307,0.02,-0.2,-1.81,,,-0.71,71.6,0.35,0.67,,,-2.1
2018-09-10,9.73,9.85,0.92,-0.31,125314,0.46,1.44,-0.8,,,0.2,75.4,0.42,0.7,,,-1.2
2018-09-11,9.73,9.73,-1.22,-1.22,180052,0.64,-0.41,-1.52,,,-1.02,63.2,0.48,0.75,,,-2.4
2018-09-12,9.73,9.78,0.51,0.0,483813,1.79,0.0,-0.51,,,-0.51,65.7,0.48,0.73,,,-1.9
2018-09-14,9.72,9.78,0.0,-0.67,600,0.0,0.0,-0.1,,,-0.51,65.7,0.48,0.73,,,-1.9
2018-09-17,9.82,9.73,-0.51,0.41,265065,1.04,-0.31,-0.51,,,-1.02,60.9,0.49,0.75,,,-2.4
2018-09-18,9.75,9.75,0.21,0.21,7219,0.03,-1.01,-0.81,,,-0.81,62.1,0.48,0.71,,,-2.2
2018-09-19,9.76,9.76,0.1,0.1,281300,1.14,0.31,-0.81,,,-0.71,62.7,0.48,0.71,,,-2.1
2018-09-20,9.73,9.71,-0.51,-0.31,47982,0.19,-0.71,-1.02,,,-1.22,57.7,0.48,0.7,,,-2.6
2018-09-21,9.73,9.73,0.21,0.21,74437,0.3,-0.51,-0.51,,,-1.02,59.1,0.48,0.67,,,-2.4
2018-09-24,9.76,9.75,0.21,0.31,371,0.0,0.21,-0.31,,,-0.81,60.5,0.49,0.65,,,-2.2
2018-09-25,9.72,9.75,0.0,-0.3,47368,0.2,0.0,-0.41,,,-0.81,60.5,0.49,0.62,,,-2.2
2018-09-26,9.73,9.73,-0.22,-0.2,2292,0.02,-0.32,-0.52,,,-1.03,58.1,0.49,0.59,,,-2.41
2018-09-27,9.73,9.73,0.01,0.01,8985,0.11,0.21,0.0,,,-1.02,58.2,0.47,0.57,,,-2.4
2018-09-28,9.73,9.73,0.0,0.0,65528,0.81,0.0,0.0,,,-1.02,58.2,0.47,0.56,,,-2.4
2018-10-01,9.73,9.73,0.0,-0.01,8213,0.1,-0.2,-0.51,,,-1.02,58.2,0.46,0.54,,,-2.4
2018-10-02,9.71,9.71,-0.21,-0.21,360179,3.66,-0.41,-0.71,,,-1.22,55.3,0.46,0.53,,,-2.6
2018-10-03,9.72,9.72,0.03,0.03,840,0.01,-0.16,0.03,,,-1.19,55.7,0.43,0.5,,,-2.57
2018-10-04,9.72,9.74,0.28,0.07,62914,0.62,0.1,-0.31,,,-0.91,58.8,0.42,0.49,,,-2.3
2018-10-05,9.74,9.7,-0.41,0.0,41379,0.4,-0.31,-0.82,,,-1.32,52.8,0.42,0.49,,,-2.71
2018-10-08,9.7,9.73,0.31,0.0,1987,0.02,0.0,-0.51,,,-1.02,56.4,0.43,0.47,,,-2.4
2018-10-09,9.76,9.7,-0.31,0.31,3305,0.03,-0.1,-0.61,,,-1.32,52.2,0.43,0.48,,,-2.71
2018-10-10,9.7,9.72,0.21,0.0,391982,3.64,0.07,-1.32,,,-1.12,54.6,0.38,0.48,,,-2.5
2018-10-11,9.72,9.72,0.0,0.0,15968,0.19,-0.21,-0.1,,,-1.12,54.6,0.27,0.47,,,-2.5
2018-10-12,9.71,9.73,0.1,-0.1,284855,2.89,0.31,-0.51,,,-1.02,55.9,0.25,0.45,,,-2.4
2018-10-15,9.68,9.71,-0.21,-0.51,6255,0.07,-0.21,-0.71,,,-1.22,52.6,0.25,0.46,-0.66,,-2.6
2018-10-16,9.73,9.72,0.1,0.21,10096,0.12,0.21,-0.1,,,-1.12,54.1,0.23,0.46,-0.54,,-2.5
2018-10-17,9.71,9.73,0.1,-0.1,19032,0.26,0.1,-0.2,,,-1.02,55.6,0.22,0.44,-0.39,,-2.4
2018-10-18,9.74,9.74,0.1,0.07,438,0.01,0.21,-0.2,,,-0.91,57.0,0.22,0.42,-0.24,,-2.3
2018-10-19,9.75,9.8,0.62,0.1,2628,0.04,0.72,0.93,,,-0.3,64.6,0.23,0.44,0.4,,-1.7
2018-10-22,9.78,9.73,-0.71,-0.2,4922,0.07,0.21,0.0,,,-1.02,52.9,0.28,0.46,-0.27,,-2.4
2018-10-23,9.74,9.74,0.1,0.1,1305,0.02,0.21,-0.1,,,-0.91,54.2,0.28,0.47,-0.14,,-2.3
2018-10-24,9.73,9.68,-0.62,-0.1,2588,0.04,-0.51,-0.72,,,-1.52,46.1,0.31,0.49,-0.73,,-2.91
2018-10-25,9.68,9.74,0.62,0.0,733,0.01,0.0,0.11,,,-0.91,53.5,0.34,0.49,-0.1,,-2.3
2018-10-26,9.73,9.68,-0.62,-0.1,5302,0.09,-1.22,-0.51,,,-1.52,46.6,0.36,0.5,-0.7,,-2.91
2018-10-29,9.73,9.73,0.52,0.52,1001,0.02,0.0,0.0,,,-1.02,52.2,0.38,0.5,-0.16,,-2.4
2018-10-30,9.75,9.72,-0.1,0.16,8929,0.21,-0.21,-0.1,,,-1.12,51.0,0.38,0.49,-0.24,,-2.5
2018-10-31,9.74,9.69,-0.31,0.21,1027,0.02,0.1,-0.21,,,-1.42,47.6,0.39,0.49,-0.53,,-2.81
2018-11-02,9.74,9.73,0.41,0.52,1162,0.03,-0.1,0.17,,,-1.02,52.2,0.4,0.49,-0.11,,-2.4
2018-11-05,9.83,9.7,-0.31,1.03,13779,0.35,0.21,-0.41,-1.32,,-1.32,48.8,0.4,0.55,-0.4,,-2.71
2018-11-06,9.75,9.75,0.51,0.51,4086,0.1,0.21,0.51,-2.11,,-0.81,54.2,0.4,0.56,0.12,,-2.2
2018-11-07,9.76,9.68,-0.72,0.1,69448,1.64,-0.41,-0.51,-2.91,,-1.52,46.7,0.43,0.61,-0.57,,-2.91
2018-11-08,9.73,9.68,0.0,0.52,280213,7.64,-0.1,-0.21,-2.61,,-1.52,46.7,0.42,0.68,-0.56,,-2.91
2018-11-09,9.68,9.82,1.44,0.0,15298,0.42,0.92,1.03,-1.11,,-0.1,59.6,0.53,0.73,0.86,,-1.5
2018-11-12,9.82,9.81,-0.1,-0.02,3171,0.14,1.13,0.92,-0.71,,-0.2,58.5,0.53,0.69,0.75,,-1.6
2018-11-13,9.82,9.73,-0.81,0.1,460,0.02,-0.2,0.0,-1.02,,-1.02,50.6,0.56,0.72,-0.06,,-2.4
2018-11-14,9.81,9.78,0.51,0.82,64053,2.56,1.03,0.72,-0.1,,-0.51,54.7,0.57,0.73,0.43,,-1.9
2018-11-15,9.78,9.78,0.0,0.0,1179,0.05,1.03,0.62,0.0,,-0.51,54.7,0.57,0.72,0.43,,-1.9
2018-11-16,9.83,9.83,0.51,0.51,316,0.01,0.1,1.03,0.0,,0.0,58.7,0.58,0.7,0.94,,-1.4
2018-11-19,9.81,9.73,-1.02,-0.28,119574,4.0,-0.81,-0.1,-1.12,,-1.02,49.3,0.62,0.73,-0.08,,-2.4
2018-11-20,9.82,9.79,0.62,0.92,7592,0.25,0.62,-0.1,-0.2,,-0.41,54.1,0.62,0.74,0.53,,-1.8
2018-11-21,9.81,9.73,-0.61,0.2,8809,0.29,-0.51,0.0,-0.51,,-1.02,49.1,0.62,0.75,-0.06,,-2.4
2018-11-23,9.81,9.81,0.82,0.82,885,0.03,0.31,0.72,0.31,,-0.2,55.0,0.64,0.75,0.74,,-1.6
2018-11-26,9.81,9.73,-0.81,0.0,15761,0.51,-1.02,0.52,-0.61,,-1.02,48.9,0.65,0.76,-0.07,,-2.4
