date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-05-11,13.5,13.69,,,3446115,,,,,,0.0,,,2.28,,,
2017-05-12,13.72,13.93,1.71,0.21,1088218,,,,,,1.71,,,2.32,,,
2017-05-15,13.89,14.06,0.96,-0.26,774876,,,,,,2.69,,,2.25,,,
2017-05-16,14.1,13.78,-1.97,0.26,1382561,,,,,,0.67,91.4,,2.42,,,
2017-05-17,13.83,13.49,-2.14,0.33,1209271,,,,,,-1.48,83.3,,2.6,,,
2017-05-18,13.54,13.23,-1.92,0.39,1581390,,-3.38,,,,-3.38,76.8,,2.68,,,
2017-05-19,13.63,13.44,1.63,3.05,6387677,,-3.46,,,,-1.81,78.3,,2.83,,,
2017-05-22,13.41,13.37,-0.55,-0.28,1613468,,-4.9,,,,-2.34,76.4,,2.77,,,
2017-05-23,13.36,13.41,0.27,-0.07,1532869,,-2.73,,,,-2.08,76.7,,2.63,,,
2017-05-24,13.37,13.41,0.0,-0.27,2185241,,-0.6,,,,-2.08,76.7,,2.58,,,
2017-05-25,13.38,13.27,-0.99,-0.2,2801776,,0.34,,,,-3.05,72.9,,2.53,,,
2017-05-26,13.31,13.4,0.93,0.27,2357167,,-0.34,,,,-2.14,74.2,,2.46,,,
2017-05-30,13.36,13.34,-0.47,-0.28,1486234,,-0.26,,,,-2.6,72.3,,2.4,,,
2017-05-31,13.28,13.2,-1.0,-0.4,1246612,,-1.52,,,,-3.57,68.4,,2.37,,,
2017-06-01,13.18,13.33,0.95,-0.15,1372691,,-0.59,,,,-2.65,70.0,,2.28,,,
2017-06-02,13.36,13.4,0.53,0.25,2566612,,0.93,,,,-2.14,71.0,,2.21,,,
2017-06-05,13.58,13.64,1.82,1.33,5493651,,1.82,,,,-0.36,74.0,,2.26,,,
2017-06-06,13.56,13.87,1.68,-0.61,4069863,,4.02,,,,1.31,76.4,,2.29,,,
2017-06-07,13.86,14.02,1.05,-0.11,4500299,,6.16,,,,2.38,77.8,,2.31,,,
2017-06-08,13.94,14.05,0.24,-0.52,2189357,0.89,5.42,,,,2.63,78.2,,2.27,,,-0.06
2017-06-09,14.11,14.12,0.51,0.45,2036455,0.85,5.41,,,,3.15,78.9,,2.24,,,0.0
2017-06-12,14.03,14.3,1.26,-0.63,3346948,1.34,4.83,4.45,,,4.45,80.6,1.25,2.27,,,0.0
