date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2012-02-03,132.6,133.68,,,3523,,,,,,0.0,,,2.78,,,
2012-02-06,133.8,131.28,-1.8,0.09,3898,,,,,,-1.8,0.0,,2.97,,,
2012-02-07,128.52,131.16,-0.09,-2.1,415,,,,,,-1.89,0.0,,3.05,,,
2012-02-08,133.08,132.0,0.64,1.46,1305,,,,,,-1.26,2.8,,3.01,,,
2012-02-09,132.12,130.56,-1.09,0.09,1141,,,,,,-2.33,2.7,,3.03,,,
2012-02-10,130.56,130.8,0.18,0.0,3922,,-2.15,,,,-2.15,3.5,,3.16,,,
2012-02-13,137.64,135.84,3.85,5.23,2899,,3.47,,,,1.62,19.5,,3.34,,,
2012-02-14,135.24,136.68,0.62,-0.44,2475,,4.21,,,,2.24,21.8,,3.67,,,
2012-02-15,132.36,136.08,-0.44,-3.16,1623,,3.09,,,,1.8,21.3,,3.75,,,
2012-02-16,141.0,138.96,2.12,3.62,757,,6.43,,,,3.95,29.3,,3.69,,,
2012-02-17,138.6,138.24,-0.52,-0.26,2485,,5.69,,,,3.41,28.5,,3.64,,,
2012-02-21,139.32,132.12,-4.43,0.78,365,,-2.74,,,,-1.17,22.9,,4.07,,,
2012-02-22,137.28,132.6,0.36,3.91,318,,-2.99,,,,-0.81,24.2,,4.21,,,
2012-02-23,133.2,135.6,2.26,0.45,849,,-0.35,,,,1.44,31.6,,4.33,,,
2012-02-24,134.28,130.32,-3.89,-0.97,871,,-6.22,,,,-2.51,26.7,,4.86,,,
2012-02-27,141.84,138.0,5.89,8.84,195,,-0.17,,,,3.23,41.1,,4.94,,,
2012-02-28,142.2,140.28,1.65,3.04,245,,6.18,,,,4.94,44.6,,5.02,,,
2012-02-29,138.0,139.2,-0.77,-1.63,257,,4.98,,,,4.13,43.3,,5.11,,,
2012-03-01,140.4,135.6,-2.59,0.86,869,,0.0,,,,1.44,39.2,,5.31,,,
2012-03-02,140.04,140.4,3.54,3.27,394,0.27,7.73,,,,5.03,46.5,,5.17,,,0.0
2012-03-05,140.4,133.92,-4.62,0.0,1440,1.08,-2.96,,,,0.18,39.6,,5.39,,,-4.62
2012-03-06,133.32,133.2,-0.54,-0.45,587,0.5,-5.05,-0.36,,,-0.36,38.9,2.68,5.28,,,-5.13
2012-03-07,135.24,128.76,-3.33,1.53,2775,2.15,-7.5,-1.92,,,-3.68,34.8,2.75,5.78,,,-8.29
2012-03-08,133.08,129.84,0.84,3.36,2476,1.84,-4.25,-1.01,,,-2.87,36.6,2.76,6.16,,,-7.52
2012-03-09,130.2,134.76,3.79,0.28,1113,0.83,-4.02,2.09,,,0.81,43.9,2.88,6.01,,,-4.02
2012-03-12,136.68,136.32,1.16,1.42,1132,0.94,1.79,4.41,,,1.97,46.0,2.88,5.83,,,-2.91
2012-03-13,132.72,134.4,-1.41,-2.64,1477,1.3,0.9,2.75,,,0.54,43.8,2.9,5.87,,,-4.27
2012-03-14,131.64,132.0,-1.79,-2.05,1345,1.25,2.52,-2.83,,,-1.26,41.2,2.8,5.87,,,-5.98
2012-03-15,132.36,144.12,9.18,0.27,4471,3.66,11.0,5.44,,,7.81,55.7,3.46,5.73,,,0.0
2012-03-16,146.28,132.6,-7.99,1.5,4322,3.09,-1.6,-2.56,,,-0.81,44.5,3.9,6.59,,,-7.99
2012-03-19,133.68,132.24,-0.27,0.81,534,0.41,-2.99,-4.84,,,-1.08,44.2,3.87,6.39,,,-8.24
2012-03-20,131.88,132.84,0.45,-0.27,748,0.57,-1.16,-3.91,,,-0.63,44.8,3.87,6.17,,,-7.83
2012-03-21,132.6,128.4,-3.34,-0.18,1666,1.2,-2.73,-2.82,,,-3.95,40.9,3.82,6.36,,,-10.91
2012-03-22,126.6,127.68,-0.56,-1.4,1987,1.37,-11.41,-3.71,,,-4.49,40.3,3.82,6.4,,,-11.41
2012-03-23,126.72,131.16,2.73,-0.75,487,0.34,-1.09,-3.27,,,-1.89,44.6,3.83,6.04,,,-8.99
2012-03-26,129.48,130.44,-0.55,-1.28,949,0.65,-1.36,0.09,,,-2.42,43.9,3.74,5.94,,,-9.49
2012-03-27,131.4,128.88,-1.2,0.74,2632,1.66,-2.98,-6.61,,,-3.59,42.4,3.5,5.93,,,-10.57
2012-03-28,130.44,130.2,1.02,1.21,1660,1.0,1.4,-7.19,,,-2.6,44.2,3.48,5.69,,,-9.66
2012-03-29,129.36,127.56,-2.03,-0.65,2944,1.68,-0.09,-8.36,,,-4.58,41.4,3.5,5.66,,,-11.49
2012-03-30,127.56,131.16,2.82,0.0,43061,11.07,0.0,-3.27,,,-1.89,46.4,3.53,5.46,,,-8.99
2012-04-02,132.12,130.92,-0.18,0.73,3039,0.77,0.37,-6.75,,,-2.06,46.1,3.43,5.39,,,-9.16
2012-04-03,129.84,128.76,-1.65,-0.82,1199,0.3,-0.09,-3.85,,,-3.68,43.5,3.3,5.36,,,-10.66
2012-04-04,127.68,127.32,-1.12,-0.84,1029,0.26,-2.21,-4.41,,,-4.76,41.8,3.3,5.3,,,-11.66
2012-04-05,127.56,128.16,0.66,0.19,157,0.04,0.47,-0.47,,,-4.13,43.2,3.23,4.97,,,-11.07
2012-04-09,126.0,129.24,0.84,-1.69,1776,0.46,-1.46,-0.46,,,-3.32,45.0,3.23,4.76,,,-10.32
2012-04-10,128.4,127.08,-1.67,-0.65,6362,1.55,-2.93,-5.7,,,-4.94,42.1,3.13,4.78,,,-11.82
2012-04-11,129.36,133.32,4.91,1.79,2051,0.5,3.54,-2.2,,,-0.27,51.7,3.31,4.68,,,-7.49
2012-04-12,133.08,132.0,-0.99,-0.18,1458,0.35,3.68,-1.79,,,-1.26,49.8,3.3,4.64,,,-8.41
2012-04-13,128.52,127.2,-3.64,-2.64,821,0.21,-0.75,-3.64,,,-4.85,43.6,3.38,4.74,,,-11.74
2012-04-16,127.44,123.36,-3.02,0.19,726,0.19,-4.55,-14.4,,,-7.72,39.4,2.67,4.84,-6.93,,-14.4
