date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2014-03-28,5700.0,6348.0,,,3180,,,,,,0.0,,,34.88,,,
2014-03-31,7200.0,8850.0,39.41,13.42,4003,,,,,,39.41,,,25.85,,,
2014-04-01,9540.0,7656.0,-13.49,7.8,1909,,,,,,20.6,96.5,,30.1,,,
2014-04-02,7308.0,8328.0,8.78,-4.55,1153,,,,,,31.19,96.5,,27.11,,,
2014-04-03,9000.0,8910.0,6.99,8.07,1243,,,,,,40.36,96.6,,24.07,,,
2014-04-04,9000.0,8244.0,-7.47,1.01,805,,29.87,,,,29.87,94.4,,25.02,,,
2014-04-07,8136.0,7740.0,-6.11,-1.31,461,,-12.54,,,,21.93,92.6,,25.61,,,
2014-04-08,7914.0,7422.0,-4.11,2.25,450,,-3.06,,,,16.92,91.5,,25.55,,,
2014-04-09,7500.0,7134.0,-3.88,1.05,412,,-14.34,,,,12.38,90.4,,25.38,,,
2014-04-10,7182.0,7200.0,0.93,0.67,583,,-19.19,,,,13.42,90.4,,24.07,,,
2014-04-11,7152.0,6600.0,-8.33,-0.67,144,,-19.94,,,,3.97,87.9,,25.03,,,
2014-04-14,6672.0,6828.0,3.45,1.09,94,,-11.78,,,,7.56,88.0,,22.82,,,
2014-04-15,7050.0,6594.0,-3.43,3.25,190,,-11.16,,,,3.88,86.9,,22.7,,,
2014-04-16,6660.0,6696.0,1.55,1.0,132,,-6.14,,,,5.48,87.0,,21.23,,,
2014-04-17,6888.0,6780.0,1.25,2.87,147,,-5.83,,,,6.81,87.1,,19.93,,,
2014-04-21,7050.0,7398.0,9.12,3.98,330,,12.09,,,,16.54,87.6,,17.69,,,
2014-04-22,7500.0,6966.0,-5.84,1.38,281,,2.02,,,,9.74,85.1,,18.39,,,
2014-04-23,7194.0,6894.0,-1.03,3.27,149,,4.55,,,,8.6,84.6,,17.63,,,
2014-04-24,7020.0,6834.0,-0.87,1.83,120,,2.06,,,,7.66,84.3,,16.79,,,
2014-04-25,6900.0,6834.0,0.0,0.97,92,0.12,0.8,,,,7.66,84.3,,16.14,,,-23.3
2014-04-28,6732.0,6420.0,-6.06,-1.49,251,0.39,-13.22,,,,1.13,81.3,,16.64,,,-27.95
2014-04-29,6360.0,6411.0,-0.14,-0.93,109,0.24,-7.97,0.99,,,0.99,81.2,10.57,15.9,,,-28.05
2014-04-30,6300.0,6318.0,-1.45,-1.73,156,0.43,-8.36,-28.61,,,-0.47,80.5,5.68,15.23,,,-29.09
2014-05-01,6180.0,7800.0,23.46,-2.18,1186,3.23,14.14,1.88,,,22.87,83.1,7.26,13.02,,,-12.46
2014-05-02,7968.0,7350.0,-5.77,2.15,935,2.66,7.55,-11.74,,,15.78,79.6,7.11,14.04,,,-17.51
2014-05-05,7440.0,7314.0,-0.49,1.22,178,0.56,13.93,-17.91,,,15.22,79.3,6.91,13.54,,,-17.91
2014-05-06,7200.0,6954.0,-4.92,-1.56,171,0.56,8.47,-15.65,,,9.55,76.4,6.8,13.91,,,-21.95
2014-05-07,6840.0,6450.0,-7.25,-1.64,252,0.85,2.09,-16.67,,,1.61,72.3,6.85,14.67,,,-27.61
2014-05-08,6414.0,6396.0,-0.84,-0.56,115,0.41,-18.0,-13.82,,,0.76,71.9,6.81,14.29,,,-28.22
2014-05-09,6366.0,6438.0,0.66,-0.47,98,0.38,-12.41,-9.76,,,1.42,72.0,6.77,13.57,,,-27.74
2014-05-12,6540.0,6762.0,5.03,1.58,97,0.38,-7.55,-6.08,,,6.52,73.1,6.86,12.48,,,-24.11
2014-05-13,6780.0,7050.0,4.26,0.27,151,0.59,1.38,6.82,,,11.06,74.2,6.65,11.65,,,-20.88
2014-05-14,7140.0,6750.0,-4.26,1.28,240,0.93,4.65,-1.14,,,6.33,71.2,6.69,11.87,,,-24.24
2014-05-15,6702.0,6839.4,1.32,-0.71,20,0.08,6.93,3.72,,,7.74,71.5,6.65,11.24,,,-23.24
2014-05-16,6978.0,6756.0,-1.22,2.03,41,0.17,4.94,0.9,,,6.43,70.6,6.65,10.84,,,-24.18
2014-05-19,6720.0,6510.0,-3.64,-0.53,79,0.34,-3.73,-3.98,,,2.55,67.9,6.7,10.87,,,-26.94
2014-05-20,6540.0,6492.0,-0.28,0.46,24,0.11,-7.91,-12.25,,,2.27,67.7,6.37,10.31,,,-27.14
2014-05-21,6480.0,6546.0,0.83,-0.18,21,0.1,-3.02,-6.03,,,3.12,68.0,6.25,9.69,,,-26.53
2014-05-22,6522.0,6366.0,-2.75,-0.37,54,0.26,-6.92,-7.66,,,0.28,65.7,6.27,9.49,,,-28.55
2014-05-23,6330.0,6390.0,0.38,-0.57,26,0.13,-5.42,-6.5,,,0.66,65.9,6.27,8.93,,,-28.28
2014-05-27,6468.0,6402.0,0.19,1.22,66,0.33,-1.66,-6.32,,,0.85,66.0,6.27,8.49,,,-28.15
2014-05-28,6600.0,7062.0,10.31,3.09,666,2.91,8.78,10.0,,,11.25,70.5,6.51,8.29,,,-20.74
2014-05-29,7080.0,7290.0,3.23,0.25,191,0.83,11.37,13.71,,,14.84,71.9,6.53,8.1,,,-18.18
2014-05-30,7290.0,7008.0,-3.87,0.0,205,1.13,10.08,10.92,,,10.4,67.6,6.6,8.22,,,-21.35
2014-06-02,7110.0,7374.0,5.22,1.46,245,1.67,15.4,-5.46,,,16.16,70.1,4.22,7.79,,,-17.24
2014-06-03,7440.0,7434.0,0.81,0.9,75,0.53,16.12,1.14,,,17.11,70.5,4.02,7.52,,,-16.57
2014-06-04,7464.0,6720.0,-9.6,0.4,314,2.1,-4.84,-8.12,,,5.86,60.2,4.55,8.77,,,-24.58
2014-06-05,6540.0,6792.0,1.07,-2.68,140,0.98,-6.83,-2.33,,,6.99,60.9,4.43,8.59,,,-23.77
2014-06-06,6918.0,6606.0,-2.74,1.86,165,1.13,-5.74,2.42,,,4.06,58.3,4.17,8.61,,,-25.86
2014-06-09,6870.0,7032.0,6.45,4.0,116,0.79,-4.64,9.94,,,10.78,62.2,4.38,8.08,0.37,,-21.08
2014-06-10,6954.0,7200.0,2.39,-1.11,140,0.94,-3.15,11.84,,,13.42,63.6,4.39,7.74,2.52,,-19.19
2014-06-11,7200.0,7146.0,-0.75,0.0,137,0.93,6.34,5.68,,,12.57,62.8,4.28,7.42,2.25,,-19.8
2014-06-12,7176.0,7284.0,1.93,0.42,464,2.9,7.24,3.32,,,14.74,64.1,4.21,7.76,4.34,,-18.25
2014-06-13,7200.0,7230.0,-0.74,-1.15,202,1.2,9.45,7.11,,,13.89,63.2,4.09,7.7,3.89,,-18.86
2014-06-16,7344.0,7314.0,1.16,1.58,155,0.89,4.01,6.94,,,15.22,64.0,4.09,7.58,5.58,,-17.91
2014-06-17,7500.0,8400.0,14.85,2.54,562,2.83,16.67,24.33,,,32.33,72.9,5.14,7.25,21.2,,-5.72
2014-06-18,8400.0,8400.0,0.0,0.0,273,1.3,17.55,29.03,,,32.33,72.9,5.03,7.15,20.97,,-5.72
2014-06-19,8400.0,8058.0,-4.07,0.0,102,0.48,10.63,24.12,,,26.94,66.9,5.15,7.47,15.83,,-9.56
2014-06-20,8100.0,7824.0,-2.9,0.52,409,1.76,8.22,19.52,,,23.25,63.0,5.23,7.73,12.25,,-12.19
2014-06-23,8172.0,8166.0,4.37,4.45,145,0.61,11.65,28.28,,,28.64,66.1,5.21,7.37,16.83,,-8.35
2014-06-24,8190.0,8814.0,7.94,0.29,606,2.28,4.93,37.93,,,38.85,71.0,5.4,7.31,25.31,,-1.08
2014-06-25,8772.0,9270.0,5.17,-0.48,349,1.39,10.36,44.8,,,46.03,73.8,5.44,7.05,30.88,,0.0
2014-06-26,9270.0,9342.0,0.78,0.0,221,0.88,15.93,32.29,,,47.16,74.3,5.09,7.04,30.88,,0.0
2014-06-27,9330.0,9300.0,-0.45,-0.13,129,0.52,18.87,27.57,46.5,,46.5,73.5,5.09,6.82,29.35,,-0.45
2014-06-30,9300.0,9072.0,-2.45,0.0,114,0.47,11.09,29.45,2.51,,42.91,69.4,5.02,7.0,25.38,,-2.89
2014-07-01,9132.0,8646.0,-4.7,0.66,226,0.91,-1.91,17.25,12.93,,36.2,62.3,5.11,7.33,19.08,,-7.45
2014-07-02,8700.0,8760.0,1.32,0.62,88,0.37,-5.5,17.84,5.19,,38.0,63.4,5.11,7.15,20.06,,-6.23
2014-07-03,8730.0,8670.0,-1.03,-0.34,48,0.21,-7.19,29.02,-2.69,,36.58,61.9,4.54,7.0,18.25,,-7.19
2014-07-07,8727.0,8214.0,-5.26,0.66,137,0.59,-11.68,20.94,-0.36,,29.4,54.8,4.76,7.43,11.61,,-12.07
2014-07-08,8280.0,7488.0,-8.84,0.8,363,1.49,-17.46,13.35,-3.26,,17.96,45.8,5.17,8.49,1.57,,-19.85
2014-07-09,7572.0,7662.0,2.32,1.12,123,0.51,-11.38,8.96,3.23,,20.7,48.0,5.02,8.22,3.58,,-17.98
2014-07-10,7680.0,8394.0,9.55,0.23,420,1.63,-4.18,16.58,17.66,,32.23,56.1,5.38,7.83,12.87,,-10.15
