date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,34.75,35.95,,,418500,,,,,,0.0,,,3.5,,,
2005-02-28,36.0,35.93,-0.06,0.14,534800,,,,,,-0.06,0.0,,3.42,,,
2005-03-01,35.93,35.44,-1.36,0.0,390000,,,,,,-1.42,0.0,,3.37,,,
2005-03-02,35.6,36.22,2.2,0.45,292700,,,,,,0.75,52.8,,3.32,,,
2005-03-03,35.97,35.7,-1.44,-0.69,349100,,,,,,-0.7,38.3,,3.34,,,
2005-03-04,35.74,36.01,0.87,0.11,289500,,0.17,,,,0.17,47.6,,3.17,,,
2005-03-07,36.15,36.62,1.69,0.39,356400,,1.92,,,,1.86,60.2,,3.16,,,
2005-03-08,36.0,35.95,-1.83,-1.69,340800,,1.44,,,,0.0,46.8,,3.14,,,
2005-03-09,35.96,35.99,0.11,0.03,185300,,-0.64,,,,0.11,47.6,,3.04,,,
2005-03-10,35.99,36.2,0.58,0.0,574200,,1.4,,,,0.7,51.5,,3.09,,,
2005-03-11,36.21,34.99,-3.34,0.03,715200,,-2.83,,,,-2.67,35.3,,3.27,,,
2005-03-14,34.85,33.62,-3.92,-0.4,756900,,-8.19,,,,-6.48,25.5,,3.56,,,
2005-03-15,32.17,30.8,-8.39,-4.31,1606300,,-14.33,,,,-14.33,15.8,,4.56,,,
2005-03-16,30.55,29.61,-3.86,-0.81,1282100,,-17.73,,,,-17.64,13.5,,4.99,,,
2005-03-17,29.53,29.65,0.14,-0.27,645300,,-18.09,,,,-17.52,14.0,,4.82,,,
2005-03-18,29.4,29.26,-1.32,-0.84,533100,,-16.38,,,,-18.61,13.2,,4.69,,,
2005-03-21,29.1,29.0,-0.89,-0.55,635400,,-13.74,,,,-19.33,12.7,,4.57,,,
2005-03-22,28.98,28.8,-0.69,-0.07,875200,,-6.49,,,,-19.89,12.4,,4.43,,,
2005-03-23,28.55,27.85,-3.3,-0.87,561900,,-5.94,,,,-22.53,10.7,,4.51,,,
2005-03-24,28.02,27.85,0.0,0.61,493900,0.83,-6.07,,,,-22.53,10.7,,4.34,,,-23.95
2005-03-28,27.88,27.67,-0.65,0.11,479300,0.81,-5.43,,,,-23.03,10.4,,4.33,,,-24.44
2005-03-29,27.55,27.15,-1.88,-0.43,550100,0.92,-6.38,-24.48,,,-24.48,9.6,2.35,4.37,,,-25.86
2005-03-30,27.25,28.02,3.2,0.37,581400,0.96,-2.71,-22.02,,,-22.06,21.0,2.53,4.21,,,-23.48
2005-03-31,27.9,28.0,-0.07,-0.43,330200,0.54,0.54,-20.99,,,-22.11,20.9,2.54,4.07,,,-23.54
2005-04-01,29.0,30.74,9.79,3.57,1125900,1.74,10.38,-15.13,,,-14.49,45.8,3.42,4.13,,,-16.06
2005-04-04,30.74,29.03,-5.56,0.0,868500,1.29,4.92,-18.68,,,-19.25,37.8,3.58,4.63,,,-20.73
2005-04-05,29.1,28.93,-0.34,0.24,469600,0.69,6.56,-19.66,,,-19.53,37.4,3.56,4.57,,,-21.0
2005-04-06,28.7,28.96,0.1,-0.8,472100,0.69,3.35,-20.92,,,-19.44,37.6,3.52,4.41,,,-20.92
2005-04-07,28.94,28.75,-0.73,-0.07,376000,0.54,2.68,-20.03,,,-20.03,36.6,3.51,4.29,,,-21.49
2005-04-08,28.84,27.82,-3.23,0.31,385400,0.56,-9.5,-22.7,,,-22.61,32.6,3.53,4.38,,,-24.03
2005-04-11,27.57,27.04,-2.8,-0.9,487000,0.72,-6.85,-25.3,,,-24.78,29.7,3.53,4.47,,,-26.16
2005-04-12,27.04,26.88,-0.59,0.0,918300,1.34,-7.09,-23.18,,,-25.23,29.1,3.5,4.5,,,-26.6
2005-04-13,26.75,26.39,-1.82,-0.48,322400,0.52,-8.87,-21.51,,,-26.59,27.4,3.45,4.56,,,-27.94
2005-04-14,26.3,24.81,-5.99,-0.34,580800,0.99,-13.7,-19.45,,,-30.99,22.6,3.23,5.1,,,-32.25
2005-04-15,24.84,23.95,-3.47,0.12,424900,0.74,-13.91,-19.12,,,-33.38,20.6,3.21,5.23,,,-34.6
2005-04-18,23.77,24.54,2.46,-0.75,347800,0.62,-9.25,-17.23,,,-31.74,25.6,3.29,5.05,,,-32.99
2005-04-19,23.59,25.34,3.26,-3.87,394100,0.71,-5.73,-13.4,,,-29.51,31.9,3.41,5.09,,,-30.8
2005-04-20,25.55,24.7,-2.53,0.83,367100,0.7,-6.4,-14.83,,,-31.29,29.8,3.43,5.19,,,-32.55
2005-04-21,25.5,26.05,5.47,3.24,552200,1.05,5.0,-9.55,,,-27.54,39.2,3.69,5.02,,,-28.86
2005-04-22,26.3,24.55,-5.76,0.96,602000,1.13,2.51,-11.85,,,-31.71,33.8,3.82,5.66,,,-32.96
2005-04-25,24.6,25.51,3.91,0.2,501000,0.94,3.95,-8.4,,,-29.04,39.5,3.94,5.38,,,-30.34
