date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-12-30,70.0,56.25,,,4610,,,,,,0.0,,,101.07,,,
2019-12-31,56.25,58.7,4.36,0.0,1278,,,,,,4.36,,,91.29,,,
2020-01-02,54.15,56.2,-4.26,-7.75,305,,,,,,0.0,92.7,,89.14,,,
2020-01-16,48.15,48.15,-14.32,-14.32,22,,,,,,-14.32,74.0,,97.8,,,
2020-01-30,42.75,44.95,-6.65,-11.22,61,,,,,,-20.02,68.2,,98.75,,,
2020-01-31,36.4,39.75,-11.57,-19.02,59,,-29.33,,,,-29.27,59.8,,105.23,,,
2020-02-04,40.5,40.5,1.89,1.89,110,,-31.01,,,,-27.94,60.6,,96.03,,,
2020-02-10,44.55,37.92,-6.36,10.0,1420,,-32.52,,,,-32.52,56.7,,96.48,,,
2020-03-02,34.75,30.05,-20.76,-8.37,219,,-37.6,,,,-46.53,46.8,,114.93,,,
2020-03-04,30.5,30.5,1.5,1.5,202,,-32.15,,,,-45.73,47.3,,105.25,,,
2020-03-06,29.75,29.75,-2.46,-2.46,408,,-25.16,,,,-47.06,46.5,,100.38,,,
2020-03-13,29.75,27.2,-8.57,-0.0,70,,-32.84,,,,-51.6,43.5,,102.62,,,
2020-03-16,28.6,28.6,5.15,5.15,44,,-24.59,,,,-49.11,45.5,,90.97,,,
2020-03-17,27.5,30.0,4.9,-3.85,93,,-0.17,,,,-46.62,47.6,,81.13,,,
2020-03-19,22.85,22.85,-23.85,-23.85,405,,-25.1,,,,-59.35,39.4,,101.16,,,
2020-04-13,21.5,21.5,-5.89,-5.89,30,,-27.73,,,,-61.74,38.1,,100.26,,,
2020-05-05,23.2,23.25,8.14,7.91,791,,-14.52,,,,-58.63,40.9,,87.17,,,
2020-05-06,22.0,20.0,-13.98,-5.38,243,,-30.07,,,,-64.41,37.5,,95.26,,,
