date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,25.02,25.34,,,225180,,,,,,0.0,,,1.8,,,
2005-02-28,25.26,25.2,-0.56,-0.33,112363,,,,,,-0.56,0.0,,1.78,,,
2005-03-01,25.27,25.76,2.23,0.26,123869,,,,,,1.66,23.4,,1.8,,,
2005-03-02,25.77,25.72,-0.16,0.02,155064,,,,,,1.5,23.0,,1.82,,,
2005-03-03,25.74,25.88,0.62,0.06,203976,,,,,,2.13,28.4,,1.81,,,
2005-03-04,25.95,26.31,1.65,0.26,137800,,3.81,,,,3.81,40.5,,1.79,,,
2005-03-07,26.32,26.46,0.59,0.03,169754,,5.01,,,,4.42,44.1,,1.76,,,
2005-03-08,26.49,26.41,-0.18,0.12,170811,,2.53,,,,4.23,43.3,,1.74,,,
2005-03-09,26.41,26.24,-0.67,0.0,164908,,2.0,,,,3.53,40.0,,1.79,,,
2005-03-10,26.16,25.79,-1.71,-0.29,232602,,-0.36,,,,1.76,33.3,,1.84,,,
2005-03-11,25.8,25.99,0.79,0.05,134170,,-1.2,,,,2.56,38.3,,1.76,,,
2005-03-14,25.99,26.3,1.2,0.0,161129,,-0.6,,,,3.79,45.2,,1.78,,,
2005-03-15,26.41,26.68,1.42,0.4,192162,,0.99,,,,5.27,52.1,,1.74,,,
2005-03-16,26.62,26.69,0.06,-0.23,163850,,1.74,,,,5.34,52.4,,1.67,,,
2005-03-17,26.56,27.08,1.46,-0.5,170662,,5.02,,,,6.87,58.7,,1.7,,,
2005-03-18,27.31,27.02,-0.23,0.83,340268,,3.96,,,,6.63,57.4,,1.69,,,
2005-03-21,27.08,27.31,1.06,0.2,115091,,3.82,,,,7.76,61.6,,1.65,,,
2005-03-22,27.33,27.35,0.17,0.07,254854,,2.53,,,,7.94,62.2,,1.64,,,
2005-03-23,27.35,27.39,0.14,0.0,214882,,2.61,,,,8.09,62.8,,1.6,,,
2005-03-24,27.67,27.47,0.3,1.02,134170,0.75,1.44,,,,8.41,64.0,,1.57,,,0.0
2005-03-28,27.57,27.08,-1.42,0.36,243501,1.35,0.23,,,,6.87,54.7,,1.64,,,-1.42
2005-03-29,27.04,26.68,-1.47,-0.15,180958,0.99,-2.28,5.3,,,5.3,47.2,1.06,1.69,,,-2.87
2005-03-30,26.68,27.81,4.21,0.0,213065,1.14,1.66,10.35,,,9.73,62.8,1.35,1.82,,,0.0
2005-03-31,27.81,27.8,-0.02,0.02,215943,1.13,1.5,7.91,,,9.71,62.6,1.29,1.81,,,-0.02
2005-04-01,27.88,27.81,0.04,0.29,286811,1.47,1.24,8.13,,,9.75,62.8,1.29,1.77,,,0.0
2005-04-04,27.8,27.67,-0.52,-0.04,175052,0.89,2.17,6.91,,,9.19,60.0,1.3,1.75,,,-0.52
2005-04-05,27.7,27.51,-0.59,0.12,217756,1.09,3.08,4.55,,,8.54,56.8,1.28,1.82,,,-1.11
2005-04-06,27.6,27.87,1.32,0.36,134470,0.68,0.22,5.31,,,9.97,61.6,1.3,1.86,,,0.0
2005-04-07,28.16,28.29,1.51,1.06,255312,1.26,1.75,7.09,,,11.63,66.3,1.32,1.86,,,0.0
2005-04-08,28.13,28.07,-0.76,-0.55,196861,0.98,0.93,7.0,,,10.78,62.1,1.33,1.81,,,-0.76
2005-04-11,28.07,27.8,-0.97,0.0,219577,1.07,0.48,7.81,,,9.71,57.2,1.28,1.79,,,-1.72
2005-04-12,27.7,28.26,1.67,-0.35,165515,0.81,2.76,8.75,,,11.53,62.6,1.31,1.85,,,-0.09
2005-04-13,28.23,27.62,-2.29,-0.11,158548,0.78,-0.9,5.0,,,8.98,52.7,1.42,1.95,,,-2.37
2005-04-14,27.7,27.62,0.0,0.31,107063,0.54,-2.37,3.53,,,8.98,52.7,1.39,1.88,,,-2.37
2005-04-15,27.62,27.47,-0.55,0.02,173388,0.87,-2.16,2.89,,,8.38,50.5,1.4,1.85,,,-2.91
2005-04-18,27.47,26.22,-4.55,0.0,552575,2.62,-5.7,-3.2,,,3.46,36.9,1.7,2.2,,,-7.32
2005-04-19,26.38,26.41,0.75,0.63,328606,1.48,-6.54,-2.24,,,4.23,39.7,1.71,2.19,,,-6.62
2005-04-20,26.41,25.85,-2.13,0.0,242289,1.1,-6.39,-5.33,,,2.02,35.0,1.75,2.29,,,-8.61
2005-04-21,26.35,28.69,10.99,1.92,592400,2.47,3.9,4.9,,,13.23,60.4,3.01,2.7,,,0.0
2005-04-22,28.7,27.21,-5.18,0.02,367371,1.46,-0.94,-0.67,,,7.36,49.5,3.24,3.07,,,-5.18
2005-04-25,27.34,28.98,6.52,0.48,324972,1.27,10.54,5.49,,,14.36,59.0,3.54,3.13,,,0.0
2005-04-26,29.06,28.61,-1.28,0.26,294534,1.13,8.31,5.64,,,12.9,56.6,3.53,3.27,,,-1.28
2005-04-27,28.61,29.29,2.37,0.0,366766,1.36,13.29,9.75,,,15.57,59.8,3.54,3.32,,,0.0
2005-04-28,29.28,28.66,-2.14,-0.04,243653,0.9,-0.11,3.07,,,13.1,55.7,3.47,3.42,,,-2.14
2005-04-29,28.83,28.65,-0.03,0.58,335417,1.23,5.31,3.06,,,13.06,55.7,3.47,3.41,,,-2.17
2005-05-02,28.79,29.56,3.17,0.47,201710,0.74,2.0,6.28,,,16.65,60.3,3.53,3.3,,,0.0
2005-05-03,29.72,29.11,-1.53,0.54,169602,0.62,1.74,5.2,,,14.86,57.1,3.55,3.29,,,-1.53
