date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,28.32,28.8,,,1071507,,,,,,0.0,,,6.67,,,
2005-02-28,28.71,29.43,2.18,-0.31,340706,,,,,,2.18,,,6.32,,,
2005-03-01,29.43,28.81,-2.08,0.02,262847,,,,,,0.06,93.0,,6.21,,,
2005-03-02,28.76,29.28,1.63,-0.18,226008,,,,,,1.69,93.4,,5.88,,,
2005-03-03,29.47,29.61,1.12,0.63,130969,,,,,,2.83,93.7,,5.5,,,
2005-03-04,29.71,29.71,0.35,0.33,120465,,3.19,,,,3.19,93.7,,5.22,,,
2005-03-07,29.74,30.31,2.0,0.09,218776,,3.0,,,,5.25,94.2,,4.91,,,
2005-03-08,30.33,30.43,0.4,0.06,218322,,5.61,,,,5.67,94.3,,4.64,,,
2005-03-09,30.43,29.82,-2.0,0.0,148036,,1.85,,,,3.56,86.7,,4.57,,,
2005-03-10,29.82,29.54,-0.95,0.0,144308,,-0.24,,,,2.58,83.3,,4.46,,,
2005-03-11,29.58,29.85,1.05,0.15,96506,,0.45,,,,3.65,84.0,,4.19,,,
2005-03-14,29.91,30.33,1.6,0.2,104527,,0.06,,,,5.32,85.1,,4.06,,,
2005-03-15,30.55,30.28,-0.15,0.73,107128,,-0.49,,,,5.16,84.5,,3.96,,,
2005-03-16,30.28,29.71,-1.89,0.0,86220,,-0.39,,,,3.16,77.3,,3.94,,,
2005-03-17,29.6,29.83,0.42,-0.36,196516,,0.99,,,,3.6,77.7,,3.89,,,
2005-03-18,29.88,29.24,-1.97,0.16,259797,,-2.02,,,,1.56,70.7,,3.86,,,
2005-03-21,29.2,29.37,0.43,-0.15,97410,,-3.16,,,,1.99,71.3,,3.7,,,
2005-03-22,29.42,29.07,-1.02,0.16,105428,,-3.99,,,,0.96,67.7,,3.71,,,
2005-03-23,28.95,28.78,-1.0,-0.4,97184,,-3.12,,,,-0.06,64.3,,3.6,,,
2005-03-24,28.84,28.79,0.03,0.23,100799,0.49,-3.5,,,,-0.03,64.4,,3.5,,,-5.39
2005-03-28,29.01,28.58,-0.72,0.77,76276,0.49,-2.27,,,,-0.75,61.8,,3.46,,,-6.07
2005-03-29,28.59,28.84,0.92,0.03,146342,0.99,-1.79,0.17,,,0.17,63.8,1.36,3.39,,,-5.21
2005-03-30,29.11,29.11,0.91,0.93,129844,0.92,0.12,-1.08,,,1.08,65.7,1.29,3.23,,,-4.35
2005-03-31,29.14,28.86,-0.86,0.12,132894,0.98,0.26,0.15,,,0.2,62.3,1.22,3.13,,,-5.18
2005-04-01,28.86,28.5,-1.23,0.0,220016,1.57,-1.0,-2.67,,,-1.03,57.9,1.19,3.11,,,-6.34
2005-04-04,28.63,29.25,2.64,0.44,131200,0.93,2.35,-1.2,,,1.59,63.8,1.31,3.05,,,-3.86
2005-04-05,29.34,29.29,0.12,0.31,205557,1.47,1.54,-1.43,,,1.71,64.1,1.3,2.92,,,-3.75
2005-04-06,29.22,29.14,-0.51,-0.25,106337,0.79,0.12,-3.85,,,1.2,62.1,1.22,2.82,,,-4.23
2005-04-07,29.05,29.3,0.54,-0.3,87123,0.66,1.54,-3.72,,,1.75,63.4,1.22,2.75,,,-3.72
2005-04-08,29.22,28.84,-1.55,-0.28,83624,0.65,1.21,-3.28,,,0.17,57.3,1.19,2.72,,,-5.21
2005-04-11,28.89,28.38,-1.61,0.17,79776,0.62,-2.99,-3.92,,,-1.45,51.8,1.22,2.77,,,-6.74
2005-04-12,28.38,29.11,2.56,0.0,198998,1.5,-0.63,-2.49,,,1.08,58.5,1.34,2.85,,,-4.35
2005-04-13,29.29,28.84,-0.93,0.63,165436,1.22,-1.04,-4.91,,,0.14,55.4,1.29,2.79,,,-5.23
2005-04-14,28.76,27.58,-4.35,-0.27,203639,1.44,-5.86,-8.91,,,-4.21,43.9,1.57,3.08,,,-9.36
2005-04-15,27.74,27.07,-1.85,0.58,164421,1.18,-6.15,-8.87,,,-5.99,40.2,1.57,3.26,,,-11.03
2005-04-18,27.03,26.97,-0.37,-0.14,180803,1.33,-4.96,-9.58,,,-6.33,39.5,1.56,3.36,,,-11.36
2005-04-19,27.08,27.94,3.6,0.4,118882,0.87,-3.99,-4.44,,,-2.96,48.8,1.75,3.33,,,-8.17
2005-04-20,27.89,27.87,-0.26,-0.18,224083,1.57,-3.34,-5.1,,,-3.21,48.2,1.74,3.31,,,-8.4
2005-04-21,28.07,28.76,3.18,0.7,142612,0.98,4.27,-1.07,,,-0.12,55.4,1.88,3.25,,,-5.49
2005-04-22,28.67,28.28,-1.66,-0.31,175378,1.18,4.47,-1.72,,,-1.78,51.3,1.91,3.34,,,-7.05
2005-04-25,28.37,28.5,0.77,0.31,109276,0.73,5.67,-1.0,,,-1.03,53.0,1.92,3.2,,,-6.34
2005-04-26,28.42,28.09,-1.45,-0.3,120573,0.81,0.51,-1.73,,,-2.46,49.4,1.94,3.25,,,-7.7
2005-04-27,27.74,27.77,-1.14,-1.23,90514,0.62,-0.38,-3.73,,,-3.57,46.8,1.93,3.21,,,-8.75
2005-04-28,27.78,27.7,-0.24,0.03,90514,0.62,-3.69,-4.83,,,-3.81,46.3,1.92,3.19,,,-8.97
2005-04-29,27.67,27.66,-0.16,-0.09,166908,1.17,-2.22,-4.16,,,-3.96,45.9,1.91,3.17,,,-9.12
2005-05-02,27.57,28.4,2.69,-0.33,132442,0.93,-0.36,-0.36,,,-1.38,53.0,2.0,3.11,,,-6.67
2005-05-03,28.27,28.57,0.61,-0.44,132894,0.96,1.73,-2.33,,,-0.78,54.5,1.91,3.05,,,-6.1
2005-05-04,28.54,29.5,3.26,-0.12,213916,1.48,6.25,0.73,,,2.46,61.5,2.04,3.03,,,-3.04
2005-05-05,29.5,29.46,-0.15,0.0,380258,2.4,6.35,1.09,,,2.3,61.0,2.04,2.9,,,-3.19
2005-05-06,29.86,29.65,0.64,1.38,212562,1.29,7.2,1.19,,,2.96,62.4,2.04,2.81,2.46,,-2.57
2005-05-09,29.71,30.3,2.2,0.2,183407,1.08,6.69,5.04,,,5.22,66.7,2.06,2.87,4.6,,-0.43
2005-05-10,30.04,29.22,-3.57,-0.85,142383,0.85,2.25,2.95,,,1.46,55.3,2.19,3.06,0.88,,-3.99
2005-05-11,29.4,29.69,1.62,0.63,92890,0.57,0.63,2.01,,,3.11,58.7,2.14,3.01,2.45,,-2.43
2005-05-12,30.26,30.03,1.15,1.93,242619,1.46,1.95,4.15,,,4.29,60.9,2.14,3.02,3.58,,-1.31
2005-05-13,29.95,29.81,-0.73,-0.29,305226,1.77,0.56,8.09,,,3.53,58.7,1.89,3.02,2.81,,-2.02
2005-05-16,29.82,30.25,1.45,0.03,171090,0.99,-0.17,11.72,,,5.03,61.7,1.83,2.96,4.26,,-0.6
2005-05-17,30.25,30.25,0.0,0.03,149504,0.86,3.52,12.13,,,5.03,61.7,1.82,2.87,4.27,,-0.6
2005-05-18,30.35,30.22,-0.09,0.36,162385,0.95,1.78,8.14,,,4.94,61.4,1.68,2.76,4.19,,-0.7
2005-05-19,30.23,30.57,1.18,0.03,149279,0.87,1.8,9.69,,,6.17,64.0,1.69,2.69,5.36,,0.0
