date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2011-10-04,20.43,21.24,,,26432,,,,,,0.0,,,3.83,,,
2011-10-05,21.49,21.54,1.38,1.18,24365,,,,,,1.38,,,3.61,,,
2011-10-06,21.88,21.98,2.06,1.59,64133,,,,,,3.46,,,3.43,,,
2011-10-07,22.35,22.03,0.24,1.7,35168,,,,,,3.71,,,3.3,,,
2011-10-17,22.55,22.54,2.33,2.37,13791,,,,,,6.12,,,3.16,,,
2011-10-18,22.71,22.98,1.93,0.73,27395,,8.17,,,,8.17,,,3.01,,,
2011-10-19,22.84,22.74,-1.06,-0.59,6434,,5.56,,,,7.02,94.3,,2.9,,,
2011-10-25,23.75,23.82,4.79,4.46,1924,,8.39,,,,12.15,95.5,,2.9,,,
2011-10-26,23.88,23.6,-0.96,0.21,86082,,7.1,,,,11.07,91.1,,2.87,,,
2011-10-27,24.19,24.45,3.63,2.51,2434,,8.46,,,,15.1,92.5,,2.82,,,
2011-10-28,24.43,24.39,-0.27,-0.07,1071,,6.13,,,,14.79,91.3,,2.65,,,
2011-10-31,24.02,24.23,-0.63,-1.52,39303,,6.59,,,,14.07,88.4,,2.59,,,
2011-11-01,23.14,22.89,-5.52,-4.53,28554,,-3.91,,,,7.77,68.4,,2.96,,,
2011-11-02,23.48,23.41,2.26,2.58,10248,,-0.78,,,,10.21,71.1,,2.87,,,
2011-11-03,23.78,24.12,3.04,1.59,43937,,-1.35,,,,13.55,74.4,,2.79,,,
2011-11-04,23.83,24.07,-0.2,-1.2,8163,,-1.28,,,,13.33,73.8,,2.69,,,
2011-11-07,23.89,24.18,0.43,-0.77,459,,-0.23,,,,13.81,74.3,,2.57,,,
2011-11-08,24.05,24.33,0.64,-0.55,613,,6.28,,,,14.54,75.0,,2.46,,,
2011-11-09,23.82,23.65,-2.8,-2.1,32349,,1.02,,,,11.33,65.9,,2.55,,,
2011-11-10,23.94,23.67,0.1,1.21,4116,0.18,-1.86,,,,11.44,66.1,,2.45,,,-3.18
2011-11-11,24.12,24.18,2.13,1.89,9696,0.44,0.43,,,,13.81,69.2,,2.4,,,-1.13
2011-11-14,24.17,24.17,-0.03,-0.03,400,0.02,-0.03,13.78,,,13.78,69.1,2.27,2.23,,,-1.15
2011-11-16,24.29,24.01,-0.68,0.51,8224,0.46,-1.34,11.46,,,13.0,66.8,2.28,2.19,,,-1.83
2011-11-17,24.63,23.45,-2.33,2.61,12319,0.73,-0.86,6.68,,,10.37,59.3,2.34,2.47,,,-4.11
2011-11-21,22.93,22.93,-2.21,-2.21,459,0.03,-3.15,4.07,,,7.93,53.4,2.4,2.5,,,-6.24
2011-11-22,22.92,22.92,-0.02,-0.02,451,0.03,-5.19,1.68,,,7.9,53.3,2.35,2.33,,,-6.26
2011-11-23,22.56,22.38,-2.38,-1.57,1000,0.07,-7.42,-2.62,,,5.34,47.5,2.37,2.39,,,-8.49
2011-11-28,22.74,22.98,2.69,1.64,77454,4.22,-4.28,1.07,,,8.17,53.5,2.44,3.32,,,-6.02
2011-11-29,23.12,23.06,0.36,0.62,28469,1.84,-1.64,-3.2,,,8.56,54.3,2.19,3.13,,,-5.69
2011-11-30,23.86,23.94,3.8,3.44,1393,0.09,4.41,1.45,,,12.68,61.6,2.34,3.06,,,-2.1
2011-12-01,24.11,24.11,0.7,0.7,217,0.01,5.16,-1.42,,,13.47,62.8,2.2,2.87,,,-1.42
2011-12-02,24.01,24.01,-0.39,-0.39,440,0.03,7.3,-1.54,,,13.03,61.6,2.2,2.71,,,-1.81
