date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-09-10,7.25,7.36,,,1025900,,,,,,0.0,,,61.96,,,
2024-09-11,6.81,8.8,19.57,-7.47,415956,,,,,,19.57,,,50.47,,,
2024-09-12,7.79,8.67,-1.48,-11.48,596762,,,,,,17.8,99.3,,49.28,,,
2024-09-13,7.9,7.9,-8.88,-8.88,533563,,,,,,7.34,95.1,,51.09,,,
2024-09-16,7.7,8.26,4.56,-2.53,413967,,,,,,12.23,95.2,,45.99,,,
2024-09-17,8.14,11.1,34.38,-1.45,204751,,50.82,,,,50.82,95.9,,33.95,,,
2024-09-18,10.1,18.37,65.5,-9.01,1263559,,108.75,,,,149.59,97.1,,22.38,,,
2024-09-19,19.85,13.32,-27.49,8.06,1354373,,53.63,,,,80.98,79.7,,38.16,,,
2024-09-20,13.39,15.0,12.61,0.53,241554,,89.87,,,,103.8,80.9,,33.61,,,
2024-09-23,14.63,12.95,-13.67,-2.47,94840,,56.78,,,,75.95,75.0,,37.96,,,
2024-09-24,12.75,11.75,-9.27,-1.54,152888,,5.86,,,,59.65,71.6,,40.31,,,
2024-09-25,12.0,11.56,-1.62,2.13,39027,,-37.07,,,,57.07,71.1,,39.04,,,
2024-09-26,12.2,10.45,-9.6,5.54,102758,,-21.55,,,,41.98,67.9,,42.37,,,
2024-09-27,10.05,11.24,7.56,-3.83,25483,,-25.07,,,,52.72,69.0,,37.36,,,
2024-09-30,11.38,10.19,-9.34,1.25,95350,,-21.31,,,,38.45,65.8,,39.39,,,
2024-10-01,9.86,13.6,33.46,-3.24,201730,,15.74,,,,84.78,70.5,,29.84,,,
2024-10-02,14.38,14.52,6.76,5.74,106533,,25.61,,,,97.28,71.7,,27.22,,,
2024-10-03,14.72,13.28,-8.57,1.38,74362,,27.03,,,,80.37,67.9,,28.79,,,
2024-10-04,13.69,13.55,2.07,3.13,27326,,20.55,,,,84.1,68.3,,26.77,,,
2024-10-07,13.48,13.82,1.99,-0.52,35171,0.1,35.62,,,,87.77,68.7,,25.04,,,-24.77
2024-10-08,13.82,12.29,-11.07,0.0,83741,0.28,-9.63,,,,66.98,63.6,,27.27,,,-33.1
2024-10-09,12.65,12.43,1.14,2.91,35030,0.12,-14.39,68.89,,,68.89,63.9,20.47,25.52,,,-32.34
2024-10-10,12.43,12.83,3.22,0.0,48799,0.19,-3.35,45.8,,,74.32,64.7,20.17,24.43,,,-30.16
2024-10-11,11.7,13.19,2.81,-8.79,23370,0.1,-2.66,52.13,,,79.21,65.4,20.14,23.3,,,-28.2
2024-10-14,13.13,13.61,3.18,-0.45,51576,0.24,-1.52,72.28,,,84.92,66.3,19.93,21.57,,,-25.91
2024-10-15,14.29,14.78,8.56,5.03,69759,0.34,20.22,78.87,,,100.75,68.6,19.95,19.17,,,-19.57
2024-10-16,14.4,17.3,17.09,-2.54,155428,1.03,39.18,55.86,,,135.05,73.0,18.99,17.71,,,-5.82
2024-10-17,17.53,19.15,10.69,1.33,82448,0.94,49.26,4.25,,,160.19,75.7,12.82,15.83,,,0.0
2024-10-18,20.0,18.41,-3.86,4.44,143669,1.74,39.58,38.21,,,150.14,72.6,11.12,19.31,,,-3.86
2024-10-21,17.9,20.39,10.78,-2.77,71260,0.88,49.85,35.97,,,177.11,75.5,11.04,17.5,,,0.0
