date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2011-11-03,23.19,22.72,,,1875867,,,,,,0.0,,,2.62,,,
2011-11-04,22.53,21.69,-4.53,-0.82,2233926,,,,,,-4.53,0.0,,3.03,,,
2011-11-07,21.45,21.18,-2.35,-1.12,3140122,,,,,,-6.78,0.0,,3.21,,,
2011-11-08,21.61,21.47,1.38,2.02,2351424,,,,,,-5.49,2.2,,3.15,,,
2011-11-09,20.97,20.57,-4.22,-2.36,1824529,,,,,,-9.47,2.1,,3.4,,,
2011-11-10,21.07,20.36,-1.0,2.47,1354230,,-10.38,,,,-10.38,2.0,,3.55,,,
2011-11-11,20.56,20.48,0.59,0.97,1470640,,-5.56,,,,-9.84,3.1,,3.42,,,
2011-11-14,20.3,20.6,0.58,-0.89,1555227,,-2.73,,,,-9.32,4.1,,3.34,,,
2011-11-15,20.61,20.65,0.26,0.05,1925420,,-3.81,,,,-9.08,4.6,,3.25,,,
2011-11-16,20.62,20.77,0.54,-0.17,2095980,,0.97,,,,-8.59,5.7,,3.25,,,
2011-11-17,20.66,20.53,-1.12,-0.5,1485717,,0.84,,,,-9.62,5.6,,3.21,,,
2011-11-18,20.44,20.6,0.33,-0.45,1656569,,0.58,,,,-9.32,6.3,,3.09,,,
2011-11-21,20.41,20.33,-1.29,-0.94,1489086,,-1.29,,,,-10.49,6.1,,3.09,,,
2011-11-22,21.54,20.34,0.04,5.94,2469827,,-1.51,,,,-10.45,6.2,,3.91,,,
2011-11-23,20.04,20.39,0.22,-1.51,1172720,,-1.82,,,,-10.25,6.8,,3.89,,,
2011-11-25,20.19,19.8,-2.88,-0.97,1151179,,-3.56,,,,-12.84,6.3,,3.97,,,
2011-11-28,20.37,20.22,2.13,2.88,1820404,,-1.83,,,,-10.99,11.8,,3.97,,,
2011-11-29,20.24,20.04,-0.93,0.08,1419795,,-1.47,,,,-11.81,11.5,,3.85,,,
2011-11-30,20.72,20.57,2.68,3.4,2695654,,1.13,,,,-9.44,18.4,,3.75,,,
2011-12-01,20.5,20.9,1.57,-0.36,1215706,0.67,2.49,,,,-8.02,22.4,,3.64,,,-8.02
2011-12-02,21.94,20.88,-0.09,4.98,1404082,0.78,5.44,,,,-8.1,22.3,,3.76,,,-8.1
2011-12-05,21.15,21.6,3.45,1.31,1081171,0.62,6.81,-4.93,,,-4.93,30.9,2.06,3.63,,,-4.93
2011-12-06,21.54,21.38,-1.03,-0.26,769743,0.48,6.69,-1.44,,,-5.91,29.8,1.83,3.57,,,-5.91
2011-12-07,21.28,21.15,-1.05,-0.44,1104827,0.71,2.81,-0.13,,,-6.9,28.7,1.76,3.63,,,-6.9
2011-12-08,21.05,20.56,-2.8,-0.48,1090232,0.72,-1.61,-4.25,,,-9.5,26.0,1.84,3.7,,,-9.5
2011-12-09,20.72,20.97,1.97,0.8,638556,0.43,0.42,1.94,,,-7.72,30.8,1.64,3.54,,,-7.72
2011-12-12,20.62,20.59,-1.79,-1.65,1409303,0.95,-4.67,1.13,,,-9.36,29.0,1.68,3.68,,,-9.36
2011-12-13,20.68,20.53,-0.28,0.43,1919685,1.28,-3.95,0.25,,,-9.62,28.7,1.68,3.65,,,-9.62
2011-12-14,20.14,20.16,-1.82,-1.92,2016354,1.34,-4.7,-2.14,,,-11.27,26.8,1.72,3.73,,,-11.27
2011-12-15,20.27,20.59,2.15,0.57,1248518,0.85,0.15,-0.31,,,-9.36,32.3,1.79,3.58,,,-9.36
2011-12-16,20.78,21.24,3.16,0.94,3399707,2.18,1.31,2.28,,,-6.5,39.7,1.91,3.52,,,-6.5
2011-12-19,21.24,20.88,-1.71,0.0,1285936,0.83,1.39,1.68,,,-8.1,37.3,1.94,3.53,,,-8.1
2011-12-20,21.17,20.93,0.24,1.4,1382103,0.9,1.93,1.6,,,-7.88,37.8,1.93,3.49,,,-7.88
2011-12-21,20.87,21.46,2.52,-0.29,2528998,1.64,6.44,5.51,,,-5.56,43.6,1.98,3.45,,,-5.56
2011-12-22,21.62,21.38,-0.37,0.78,1127864,0.73,3.81,5.08,,,-5.91,43.0,1.98,3.46,,,-5.91
2011-12-23,21.38,21.45,0.32,0.0,667812,0.44,0.97,5.18,,,-5.6,43.8,1.98,3.34,,,-5.6
2011-12-27,21.39,21.57,0.56,-0.28,771642,0.53,3.29,8.91,,,-5.07,45.2,1.85,3.25,,,-5.07
2011-12-28,21.82,22.01,2.05,1.17,1065878,0.74,5.16,8.83,,,-3.13,50.2,1.84,3.15,,,-3.13
2011-12-29,22.1,22.34,1.5,0.41,4617243,3.0,4.12,11.5,,,-1.67,53.5,1.83,3.15,,,-1.67
2011-12-30,22.39,22.12,-0.97,0.21,1358634,0.88,3.49,7.53,,,-2.62,51.1,1.79,3.19,,,-2.62
2012-01-03,22.47,21.64,-2.17,1.59,1230088,0.8,0.92,3.57,,,0.0,46.1,1.85,3.42,,,-4.73
2012-01-04,21.58,22.36,3.3,-0.28,1616668,1.03,3.67,7.08,,,3.3,53.4,1.97,3.41,,,-1.59
2012-01-05,22.2,22.04,-1.43,-0.71,2637477,1.59,0.13,2.03,,,1.83,50.1,1.87,3.52,,,-2.99
2012-01-06,21.99,21.67,-1.67,-0.22,609070,0.37,-3.0,1.37,,,0.12,46.6,1.89,3.47,,,-4.62
2012-01-09,21.66,21.76,0.4,-0.05,648897,0.4,-1.66,2.86,,,0.52,47.5,1.87,3.37,,,-4.24
2012-01-10,22.05,22.02,1.23,1.34,1217564,0.74,1.76,7.12,,,1.76,50.4,1.76,3.22,,,-3.06
2012-01-11,21.92,22.44,1.88,-0.47,1238440,0.76,0.35,7.02,,,3.67,54.6,1.76,3.17,,,-1.24
2012-01-12,22.45,22.12,-1.39,0.08,823783,0.52,0.39,7.45,,,2.22,51.1,1.73,3.12,,,-2.62
2012-01-13,21.91,22.07,-0.26,-0.96,1029255,0.67,1.83,7.47,,,1.95,50.4,1.73,3.0,,,-2.87
2012-01-17,22.3,22.07,0.0,1.05,540499,0.36,1.42,9.46,,,1.95,50.4,1.66,2.98,4.27,,-2.87
2012-01-18,21.96,23.24,5.31,-0.46,1688474,1.2,5.51,12.85,,,7.36,61.8,1.94,3.05,9.74,,0.0
2012-01-19,23.25,22.92,-1.37,0.04,973328,0.7,2.15,7.9,,,5.89,57.9,1.9,3.1,8.12,,-1.37
2012-01-20,22.92,22.7,-0.97,0.0,1178735,0.86,2.58,8.71,,,4.86,55.3,1.86,3.01,6.91,,-2.33
2012-01-23,22.8,22.17,-2.32,0.45,978898,0.75,0.47,5.93,,,2.44,49.6,1.95,3.15,4.37,,-4.59
2012-01-24,22.12,22.5,1.51,-0.25,884324,0.69,1.99,4.89,,,3.98,52.9,1.91,3.05,5.75,,-3.15
2012-01-25,22.38,22.9,1.77,-0.54,1024203,0.78,-1.44,7.14,,,5.82,56.6,1.93,3.0,7.36,,-1.44
2012-01-26,22.99,22.33,-2.49,0.36,987227,0.75,-2.56,4.13,,,3.18,50.5,2.03,3.16,4.5,,-3.9
2012-01-27,22.05,22.22,-0.48,-1.27,796636,0.61,-2.08,3.05,,,2.69,49.4,2.03,3.05,3.84,,-4.36
2012-01-30,22.04,22.32,0.41,-0.84,551996,0.5,0.66,1.39,,,3.11,50.4,1.99,2.95,4.11,,-3.96
2012-01-31,22.48,22.31,-0.04,0.75,920703,0.85,-0.88,-0.14,,,3.07,50.3,1.96,2.91,3.92,,-4.0
2012-02-01,22.4,23.09,3.52,0.42,948504,0.89,0.83,4.38,,,6.69,58.3,2.09,2.86,7.32,,-0.62
2012-02-02,23.13,22.94,-0.64,0.15,830690,0.81,2.74,6.01,,,6.01,56.4,2.03,2.77,6.4,,-1.26
2012-02-03,23.24,23.27,1.43,1.28,836065,0.89,4.71,4.09,,,7.53,59.5,1.93,2.67,7.63,,0.0
2012-02-06,23.13,23.06,-0.93,-0.6,760918,0.81,3.32,4.62,1.49,,6.53,56.7,1.91,2.63,6.36,,-0.93
2012-02-07,22.99,23.43,1.63,-0.29,1119407,1.16,5.04,8.13,8.04,,8.26,60.2,1.88,2.62,7.79,,0.0
2012-02-08,23.42,23.58,0.63,-0.04,856993,0.9,2.11,8.38,11.33,,8.94,61.5,1.88,2.57,8.09,,0.0
2012-02-09,23.53,23.35,-0.96,-0.19,838014,0.9,1.78,6.04,8.76,,7.9,58.3,1.89,2.53,6.75,,-0.96
2012-02-10,23.16,23.3,-0.21,-0.81,612410,0.67,0.13,3.86,13.31,,7.67,57.6,1.86,2.43,6.21,,-1.17
2012-02-13,23.55,23.27,-0.13,1.05,742041,0.82,0.94,5.19,14.3,,7.53,57.1,1.83,2.4,5.81,,-1.3
2012-02-14,23.16,23.18,-0.41,-0.49,1075952,1.16,-1.09,5.03,13.15,,7.08,55.6,1.83,2.34,5.15,,-1.71
2012-02-15,23.21,23.24,0.28,0.17,1244324,1.37,-1.43,5.33,12.82,,7.39,56.5,1.83,2.23,5.22,,-1.43
2012-02-16,23.26,23.38,0.58,0.1,742965,0.83,0.1,0.6,13.18,,8.01,58.2,1.42,2.15,5.66,,-0.86
2012-02-17,23.46,23.75,1.6,0.37,677707,0.78,1.92,3.63,14.37,,9.74,62.7,1.42,2.09,7.13,,0.0
2012-02-21,23.81,23.95,0.85,0.26,875182,1.01,2.92,5.54,16.66,,10.67,64.9,1.41,2.08,7.76,,0.0
2012-02-22,23.81,23.7,-1.05,-0.59,542900,0.64,2.26,6.9,15.05,,9.5,60.1,1.31,2.1,6.33,,-1.05
2012-02-23,23.69,23.92,0.92,-0.04,390087,0.48,2.92,6.28,17.63,,10.52,62.7,1.29,2.07,7.03,,-0.14
2012-02-24,24.01,23.46,-1.9,0.38,961572,1.18,0.37,2.45,15.34,,8.41,54.8,1.33,2.15,4.72,,-2.04
2012-02-27,23.33,23.55,0.38,-0.57,1659803,1.93,-0.84,5.46,15.51,,8.82,56.0,1.19,2.12,4.83,,-1.67
