date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-04-03,25.2,23.2,,,1915036,,,,,,0.0,,,17.24,,,
2020-04-06,24.69,24.39,5.13,6.42,213139,,,,,,5.13,,,16.09,,,
2020-04-07,24.76,23.75,-2.62,1.52,289795,,,,,,2.37,96.0,,16.34,,,
2020-04-08,23.99,24.8,4.42,1.01,274440,,,,,,6.9,96.3,,15.47,,,
2020-04-09,25.25,24.31,-1.98,1.81,69721,,,,,,4.78,93.2,,15.27,,,
2020-04-13,24.5,23.9,-1.69,0.78,88741,,3.02,,,,3.02,90.6,,14.8,,,
2020-04-14,24.04,25.12,5.1,0.59,238193,,2.99,,,,8.28,91.4,,13.96,,,
2020-04-15,24.89,24.48,-2.55,-0.92,205471,,3.07,,,,5.52,87.3,,13.87,,,
2020-04-16,24.48,24.38,-0.41,0.0,131013,,-1.69,,,,5.09,86.7,,13.47,,,
2020-04-17,24.4,24.56,0.74,0.08,264285,,1.03,,,,5.86,86.9,,12.8,,,
2020-04-20,24.61,24.12,-1.79,0.2,529724,,0.92,,,,3.97,83.7,,12.48,,,
2020-04-21,24.39,25.56,5.97,1.12,259794,,1.75,,,,10.17,85.6,,11.56,,,
2020-04-22,25.82,26.79,4.81,1.02,117956,,9.44,,,,15.47,86.9,,10.77,,,
2020-04-23,26.59,28.45,6.2,-0.75,110681,,16.69,,,,22.63,88.5,,10.25,,,
2020-04-24,28.51,30.5,7.21,0.21,155226,,24.19,,,,31.47,90.1,,9.46,,,
2020-04-27,31.0,31.76,4.13,1.64,89372,,31.67,,,,36.9,90.9,,8.95,,,
2020-04-28,33.72,35.57,12.0,6.17,198783,,39.16,,,,53.32,92.8,,8.19,,,
2020-04-29,36.42,36.16,1.66,2.39,187668,,34.98,,,,55.86,93.1,,7.9,,,
2020-04-30,35.57,35.1,-2.93,-1.63,233948,,23.37,,,,51.29,87.3,,8.01,,,
2020-05-01,34.33,31.29,-10.85,-2.19,318087,1.08,2.59,,,,34.87,70.3,,9.4,,,-13.47
2020-05-04,30.56,31.93,2.05,-2.33,161304,0.78,0.54,,,,37.63,71.3,,9.44,,,-11.7
2020-05-05,31.21,33.26,4.17,-2.25,192100,0.93,-6.49,43.36,,,43.36,73.3,4.93,9.33,,,-8.02
2020-05-06,33.63,32.98,-0.84,1.11,230081,1.13,-8.79,35.22,,,42.16,72.2,4.9,9.25,,,-8.79
2020-05-07,32.98,31.93,-3.18,0.0,253523,1.26,-9.03,34.44,,,37.63,67.9,4.92,9.5,,,-11.7
2020-05-08,32.15,33.27,4.2,0.69,127231,0.62,6.33,34.15,,,43.41,70.3,4.92,8.9,,,-7.99
2020-05-11,32.63,34.5,3.7,-1.92,325628,1.5,8.05,41.92,,,48.71,72.4,4.87,9.09,,,-4.59
2020-05-12,34.7,35.64,3.3,0.58,172323,0.81,7.16,49.12,,,53.62,74.2,4.81,8.69,,,-1.44
