date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-04-08,71.6,72.8,,,14402,,,,,,0.0,,,11.54,,,
2024-04-09,68.6,65.8,-9.62,-5.77,13063,,,,,,-9.62,0.0,,13.63,,,
2024-04-10,61.8,57.8,-12.16,-6.08,7830,,,,,,-20.6,0.0,,16.12,,,
2024-04-11,60.2,65.2,12.8,4.15,91602,,,,,,-10.44,7.5,,14.28,,,
2024-04-12,62.6,63.0,-3.37,-3.99,4893,,,,,,-13.46,7.3,,14.26,,,
2024-04-15,60.0,60.8,-3.49,-4.76,6579,,-16.48,,,,-16.48,7.1,,14.35,,,
2024-04-16,59.2,59.6,-1.97,-2.63,4092,,-9.42,,,,-18.13,7.0,,14.03,,,
2024-04-17,59.6,61.0,2.35,0.0,4662,,5.54,,,,-16.21,8.6,,13.31,,,
2024-04-18,59.6,58.0,-4.92,-2.3,4824,,-11.04,,,,-20.33,8.3,,13.44,,,
2024-04-19,60.0,59.2,2.07,3.45,1690,,-6.03,,,,-18.68,9.8,,12.53,,,
2024-04-22,59.8,59.5,0.51,1.01,3189,,-2.14,,,,-18.27,10.2,,11.82,,,
2024-04-23,56.62,59.8,0.5,-4.84,2073,,0.34,,,,-17.86,10.6,,11.42,,,
2024-04-24,60.0,59.4,-0.67,0.33,2208,,-2.62,,,,-18.41,10.5,,10.91,,,
2024-04-25,58.4,56.4,-5.05,-1.68,1135,,-2.76,,,,-22.53,10.0,,11.51,,,
2024-04-26,56.42,57.2,1.42,0.04,1960,,-3.38,,,,-21.43,11.3,,10.99,,,
2024-04-29,57.2,55.45,-3.07,0.0,817,,-6.81,,,,-23.84,10.9,,11.01,,,
2024-04-30,55.4,58.6,5.69,-0.08,752,,-2.01,,,,-19.51,16.3,,10.16,,,
2024-05-01,58.2,57.6,-1.71,-0.68,1526,,-3.03,,,,-20.88,16.0,,10.1,,,
2024-05-02,60.0,61.4,6.6,4.17,3844,,8.87,,,,-15.66,22.4,,9.86,,,
2024-05-03,62.0,65.0,5.86,0.98,2861,0.33,13.64,,,,-10.71,28.1,,9.11,,,-10.71
2024-05-06,67.99,66.85,2.84,4.6,2847,0.35,20.56,,,,-8.18,30.8,,8.66,,,-8.18
2024-05-07,65.8,62.6,-6.35,-1.56,1414,0.19,6.83,-14.01,,,-14.01,28.2,5.74,9.37,,,-14.01
2024-05-08,62.0,58.4,-6.71,-0.96,1494,0.21,1.39,-11.25,,,-19.78,25.8,5.54,10.1,,,-19.78
2024-05-09,58.2,58.2,-0.34,-0.34,436,0.16,-5.21,0.69,,,-20.05,25.7,4.85,9.69,,,-20.05
2024-05-10,57.2,54.2,-6.87,-1.72,2370,0.93,-16.62,-16.87,,,-25.55,23.5,4.12,10.35,,,-25.55
2024-05-13,54.4,54.0,-0.37,0.37,2266,0.98,-19.22,-14.29,,,-25.82,23.4,4.08,10.25,,,-25.82
2024-05-14,55.4,54.6,1.11,2.59,1162,0.53,-12.78,-10.2,,,-25.0,24.5,4.04,9.92,,,-25.0
2024-05-15,54.4,52.0,-4.76,-0.37,1186,0.59,-10.96,-12.75,,,-28.57,22.9,4.14,10.33,,,-28.57
2024-05-16,49.8,45.4,-12.69,-4.23,5973,2.9,-21.99,-25.57,,,-37.64,19.5,4.85,12.78,,,-37.64
2024-05-17,50.01,48.8,7.49,10.15,2549,1.21,-9.96,-15.86,,,-32.97,25.6,5.13,12.12,,,-32.97
2024-05-20,50.68,46.4,-4.92,3.85,2271,1.1,-14.07,-21.62,,,-36.26,24.2,5.17,12.7,,,-36.26
2024-05-21,46.0,44.6,-3.88,-0.86,2273,1.1,-18.32,-25.04,,,-38.74,23.2,5.2,13.14,,,-38.74
2024-05-22,44.4,48.2,8.07,-0.45,5038,2.28,-7.31,-19.4,,,-33.79,29.6,5.57,12.89,,,-33.79
2024-05-23,46.4,48.8,1.24,-3.73,6208,2.52,7.49,-17.85,,,-32.97,30.7,5.59,12.76,,,-32.97
2024-05-24,50.6,45.2,-7.38,3.69,1661,0.68,-7.38,-19.86,,,-37.91,28.0,5.7,14.4,,,-37.91
2024-05-28,43.4,46.8,3.54,-3.98,2720,1.07,0.86,-18.18,,,-35.71,30.9,5.76,13.93,,,-35.71
