date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2023-03-22,7.16,30.0,,,4237373,,,,,,0.0,,,100.0,,,
2023-03-23,27.8,33.21,10.7,-7.33,1814845,,,,,,10.7,,,87.61,,,
2023-03-24,32.2,29.42,-11.41,-3.04,528505,,,,,,-1.93,91.7,,94.82,,,
2023-03-27,31.53,16.84,-42.76,7.17,545942,,,,,,-43.87,70.6,,160.88,,,
2023-03-28,18.33,16.28,-3.33,8.85,238698,,,,,,-45.73,69.9,,156.21,,,
2023-03-29,16.5,16.53,1.54,1.35,143044,,-44.9,,,,-44.9,70.0,,144.0,,,
2023-03-30,16.11,15.82,-4.3,-2.54,54999,,-52.36,,,,-47.27,68.9,,140.56,,,
2023-03-31,14.79,14.92,-5.69,-6.51,69295,,-49.29,,,,-50.27,67.5,,139.48,,,
2023-04-03,14.57,14.2,-4.83,-2.37,84246,,-15.68,,,,-52.67,66.3,,137.48,,,
2023-04-04,13.59,12.8,-9.86,-4.3,61406,,-21.38,,,,-57.33,63.9,,142.53,,,
2023-04-05,12.55,11.42,-10.78,-1.92,44449,,-30.91,,,,-61.93,61.6,,149.2,,,
2023-04-06,11.22,11.95,4.64,-1.75,24919,,-24.46,,,,-60.17,62.2,,132.87,,,
2023-04-10,11.4,11.99,0.33,-4.6,17530,,-19.64,,,,-60.03,62.2,,123.57,,,
2023-04-11,11.98,12.94,7.92,-0.08,74880,,-8.87,,,,-56.87,63.3,,107.57,,,
2023-04-12,12.76,13.29,2.7,-1.39,39768,,3.83,,,,-55.7,63.8,,97.92,,,
2023-04-13,13.41,11.25,-15.35,0.9,45661,,-1.49,,,,-62.5,59.4,,109.09,,,
2023-04-14,11.41,11.0,-2.22,1.42,60666,,-7.95,,,,-63.33,58.9,,105.32,,,
2023-04-17,10.9,9.7,-11.82,-0.91,59545,,-19.1,,,,-67.67,56.0,,112.02,,,
2023-04-18,9.86,9.89,1.96,1.6,34978,,-23.57,,,,-67.03,56.4,,102.45,,,
2023-04-19,9.82,9.93,0.4,-0.71,31449,0.08,-25.28,,,,-66.9,56.4,,95.17,,,-70.1
2023-04-20,10.0,9.93,0.0,0.7,9082,0.05,-11.73,,,,-66.9,56.4,,88.6,,,-70.1
2023-04-21,10.09,8.5,-14.4,1.61,50210,0.45,-22.73,-71.67,,,-71.67,52.7,11.22,97.57,,,-74.41
2023-04-24,8.83,8.12,-4.47,3.88,28160,0.33,-16.29,-75.55,,,-72.93,51.8,10.62,95.69,,,-75.55
2023-04-25,8.27,7.73,-4.8,1.85,91279,1.44,-21.84,-73.73,,,-74.23,50.7,10.55,93.93,,,-76.72
2023-04-26,7.77,7.84,1.42,0.52,24684,0.47,-21.05,-53.44,,,-73.87,51.0,6.28,86.4,,,-76.39
2023-04-27,8.02,8.0,2.04,2.3,159899,3.0,-19.44,-50.86,,,-73.33,51.5,6.39,79.13,,,-75.91
2023-04-28,8.0,6.81,-14.88,0.0,97617,1.76,-19.88,-58.8,,,-77.3,47.9,6.79,87.97,,,-79.49
2023-05-01,6.97,5.87,-13.8,2.35,59188,1.08,-27.71,-62.9,,,-80.43,45.2,7.12,96.79,,,-82.32
2023-05-02,5.87,5.38,-8.35,0.0,66734,1.23,-30.4,-63.94,,,-82.07,43.8,7.17,99.35,,,-83.8
2023-05-03,5.55,5.0,-7.06,3.16,61251,1.13,-36.22,-64.79,,,-83.33,42.7,7.19,100.59,,,-84.94
2023-05-04,5.16,4.89,-2.2,3.2,60697,1.11,-38.88,-61.8,,,-83.7,42.4,7.11,96.1,,,-85.28
