date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-01-11,6.0,6.05,,,4244921,,,,,,0.0,,,8.59,,,
2021-01-12,6.0,6.0,-0.83,-0.83,1282186,,,,,,-0.83,0.0,,8.46,,,
2021-01-13,5.98,6.15,2.5,-0.33,3085765,,,,,,1.65,18.8,,8.08,,,
2021-01-14,6.16,6.12,-0.49,0.16,886299,,,,,,1.16,18.0,,7.87,,,
2021-01-15,6.07,5.96,-2.61,-0.82,628512,,,,,,-1.49,14.7,,7.88,,,
2021-01-19,6.02,6.09,2.18,1.01,768714,,0.66,,,,0.66,26.5,,7.49,,,
2021-01-20,6.08,6.08,-0.16,-0.16,1098836,,1.33,,,,0.5,26.2,,7.4,,,
2021-01-21,6.0,6.04,-0.66,-1.32,688196,,-1.79,,,,-0.17,25.0,,7.19,,,
2021-01-22,5.95,6.02,-0.33,-1.49,525398,,-1.63,,,,-0.5,24.3,,6.98,,,
2021-01-25,6.64,7.53,25.08,10.3,7982041,,26.34,,,,24.46,74.6,,6.82,,,
2021-01-26,6.79,6.46,-14.21,-9.83,13237966,,6.08,,,,6.78,49.5,,9.02,,,
2021-01-27,6.95,6.33,-2.01,7.59,5607387,,4.11,,,,4.63,47.4,,9.39,,,
2021-01-28,6.35,6.4,1.11,0.32,2181437,,5.96,,,,5.79,48.7,,9.2,,,
2021-01-29,6.45,6.03,-5.78,0.78,2204668,,0.17,,,,-0.33,42.9,,9.75,,,
2021-02-01,6.1,6.22,3.15,1.16,1467443,,-17.4,,,,2.81,46.4,,9.27,,,
2021-02-02,6.35,6.5,4.5,2.09,1398308,,0.62,,,,7.44,51.2,,8.74,,,
2021-02-03,6.59,6.6,1.54,1.38,3451487,,4.27,,,,9.09,52.8,,8.38,,,
2021-02-04,7.02,7.2,9.09,6.36,5336535,,12.5,,,,19.01,61.2,,8.27,,,
2021-02-05,7.39,7.34,1.94,2.68,2647093,,21.72,,,,21.32,62.8,,8.24,,,
2021-02-08,8.0,9.44,28.61,8.95,6236229,1.92,51.77,,,,56.03,78.0,,7.87,,,0.0
2021-02-09,9.35,9.1,-3.6,-0.92,2744558,0.86,40.0,,,,50.41,72.8,,8.31,,,-3.6
2021-02-10,9.22,9.95,9.34,1.32,3439124,1.05,50.76,64.46,,,64.46,76.9,9.39,7.95,,,0.0
2021-02-11,10.04,9.52,-4.32,0.9,2532164,0.78,32.22,58.67,,,57.36,71.1,9.49,8.63,,,-4.32
2021-02-12,9.35,9.32,-2.1,-1.79,2210786,0.67,26.98,51.54,,,54.05,68.4,9.55,8.78,,,-6.33
2021-02-16,10.3,10.89,16.85,10.52,4195962,1.2,15.36,77.94,,,80.0,75.9,10.02,8.57,,,0.0
2021-02-17,10.91,10.54,-3.21,0.18,2475363,0.69,15.82,76.85,,,74.21,71.8,10.04,8.81,,,-3.21
2021-02-18,10.4,9.78,-7.21,-1.33,2183547,0.6,-1.71,60.59,,,61.65,63.8,10.29,9.68,,,-10.19
2021-02-19,10.07,10.54,7.77,2.97,2116800,0.57,10.71,73.36,,,74.21,67.7,10.33,8.99,,,-3.21
2021-02-22,11.38,10.45,-0.85,7.97,2934152,0.77,12.12,73.01,,,72.73,66.8,10.33,9.44,,,-4.04
2021-02-23,9.95,9.91,-5.17,-4.78,2394000,0.67,-9.0,64.62,,,63.8,61.4,10.46,10.66,,,-9.0
2021-02-24,9.91,9.52,-3.94,0.0,1847350,0.62,-9.68,26.43,,,57.36,57.8,9.23,10.91,,,-12.58
2021-02-25,9.52,8.71,-8.51,0.0,2576958,0.91,-10.94,34.83,,,43.97,51.1,8.82,11.87,,,-20.02
2021-02-26,8.9,9.48,8.84,2.18,3057695,1.06,-10.06,49.76,,,56.69,56.3,8.9,11.46,,,-12.95
2021-03-01,10.64,9.8,3.38,12.24,6229162,2.03,-6.22,53.12,,,61.98,58.3,8.9,11.23,,,-10.01
2021-03-02,10.25,9.43,-3.78,4.59,8791855,2.56,-4.84,56.38,,,55.87,55.1,8.82,12.6,,,-13.41
2021-03-03,15.77,13.47,42.84,67.23,59212045,9.35,41.49,116.56,,,122.64,72.5,12.47,12.82,,,0.0
2021-03-04,11.33,9.63,-28.51,-15.89,10114028,1.52,10.56,48.15,,,59.17,51.9,14.39,19.92,,,-28.51
2021-03-05,10.43,10.05,4.36,8.27,5230232,0.79,6.01,52.27,,,66.12,53.5,14.39,19.32,,,-25.39
2021-03-08,9.95,9.33,-7.16,-0.95,3774969,0.56,-4.8,29.58,,,54.21,50.5,14.48,19.99,,,-30.73
2021-03-09,9.3,9.01,-3.43,-0.32,3225184,0.49,-4.45,22.75,,,48.93,49.2,14.53,19.78,,,-33.11
2021-03-10,9.17,10.3,14.32,1.78,6210388,0.92,-23.53,9.11,,,70.25,54.4,13.51,17.37,,,-23.53
2021-03-11,10.39,9.98,-3.11,0.87,3344030,0.5,3.63,9.67,,,64.96,52.9,13.5,17.29,,,-25.91
2021-03-12,9.25,9.39,-5.91,-7.31,4157903,0.61,-6.57,-5.63,,,55.21,50.3,13.46,17.73,,,-30.29
2021-03-15,9.3,11.93,27.05,-0.96,20027053,2.6,27.87,25.32,,,97.19,59.6,14.59,15.29,,,-11.43
2021-03-16,13.53,11.03,-7.54,13.41,13968840,1.7,22.42,18.35,,,82.31,55.6,14.71,17.55,,,-18.11
2021-03-17,10.31,11.42,3.54,-6.53,5018815,0.6,10.87,4.87,,,88.76,57.0,14.31,16.86,,,-15.22
2021-03-18,11.06,10.84,-5.08,-3.15,2654071,0.32,8.62,2.85,,,79.17,54.3,14.34,17.19,,,-19.52
2021-03-19,10.67,11.12,2.58,-1.57,4076697,0.48,18.42,13.7,,,83.8,55.4,14.22,16.33,,,-17.45
2021-03-22,10.99,10.68,-3.96,-1.17,1990891,0.24,-10.48,1.33,,,76.53,53.3,14.19,16.34,,,-20.71
2021-03-23,10.69,10.02,-6.18,0.09,1952638,0.23,-9.16,-4.11,,,65.62,50.2,14.27,16.89,14.99,,-25.61
2021-03-24,9.98,9.06,-9.58,-0.4,3131042,0.37,-20.67,-8.58,,,49.75,46.0,14.4,18.16,3.26,,-32.74
2021-03-25,9.0,9.61,6.07,-0.66,1401956,0.17,-11.35,0.95,,,58.84,48.6,14.41,16.54,8.63,,-28.66
2021-03-26,9.5,9.35,-2.71,-1.14,791189,0.1,-15.92,7.35,,,54.55,47.4,14.27,16.14,4.93,,-30.59
2021-03-29,9.28,9.63,2.99,-0.75,1373080,0.17,-9.83,1.58,,,59.17,48.9,14.17,15.22,7.23,,-28.51
2021-03-30,9.4,9.57,-0.62,-2.39,663639,0.09,-4.49,-2.35,,,58.18,48.6,14.17,14.66,5.71,,-28.95
2021-03-31,9.6,9.2,-3.87,0.31,1635449,0.35,1.55,-2.44,,,52.07,46.6,14.17,14.76,0.93,,-31.7
