date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-04-28,13.5,13.0,,,953887,,,,,,0.0,,,9.62,,,
2017-05-01,13.2,13.07,0.54,1.54,97009,,,,,,0.54,,,8.99,,,
2017-05-02,13.0,13.1,0.23,-0.54,68578,,,,,,0.77,,,8.43,,,
2017-05-03,13.1,13.28,1.37,0.0,40809,,,,,,2.15,,,7.88,,,
2017-05-04,13.34,13.11,-1.28,0.45,33256,,,,,,0.85,85.2,,7.69,,,
2017-05-05,13.16,13.05,-0.46,0.38,20538,,0.38,,,,0.38,80.6,,7.28,,,
2017-05-08,13.13,13.03,-0.15,0.61,11444,,-0.31,,,,0.23,79.1,,6.84,,,
2017-05-09,13.0,13.0,-0.23,-0.23,72822,,-0.76,,,,0.0,76.8,,6.4,,,
2017-05-10,13.03,13.09,0.69,0.23,13474,,-1.43,,,,0.69,78.8,,5.95,,,
2017-05-11,13.1,13.09,0.0,0.08,19341,,-0.15,,,,0.69,78.8,,5.55,,,
2017-05-12,13.09,13.0,-0.69,0.0,5444,,-0.38,,,,0.0,71.6,,5.26,,,
2017-05-15,13.0,13.11,0.85,0.0,24829,,0.61,,,,0.85,74.7,,5.01,,,
2017-05-16,13.19,13.0,-0.84,0.61,21942,,0.0,,,,0.0,66.9,,4.81,,,
2017-05-17,13.0,13.0,0.0,0.0,9240,,-0.69,,,,0.0,66.9,,4.49,,,
2017-05-18,13.0,13.05,0.38,0.0,7695,,-0.31,,,,0.38,68.6,,4.24,,,
2017-05-19,13.03,13.04,-0.08,-0.15,7427,,0.31,,,,0.31,67.9,,3.97,,,
2017-05-22,13.04,13.06,0.15,0.0,12802,,-0.38,,,,0.46,68.6,,3.71,,,
2017-05-23,13.01,13.07,0.08,-0.38,36178,,0.54,,,,0.54,69.0,,3.59,,,
2017-05-24,13.14,13.11,0.31,0.54,19816,,0.85,,,,0.85,70.6,,3.36,,,
2017-05-25,13.21,13.07,-0.3,0.76,9824,0.13,0.15,,,,0.54,66.9,,3.23,,,-1.58
2017-05-26,13.04,12.59,-3.67,-0.23,16456,0.6,-3.45,,,,-3.15,40.1,,3.44,,,-5.2
2017-05-30,12.49,12.17,-3.34,-0.79,21784,0.92,-6.81,-6.38,,,-6.38,29.2,1.22,3.55,,,-8.36
2017-05-31,12.1,11.73,-3.62,-0.58,17066,0.81,-10.25,-10.25,,,-9.77,22.3,1.4,3.79,,,-11.67
2017-06-01,11.7,10.99,-6.31,-0.26,64551,2.9,-16.17,-16.11,,,-15.46,15.6,1.87,4.84,,,-17.24
2017-06-02,10.9,10.48,-4.64,-0.82,30441,1.37,-19.82,-21.08,,,-19.38,12.8,1.98,5.23,,,-21.08
2017-06-05,10.48,10.43,-0.48,0.0,36113,1.57,-17.16,-20.44,,,-19.77,12.5,1.98,5.11,,,-21.46
2017-06-06,10.2,9.97,-4.41,-2.21,106544,3.85,-18.08,-23.6,,,-23.31,10.6,2.1,5.91,,,-24.92
2017-06-07,9.87,9.85,-1.2,-1.0,43532,1.66,-16.03,-24.41,,,-24.23,10.1,2.09,6.13,,,-25.83
2017-06-08,9.8,9.62,-2.34,-0.51,17724,0.67,-12.47,-26.0,,,-26.0,9.3,2.09,6.09,,,-27.56
2017-06-09,9.5,9.38,-2.49,-1.25,30561,1.13,-10.5,-28.34,,,-27.85,8.5,2.04,6.28,,,-29.37
2017-06-12,9.39,9.53,1.6,0.11,21615,0.78,-8.63,-27.2,,,-26.69,13.4,2.13,6.01,,,-28.24
2017-06-13,9.26,8.88,-6.82,-2.83,27720,0.99,-10.93,-31.69,,,-31.69,10.7,2.42,6.53,,,-33.13
2017-06-14,8.83,8.69,-2.14,-0.56,63483,2.11,-11.78,-33.71,,,-33.15,10.1,2.34,6.53,,,-34.56
2017-06-15,8.77,8.3,-4.49,0.92,52728,1.64,-13.72,-36.15,,,-36.15,8.9,2.39,7.67,,,-37.5
2017-06-16,8.15,9.51,14.58,-1.81,80996,2.26,1.39,-26.85,,,-26.85,34.2,4.35,7.74,,,-28.39
2017-06-19,9.75,9.3,-2.21,2.52,15166,0.42,-2.41,-28.74,,,-28.46,32.5,4.33,7.89,,,-29.97
2017-06-20,9.38,9.81,5.48,0.86,18468,0.51,10.47,-24.77,,,-24.54,40.2,4.59,7.56,,,-26.13
2017-06-21,9.72,9.54,-2.75,-0.92,26985,0.75,9.78,-26.95,,,-26.62,37.7,4.58,7.51,,,-28.16
2017-06-22,9.51,9.41,-1.36,-0.31,29582,0.81,13.37,-28.0,,,-27.62,36.6,4.57,7.55,,,-29.14
2017-06-23,9.4,8.75,-7.01,-0.11,24909,0.67,-7.99,-33.26,,,-32.69,31.3,4.71,8.09,,,-34.11
2017-06-26,8.81,9.21,5.26,0.69,22787,0.61,-0.97,-29.53,,,-29.15,38.0,4.95,7.67,,,-30.65
2017-06-27,9.37,8.95,-2.82,1.74,38897,1.01,-8.77,-28.91,,,-31.15,35.9,4.93,7.93,,,-32.61
2017-06-28,9.05,8.77,-2.01,1.12,9011,0.24,-8.07,-27.94,,,-32.54,34.4,4.92,8.04,,,-33.96
2017-06-29,8.7,8.39,-4.33,-0.8,11029,0.31,-10.84,-28.47,,,-35.46,31.6,4.93,8.35,,,-36.82
2017-06-30,8.31,8.35,-0.48,-0.95,106817,2.72,-4.57,-24.02,,,-35.77,31.3,4.81,8.13,,,-37.12
2017-07-03,8.4,8.28,-0.84,0.6,27744,0.71,-10.1,-20.99,,,-36.31,30.7,4.75,8.13,,,-37.65
2017-07-05,8.28,8.48,2.42,0.0,6831,0.2,-5.25,-18.7,,,-34.77,34.2,4.8,7.64,,,-36.14
